Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MAINE,2020,9,,-,27,,79,,107,,,-,4,,4,,9,,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,247,,358,,2536,,2419,,,-,9,,18,,28,,,-,0,,,-,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,28,,359,,1863,,2400,,5,,9,,36,,45,,,-,1,,,-,,-,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,143,,246,,1530,,1414,,,-,4,,3,,20,,,-,1,,,-,,-,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,52,,72,,272,,,-,2,,3,,10,,,-,0,,,-,,-,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,59,,466,,1708,,3009,,,-,12,,31,,27,,,-,0,,,-,,-,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,96,,503,,2284,,3803,,2,,10,,24,,60,,,-,0,,,-,,-,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,709,,4505,,4881,,,-,8,,25,,23,,,-,0,,,-,,-,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,,-,147,,63,,1220,,2,,8,,17,,8,,,-,0,,,-,,-,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,70,,312,,1398,,1863,,,-,5,,8,,18,,,-,1,,,-,,-,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,57,,22,,330,,,-,2,,1,,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,17,,29,,84,,,-,2,,1,,,-,,-,0,,,-,,-,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,379,,1866,,2668,,,-,7,,17,,39,,,-,0,,,-,,-,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,635,,1584,,11483,,10761,,7,,26,,133,,149,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,129,,1831,,12673,,13935,,,-,4,,5,,10,,,-,0,,,-,,-,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,146,,301,,329,,,-,4,,6,,11,,,-,0,,,-,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,490,,898,,5856,,5534,,12,,26,,86,,60,,,-,0,,,-,,-,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,17,,57,,281,,233,,,-,4,,1,,8,,,-,0,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,55,,818,,4699,,6857,,1,,12,,34,,59,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,201,,768,,1390,,,-,7,,31,,19,,,-,0,,,-,,-,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,178,,1079,,5485,,7753,,8,,19,,88,,125,,,-,1,,,-,,-,,MOUNTAIN,20200948,
INDIANA,2020,9,81,,313,,1841,,1883,,,-,8,,15,,34,,,-,1,,,-,,-,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,17,,4,,90,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
ARIZONA,2020,10,15,,359,,1955,,2647,,2,,9,,38,,49,,,-,1,,,-,,-,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,120,,247,,1687,,1564,,,-,4,,3,,20,,,-,1,,,-,,-,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,1,,57,,220,,306,,,-,2,,3,,10,,,-,0,,,-,,-,IDAHO,,20201051,POINT (-114.659366 44.389073)
MICHIGAN,2020,10,27,,466,,1964,,3302,,,-,12,,34,,31,,,-,0,,,-,,-,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,89,,503,,2635,,4179,,,-,10,,27,,66,,,-,1,,1,,,-,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,280,,714,,5290,,5389,,5,,8,,30,,27,,,-,0,,,-,,-,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,153,,141,,1365,,2,,8,,19,,13,,,-,0,,,-,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,101,,312,,1769,,2070,,,-,5,,8,,18,,,-,1,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,57,,24,,366,,,-,2,,1,,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,2,,14,,35,,92,,,-,2,,1,,1,,,-,0,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,199,,379,,2495,,2907,,3,,7,,26,,44,,,-,0,,,-,,-,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,867,,1588,,13015,,11901,,10,,26,,146,,167,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,169,,1832,,14180,,15511,,,-,4,,7,,12,,,-,0,,,-,,-,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
US RESIDENTS,2020,16,2990,,12532,,134782,,175342,,9,,182,,1461,,1987,,,-,3,,3,,8,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,2,,15,,90,,152,,,-,3,,10,,11,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,233,,597,,3804,,3058,,1,,20,,50,,69,,,-,1,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,803,,2241,,26618,,30306,,,-,8,,64,,86,,,-,1,,,-,,-,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,91,,1531,,8930,,21785,,1,,48,,214,,248,,,-,1,,1,,1,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,83,,849,,809,,,-,3,,18,,9,,,-,0,,,-,,-,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,326,,1404,,10463,,13536,,,-,24,,140,,182,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,5,,38,,291,,499,,,-,2,,2,,8,,,-,0,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,236,,1924,,1903,,,-,4,,6,,21,,,-,0,,,-,1,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,31,,696,,3404,,8367,,,-,11,,51,,76,,,-,0,,,-,,-,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,131,,1276,,1608,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,867,,3634,,13514,,,-,38,,100,,142,,,-,1,,,-,1,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,62,,502,,642,,,-,3,,5,,10,,,-,1,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,6,,123,,1191,,1411,,,-,1,,3,,5,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,167,,343,,2245,,3376,,,-,1,,2,,6,,,-,0,,,-,,-,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,2,,382,,3273,,3977,,,-,11,,72,,82,,,-,0,,,-,,-,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,81,,192,,296,,,-,4,,3,,8,,,-,0,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,88,,164,,1772,,1719,,,-,7,,38,,35,,,-,0,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,59,,300,,588,,,-,3,,1,,8,,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,378,,2441,,4487,,,-,7,,34,,41,,,-,0,,,-,,-,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,113,,,-,1565,,,-,2,,,-,1,,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,630,,4548,,7780,,,-,10,,57,,89,,,-,0,,,-,,-,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,55,,251,,2639,,2922,,,-,6,,14,,40,,,-,0,,,-,,-,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,14,,122,,1089,,1466,,,-,5,,19,,20,,,-,0,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,478,,2149,,20085,,26795,,,-,39,,242,,345,,,-,1,,,-,5,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,132,,396,,4222,,4815,,,-,10,,59,,81,,,-,0,,,-,,-,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,121,,816,,1158,,,-,3,,10,,16,,,-,0,,,-,,-,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,81,,305,,2513,,3126,,1,,6,,37,,43,,,-,0,,,-,1,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,248,,,-,4553,,,-,7,,12,,48,,,-,0,,,-,,-,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,232,,1677,,2418,,,-,6,,46,,34,,,-,0,,,-,,-,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,217,,599,,6881,,7610,,,-,16,,96,,121,,,-,0,,,-,3,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,19,,212,,2416,,2156,,,-,6,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,91,,318,,3437,,3660,,,-,7,,40,,35,,,-,1,,1,,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,40,,,-,477,,,-,3,,8,,15,,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,804,,2586,,27741,,38140,,6,,45,,333,,484,,,-,1,,1,,1,,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,134,,422,,4761,,2519,,,-,14,,88,,94,,,-,0,,,-,,-,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,77,,689,,773,,,-,5,,20,,16,,,-,0,,,-,,-,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,282,,2462,,2720,,,-,8,,33,,48,,,-,0,,,-,,-,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,8,,19,,5,,,-,4,,4,,4,,,-,0,,,-,,-,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,194,,902,,1360,,1038,,,-,9,,31,,32,,,-,1,,1,,,-,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,15,,4,,158,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,27,,117,,170,,,-,3,,4,,13,,,-,0,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,195,,358,,4158,,4247,,1,,9,,36,,50,,,-,0,,,-,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,13,,360,,3610,,4226,,1,,8,,62,,87,,,-,1,,,-,,-,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,128,,247,,2413,,2371,,,-,7,,16,,35,,,-,0,,,-,2,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,57,,259,,457,,,-,2,,3,,14,,,-,0,,,-,,-,IDAHO,,20201651,POINT (-114.659366 44.389073)
MICHIGAN,2020,16,32,,468,,3976,,5147,,,-,13,,43,,56,,,-,0,,,-,,-,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,58,,504,,4378,,6028,,,-,10,,39,,104,,,-,1,,1,,,-,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,868,,7679,,8542,,,-,9,,45,,51,,,-,0,,,-,,-,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,157,,182,,2193,,1,,8,,28,,37,,,-,0,,,-,,-,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,312,,2440,,3196,,,-,5,,16,,28,,,-,1,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,57,,33,,552,,,-,2,,1,,8,,,-,0,,,-,,-,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,16,,60,,130,,,-,2,,1,,1,,,-,0,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,379,,3340,,4484,,,-,7,,30,,62,,,-,0,,,-,,-,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,422,,1749,,18883,,17041,,1,,26,,197,,254,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,548,,1835,,22099,,24092,,,-,4,,11,,20,,,-,0,,,-,,-,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,28,,146,,543,,449,,,-,3,,11,,20,,,-,0,,,-,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
TOTAL,2020,11,3381,,12590,,92719,,125407,,64,,176,,1148,,1350,,,-,3,,3,,4,,,TOTAL,20201170,
NEW YORK,2020,11,260,,539,,2749,,1925,,3,,20,,43,,51,,,-,1,,,-,,-,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,383,,2238,,19059,,21296,,2,,10,,47,,55,,,-,1,,,-,,-,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,110,,1320,,6329,,15671,,16,,48,,188,,149,,,-,1,,1,,1,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,81,,461,,539,,1,,3,,17,,8,,,-,0,,,-,,-,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,222,,1236,,7103,,9374,,1,,24,,116,,129,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,1,,38,,217,,358,,,-,2,,2,,8,,,-,0,,,-,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,278,,1407,,2307,,1,,3,,3,,15,,,-,1,,,-,,-,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,13,,693,,2458,,5727,,,-,11,,40,,43,,,-,0,,,-,,-,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,22,,130,,1077,,1137,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,786,,2258,,10053,,5,,38,,92,,83,,,-,1,,,-,1,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,62,,269,,444,,,-,2,,,-,7,,,-,1,,,-,,-,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,123,,914,,990,,,-,1,,1,,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,137,,321,,1735,,2356,,,-,2,,2,,3,,,-,0,,,-,,-,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,11,5,,81,,181,,198,,,-,4,,3,,8,,,-,0,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,108,,158,,1299,,1227,,2,,7,,32,,21,,,-,0,,,-,,-,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,59,,272,,427,,,-,3,,1,,5,,,-,0,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,222,,378,,2441,,3065,,,-,7,,26,,29,,,-,0,,,-,,-,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,113,,,-,1085,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,594,,,-,5384,,,-,11,,31,,49,,,-,0,,,-,,-,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,103,,254,,2006,,2024,,,-,6,,11,,29,,,-,0,,,-,,-,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,13,,123,,672,,1052,,,-,5,,16,,16,,,-,0,,,-,,-,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,460,,2143,,13631,,18594,,6,,37,,182,,218,,,-,2,,,-,2,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,400,,2836,,3385,,,-,10,,52,,59,,,-,0,,,-,,-,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,2,,121,,708,,824,,,-,3,,10,,14,,,-,0,,,-,,-,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,13,,304,,1714,,2117,,3,,6,,28,,30,,,-,1,,,-,1,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,310,,,-,3192,,,-,7,,12,,35,,,-,0,,,-,,-,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,25,,229,,1258,,1617,,4,,6,,36,,23,,,-,0,,,-,,-,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,297,,598,,5050,,5326,,5,,16,,82,,79,,,-,1,,,-,1,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,8,,212,,1677,,1504,,,-,6,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,85,,317,,2654,,2512,,3,,7,,37,,26,,,-,1,,1,,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,40,,,-,344,,,-,3,,5,,9,,,-,0,,,-,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,756,,2549,,16787,,26783,,18,,43,,239,,325,,,-,1,,1,,1,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,201,,411,,3661,,3185,,2,,14,,72,,74,,,-,0,,,-,,-,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,38,,75,,551,,555,,,-,5,,15,,11,,,-,0,,,-,,-,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,185,,278,,1872,,1823,,2,,8,,25,,32,,,-,0,,,-,,-,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,8,,19,,3,,,-,4,,4,,3,,,-,0,,,-,,-,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,259,,57,,693,,,-,9,,26,,20,,,-,1,,1,,,-,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,17,,4,,123,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,27,,79,,125,,,-,4,,4,,13,,,-,0,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,235,,358,,3174,,2909,,1,,9,,23,,35,,,-,0,,,-,,-,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,44,,359,,2239,,2913,,3,,9,,41,,56,,,-,1,,,-,,-,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,96,,247,,1829,,1676,,,-,5,,3,,23,,,-,1,,,-,1,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,11,,57,,256,,330,,,-,2,,3,,10,,,-,0,,,-,,-,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,54,,466,,2248,,3594,,1,,12,,35,,35,,,-,0,,,-,,-,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,80,,503,,2971,,4558,,2,,10,,29,,72,,,-,1,,1,,,-,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,324,,715,,5902,,5947,,9,,8,,39,,33,,,-,0,,,-,,-,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,152,,159,,1489,,4,,8,,23,,17,,,-,0,,,-,,-,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,312,,1769,,2231,,1,,5,,12,,21,,,-,1,,,-,,-,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,5,,57,,33,,395,,,-,2,,1,,6,,,-,0,,,-,,-,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,15,,41,,99,,,-,2,,1,,1,,,-,0,,,-,,-,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,217,,379,,2840,,3197,,,-,7,,26,,46,,,-,0,,,-,,-,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,888,,1591,,14318,,13081,,14,,26,,165,,187,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,138,,1833,,15756,,16925,,,-,4,,8,,15,,,-,0,,,-,,-,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,146,,359,,394,,,-,4,,7,,13,,,-,0,,,-,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,428,,899,,7383,,6812,,12,,26,,107,,82,,,-,0,,,-,,-,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,7,,57,,321,,285,,,-,4,,2,,8,,,-,0,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,253,,818,,6305,,8215,,1,,12,,46,,70,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,201,,768,,1644,,,-,7,,31,,22,,,-,0,,,-,,-,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,298,,1079,,7359,,9364,,6,,19,,106,,149,,,-,1,,,-,,-,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,313,,2046,,2271,,,-,8,,22,,38,,,-,1,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,17,,4,,123,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
FLORIDA,2020,16,436,,899,,10110,,9958,,4,,26,,137,,117,,,-,0,,,-,,-,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,13,,57,,491,,414,,,-,4,,4,,9,,,-,0,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
