Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PENNSYLVANIA,2020,14,,-,13,,60,,81,,,-,1,,2,,2,,PENNSYLVANIA,,20201413,POINT (-77.838886 40.896694)
UTAH,2020,14,1,,12,,86,,79,,,-,1,,,-,1,,UTAH,,20201455,POINT (-111.678222 39.323779)
COLORADO,2020,14,11,,24,,220,,229,,,-,0,,,-,1,,COLORADO,,20201450,POINT (-105.547832 38.998552)
VERMONT,2020,14,1,,5,,17,,13,,,-,0,,,-,1,,VERMONT,,20201408,POINT (-72.662695 44.075252)
KENTUCKY,2020,14,2,,33,,139,,150,,,-,2,,2,,1,,KENTUCKY,,20201440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201467,POINT (-66.414655 18.215692)
MAINE,2020,14,1,,9,,51,,72,,,-,0,,,-,,-,MAINE,,20201404,POINT (-69.06137 45.117911)
VIRGINIA,2020,14,1,,3,,6,,7,,,-,0,,,-,,-,VIRGINIA,,20201436,POINT (-78.666382 37.510861)
ARIZONA,2020,14,5,,34,,343,,326,,,-,1,,1,,1,,ARIZONA,,20201449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201464,
WISCONSIN,2020,14,3,,23,,154,,144,,,-,0,,,-,,-,WISCONSIN,,20201419,POINT (-89.732969 44.639954)
IDAHO,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201468,POINT (-64.840836 18.060868)
MICHIGAN,2020,14,,-,43,,200,,334,,,-,4,,,-,8,,MICHIGAN,,20201417,POINT (-85.730977 44.874798)
GEORGIA,2020,14,3,,42,,254,,336,,,-,0,,,-,,-,GEORGIA,,20201432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,14,9,,42,,276,,277,,10,,5,,15,,,-,,NEW YORK CITY,20201412,
ARKANSAS,2020,14,5,,33,,125,,140,,,-,1,,1,,,-,ARKANSAS,,20201444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,14,,-,20,,90,,131,,,-,0,,,-,,-,MISSISSIPPI,,20201441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,14,,-,5,,29,,35,,,-,2,,,-,1,,SOUTH DAKOTA,,20201427,POINT (-100.230491 44.43614)
WYOMING,2020,14,,-,4,,12,,18,,,-,0,,,-,,-,WYOMING,,20201456,POINT (-107.55145 42.999627)
MISSOURI,2020,14,,-,33,,167,,243,,,-,4,,3,,18,,MISSOURI,,20201424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,14,19,,127,,766,,847,,12,,6,,41,,21,,,MIDDLE ATLANTIC,20201409,
CALIFORNIA,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,14,,-,16,,57,,131,,,-,2,,2,,,-,WEST VIRGINIA,,20201437,POINT (-80.613729 38.642579)
FLORIDA,2020,14,12,,62,,327,,259,,,-,2,,6,,5,,FLORIDA,,20201431,POINT (-82.420978 28.260731)
MONTANA,2020,14,,-,8,,25,,40,,,-,1,,,-,,-,MONTANA,,20201452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,14,2,,46,,293,,477,,,-,4,,4,,22,,,WEST NORTH CENTRAL,20201420,
MASSACHUSETTS,2020,14,,-,19,,147,,190,,,-,1,,,-,3,,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,14,17,,93,,902,,966,,,-,2,,1,,3,,,MOUNTAIN,20201448,
INDIANA,2020,14,,-,28,,163,,261,,,-,0,,,-,2,,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201463,
MASSACHUSETTS,2020,16,,-,19,,147,,206,,,-,1,,,-,3,,MASSACHUSETTS,,20201605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,16,7,,93,,920,,1066,,,-,2,,3,,3,,,MOUNTAIN,20201648,
INDIANA,2020,16,,-,29,,189,,289,,,-,0,,,-,2,,INDIANA,,20201616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201669,
US TERRITORIES,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201663,
TOTAL,2020,18,34,,809,,6181,,8599,,3,,13,,112,,125,,,TOTAL,20201870,
US RESIDENTS,2020,18,34,,809,,6181,,8599,,3,,13,,112,,125,,,US RESIDENTS,20201801,
NEW HAMPSHIRE,2020,18,1,,8,,46,,55,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201806,POINT (-71.57139 43.680429)
NEW YORK,2020,18,8,,94,,245,,363,,,-,3,,8,,1,,NEW YORK,,20201811,POINT (-75.59655 42.921241)
PACIFIC,2020,18,,-,11,,90,,115,,,-,2,,5,,2,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,273,,723,,1163,,,-,4,,8,,7,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,9,,67,,89,,,-,1,,1,,1,,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,1,,77,,681,,907,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,6,,35,,39,,,-,0,,,-,,-,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,16,,103,,173,,,-,0,,,-,,-,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
IOWA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201821,POINT (-93.500061 42.074659)
TEXAS,2020,18,,-,225,,457,,781,,,-,4,,7,,7,,TEXAS,,20201847,POINT (-99.317341 31.447238)
ALASKA,2020,18,,-,9,,65,,61,,,-,2,,5,,2,,ALASKA,,20201858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,18,,-,6,,31,,21,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201830,POINT (-77.016275 38.904785)
WASHINGTON,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,18,1,,38,,312,,542,,,-,1,,2,,4,,,NEW ENGLAND,20201802,
RHODE ISLAND,2020,18,,-,8,,8,,31,,,-,1,,,-,,-,RHODE ISLAND,,20201807,POINT (-71.534637 41.572574)
OREGON,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201861,POINT (-120.605279 43.940449)
DELAWARE,2020,18,,-,6,,16,,24,,,-,0,,,-,1,,DELAWARE,,20201829,POINT (-75.452394 38.994926)
ALABAMA,2020,18,,-,17,,163,,212,,,-,0,,,-,1,,ALABAMA,,20201839,POINT (-86.844516 32.756889)
KANSAS,2020,18,,-,8,,,-,107,,,-,0,,,-,3,,KANSAS,,20201822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201834,POINT (-79.130883 35.52603)
GUAM,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201866,POINT (144.653198 13.3532)
NEW JERSEY,2020,18,,-,32,,254,,287,,1,,4,,20,,21,,NEW JERSEY,,20201810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,18,1,,19,,123,,174,,,-,0,,,-,,-,NEW MEXICO,,20201854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,18,8,,157,,1173,,1570,,2,,6,,29,,34,,,EAST NORTH CENTRAL,20201814,
TENNESSEE,2020,18,,-,27,,261,,340,,,-,1,,2,,4,,TENNESSEE,,20201842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,18,,-,10,,40,,117,,,-,0,,,-,,-,CONNECTICUT,,20201803,POINT (-72.738288 41.575155)
MARYLAND,2020,18,,-,21,,179,,229,,,-,1,,,-,,-,MARYLAND,,20201833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,18,,-,34,,76,,251,,,-,2,,3,,4,,SOUTH CAROLINA,,20201835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201865,POINT (145.725693 15.1834)
OHIO,2020,18,5,,62,,534,,631,,2,,5,,28,,23,,OHIO,,20201818,POINT (-82.70936 40.415534)
MINNESOTA,2020,18,,-,12,,,-,21,,,-,0,,,-,,-,MINNESOTA,,20201823,POINT (-94.198308 46.349153)
LOUISIANA,2020,18,,-,24,,140,,216,,,-,1,,,-,,-,LOUISIANA,,20201845,POINT (-91.840238 30.921314)
HAWAII,2020,18,,-,5,,25,,54,,,-,0,,,-,,-,HAWAII,,20201860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,18,3,,144,,1058,,1399,,,-,4,,12,,11,,,SOUTH ATLANTIC,20201828,
PENNSYLVANIA,2020,18,,-,13,,76,,97,,,-,1,,2,,2,,PENNSYLVANIA,,20201813,POINT (-77.838886 40.896694)
UTAH,2020,18,,-,13,,92,,98,,,-,1,,,-,1,,UTAH,,20201855,POINT (-111.678222 39.323779)
COLORADO,2020,18,,-,24,,220,,279,,,-,0,,,-,1,,COLORADO,,20201850,POINT (-105.547832 38.998552)
VERMONT,2020,18,,-,5,,19,,24,,,-,0,,,-,1,,VERMONT,,20201808,POINT (-72.662695 44.075252)
KENTUCKY,2020,18,1,,33,,146,,192,,,-,2,,2,,1,,KENTUCKY,,20201840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201867,POINT (-66.414655 18.215692)
MAINE,2020,18,,-,9,,52,,91,,,-,0,,,-,,-,MAINE,,20201804,POINT (-69.06137 45.117911)
VIRGINIA,2020,18,,-,3,,6,,8,,,-,0,,,-,,-,VIRGINIA,,20201836,POINT (-78.666382 37.510861)
ARIZONA,2020,18,6,,33,,369,,379,,,-,1,,3,,1,,ARIZONA,,20201849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201864,
WISCONSIN,2020,18,3,,23,,174,,199,,,-,0,,,-,,-,WISCONSIN,,20201819,POINT (-89.732969 44.639954)
IDAHO,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201868,POINT (-64.840836 18.060868)
MICHIGAN,2020,18,,-,44,,260,,425,,,-,4,,1,,9,,MICHIGAN,,20201817,POINT (-85.730977 44.874798)
GEORGIA,2020,18,2,,71,,315,,377,,,-,0,,,-,,-,GEORGIA,,20201832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,18,6,,42,,315,,363,,,-,10,,15,,6,,,NEW YORK CITY,20201812,
ARKANSAS,2020,18,,-,33,,126,,166,,,-,1,,1,,,-,ARKANSAS,,20201844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,18,,-,20,,111,,163,,,-,0,,,-,,-,MISSISSIPPI,,20201841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,18,,-,5,,29,,47,,,-,2,,,-,1,,SOUTH DAKOTA,,20201827,POINT (-100.230491 44.43614)
WYOMING,2020,18,,-,4,,12,,14,,,-,0,,,-,,-,WYOMING,,20201856,POINT (-107.55145 42.999627)
MISSOURI,2020,18,,-,33,,167,,320,,,-,4,,3,,23,,MISSOURI,,20201824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,18,14,,127,,890,,1110,,1,,11,,45,,30,,,MIDDLE ATLANTIC,20201809,
CALIFORNIA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,18,,-,16,,79,,165,,,-,2,,2,,,-,WEST VIRGINIA,,20201837,POINT (-80.613729 38.642579)
FLORIDA,2020,18,1,,62,,356,,324,,,-,2,,7,,6,,FLORIDA,,20201831,POINT (-82.420978 28.260731)
MONTANA,2020,18,,-,8,,37,,53,,,-,1,,,-,,-,MONTANA,,20201852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,18,,-,46,,298,,623,,,-,4,,4,,28,,,WEST NORTH CENTRAL,20201820,
MASSACHUSETTS,2020,18,,-,19,,147,,224,,,-,1,,,-,3,,MASSACHUSETTS,,20201805,POINT (-71.481104 42.151077)
TOTAL,2020,15,83,,749,,5656,,7371,,5,,13,,101,,109,,,TOTAL,20201570,
US RESIDENTS,2020,15,83,,749,,5656,,7371,,5,,13,,101,,109,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,8,,43,,47,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,6,,94,,221,,287,,,-,3,,9,,1,,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,2,,9,,23,,105,,,-,0,,,-,2,,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,6,,274,,638,,995,,,-,4,,6,,7,,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,9,,64,,80,,,-,1,,1,,1,,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,6,,78,,638,,780,,,-,2,,4,,4,,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,6,,34,,31,,,-,0,,,-,,-,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,17,,102,,139,,,-,0,,,-,,-,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,2,,226,,369,,666,,,-,4,,5,,7,,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,6,,,-,56,,,-,0,,,-,2,,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,2,,6,,34,,16,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,40,,307,,466,,,-,1,,2,,4,,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,8,,9,,22,,,-,1,,,-,,-,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,6,,16,,20,,,-,1,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,1,,17,,140,,184,,,-,0,,,-,1,,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,8,,,-,96,,,-,1,,,-,2,,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,1,,32,,232,,238,,2,,3,,17,,19,,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,19,,114,,151,,,-,0,,,-,,-,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,14,,156,,1076,,1345,,2,,6,,28,,33,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,28,,258,,292,,,-,2,,2,,2,,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,10,,40,,106,,,-,0,,,-,,-,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,2,,21,,161,,199,,,-,1,,,-,,-,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,34,,76,,222,,,-,2,,3,,4,,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,11,,62,,515,,545,,2,,5,,27,,22,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,12,,,-,11,,,-,0,,,-,,-,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,1,,24,,141,,182,,,-,1,,,-,,-,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,2,,5,,23,,49,,,-,0,,,-,,-,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,21,,143,,957,,1243,,1,,4,,12,,9,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,13,,61,,85,,,-,1,,2,,2,,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,12,,86,,83,,,-,1,,,-,1,,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,24,,220,,245,,,-,0,,,-,1,,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,5,,17,,15,,,-,0,,,-,1,,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,1,,33,,140,,164,,,-,2,,2,,1,,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,9,,51,,79,,,-,0,,,-,,-,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,3,,6,,7,,,-,0,,,-,,-,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,8,,34,,352,,337,,,-,1,,2,,1,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201564,
WISCONSIN,2020,15,3,,23,,165,,158,,,-,0,,,-,,-,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,44,,221,,361,,,-,4,,1,,9,,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,3,,44,,266,,356,,,-,0,,,-,,-,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,17,,42,,293,,291,,,-,10,,15,,3,,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,3,,33,,128,,147,,,-,1,,1,,,-,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,4,,20,,100,,140,,,-,0,,,-,,-,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,5,,29,,37,,,-,2,,,-,1,,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,4,,12,,18,,,-,0,,,-,,-,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,33,,167,,267,,,-,4,,3,,18,,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,24,,127,,807,,901,,2,,12,,43,,25,,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,16,,57,,141,,,-,2,,2,,,-,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,14,,62,,341,,282,,1,,2,,7,,5,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,2,,8,,30,,41,,,-,1,,,-,,-,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,,-,46,,294,,522,,,-,4,,4,,22,,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,19,,147,,197,,,-,1,,,-,3,,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,15,10,,93,,916,,1014,,,-,2,,2,,3,,,MOUNTAIN,20201548,
INDIANA,2020,15,,-,28,,175,,281,,,-,0,,,-,2,,INDIANA,,20201516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201569,
US TERRITORIES,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201563,
TOTAL,2020,17,64,,751,,6095,,8167,,,-,13,,110,,121,,,TOTAL,20201770,
US RESIDENTS,2020,17,64,,751,,6095,,8167,,,-,13,,110,,121,,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,8,,44,,51,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,,-,94,,231,,322,,,-,3,,9,,1,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,2,,11,,89,,112,,,-,2,,5,,2,,,PACIFIC,20201757,
WEST SOUTH CENTRAL,2020,17,12,,273,,723,,1109,,,-,4,,8,,7,,,WEST SOUTH CENTRAL,20201743,
NEBRASKA,2020,17,3,,9,,67,,87,,,-,1,,1,,1,,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,17,2,,77,,674,,857,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20201738,
NORTH DAKOTA,2020,17,,-,6,,35,,35,,,-,0,,,-,,-,NORTH DAKOTA,,20201726,POINT (-100.46931 47.446305)
NEVADA,2020,17,,-,17,,100,,166,,,-,0,,,-,,-,NEVADA,,20201753,POINT (-114.916992 39.283294)
ILLINOIS,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
IOWA,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201721,POINT (-93.500061 42.074659)
TEXAS,2020,17,11,,225,,457,,740,,,-,4,,7,,7,,TEXAS,,20201747,POINT (-99.317341 31.447238)
ALASKA,2020,17,1,,9,,64,,59,,,-,2,,5,,2,,ALASKA,,20201758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,17,,-,6,,31,,20,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201730,POINT (-77.016275 38.904785)
WASHINGTON,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,17,2,,38,,309,,521,,,-,1,,2,,4,,,NEW ENGLAND,20201702,
RHODE ISLAND,2020,17,,-,8,,8,,26,,,-,1,,,-,,-,RHODE ISLAND,,20201707,POINT (-71.534637 41.572574)
OREGON,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201761,POINT (-120.605279 43.940449)
DELAWARE,2020,17,,-,6,,16,,21,,,-,1,,,-,1,,DELAWARE,,20201729,POINT (-75.452394 38.994926)
ALABAMA,2020,17,,-,17,,157,,195,,,-,0,,,-,1,,ALABAMA,,20201739,POINT (-86.844516 32.756889)
KANSAS,2020,17,,-,8,,,-,99,,,-,1,,,-,3,,KANSAS,,20201722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201734,POINT (-79.130883 35.52603)
GUAM,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201766,POINT (144.653198 13.3532)
NEW JERSEY,2020,17,,-,32,,247,,265,,,-,4,,19,,19,,NEW JERSEY,,20201710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,17,2,,19,,120,,164,,,-,0,,,-,,-,NEW MEXICO,,20201754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,17,10,,157,,1147,,1484,,,-,6,,27,,33,,,EAST NORTH CENTRAL,20201714,
TENNESSEE,2020,17,,-,27,,261,,326,,,-,1,,2,,4,,TENNESSEE,,20201742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,17,,-,10,,40,,115,,,-,0,,,-,,-,CONNECTICUT,,20201703,POINT (-72.738288 41.575155)
MARYLAND,2020,17,,-,21,,177,,221,,,-,1,,,-,,-,MARYLAND,,20201733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,17,,-,34,,76,,240,,,-,2,,3,,4,,SOUTH CAROLINA,,20201735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,17,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201765,POINT (145.725693 15.1834)
