Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
ARORA HILLS #1,23030 BIRCH MEAD RD,CLARKSBURG,20871,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARORA HILLS I,Community,"23030 BIRCH MEAD RD
CLARKSBURG, MD 20871
(39.236059, -77.253075)",19567
FARMINGDALE,18211 CHALET DR,GERMANTOWN,20874,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FARMINGDALE CONDO,Apartments/Condos,"18211 CHALET DR
GERMANTOWN, MD 20874
(39.156234, -77.274616)",19661
LEISURE WORLD-OUTDOOR,3700 ROSSMOOR BLVD,SILVER SPRING,20906,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LEISURE WORLD,Community,"3700 ROSSMOOR BLVD
SILVER SPRING, MD 20906
(39.100949, -77.074635)",19751
BANNOCKBURN,6513 LAVEROCK LN,BETHESDA,20817,07/10/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BANNOCKBURN SWIMMING CLUB,Community,"6513 LAVEROCK LN
BETHESDA, MD 20817
(38.974913, -77.141543)",19572
CARTER HILL,17 GUY CT,ROCKVILLE,20850,07/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CARTER HILL HOMEOWNERS ASSOC.,Community,"17 GUY CT
ROCKVILLE, MD 20850
(39.086962, -77.183076)",19601
SPRING PARC,17 FEATHERWOOD CT,SILVER SPRING,20904,07/10/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BRIDGE PROPERTY MANAGEMENT,Apartments/Condos,"17 FEATHERWOOD CT
SILVER SPRING, MD 20904
(39.058774, -76.972091)",19657
OLD FARM,1 SWIM CLUB WAY,ROCKVILLE,20852,07/08/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CHRIS SCANGO,Community,"1 SWIM CLUB WAY
ROCKVILLE, MD 20852
(39.053576, -77.141629)",19806
BETHESDA COUNTRY CLUB,7601 BRADLEY BLVD,BETHESDA,20817,07/09/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BETHESDA COUNTRY CLUB,Country Club,"7601 BRADLEY BLVD
BETHESDA, MD 20817
(39.011743, -77.15544)",19578
TILDEN WOODS,6806 TILDEN LN,ROCKVILLE,20852,07/08/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TILDEN WOODS RECREATION ASSOC,Community,"6806 TILDEN LN
ROCKVILLE, MD 20852
(39.044115, -77.138811)",19905
PARKSIDE PLAZA,9039 SLIGO CREEK PKW,SILVER SPRING,20901,07/10/2019,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARKSIDE PLAZA CONDO ASSOC,Apartments/Condos,"9039 SLIGO CREEK PKW
SILVER SPRING, MD 20901
(39.003407, -77.014011)",19827
CHERRY KNOLL,18832 BENT WILLOW CIR,GERMANTOWN,20874,06/26/2019,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PINNACLE PROPERTY MANAGEMENT,Apartments/Condos,"18832 BENT WILLOW CIR
GERMANTOWN, MD 20874
(39.165687, -77.259605)",19607
WILLOWS OF POTOMAC,10015 BALD CYPRESS DR,Rockville,20850,07/17/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WILLOWS OF POTOMAC COMMUNITY ASSOC,Community,"10015 BALD CYPRESS DR
Rockville, MD 20850
(39.085794, -77.206334)",19976
"MARTIN LUTHER KING, JR",1201 JACKSON RD,SILVER SPRING,20904,07/08/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DEPARTMENT OF RECREATION-AQUATICS,Government,"1201 JACKSON RD
SILVER SPRING, MD 20904
(39.055072, -76.982795)",19765
MANOR WOODS,14410 BAUER DR,ROCKVILLE,20853,07/16/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MANOR WOODS SWIM CLUB INC,Community,"14410 BAUER DR
ROCKVILLE, MD 20853
(39.090971, -77.101403)",19760
FLOWER HILL,8100 MOUNTAIN LAUREL LN,GAITHERSBURG,20879,06/20/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FLOWER HILL CENTRAL CORPORATION,Community,"8100 MOUNTAIN LAUREL LN
GAITHERSBURG, MD 20879
(39.157766, -77.166369)",19666
POTOMAC FARMS,14306 DUFIEF MILL ROAD,GAITHERSBURG,20878,07/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,IKO REAL ESTATE INC,Community,"14306 DUFIEF MILL ROAD
GAITHERSBURG, MD 20878",19839
SUMNER COURT,5011 SENTINEL DR,BETHESDA,20816,06/21/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ABARIS REALITY INC,Apartments/Condos,"5011 SENTINEL DR
BETHESDA, MD 20816
(38.951187, -77.118876)",19898
ARGYLE COUNTRY CLUB,14600 ARGYLE CLUB RD,SILVER SPRING,20906,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARGYLE COUNTRY CLUB,Country Club,"14600 ARGYLE CLUB RD
SILVER SPRING, MD 20906
(39.096409, -77.046569)",19559
BENNINGTON,29 GOODPORT LN,Gaithersburg,20879,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BENNINGTON COMMUNITY,Community,"29 GOODPORT LN
Gaithersburg, MD 20879
(39.151883, -77.237877)",19577
BETHESDA PARK,12413 RAXFIELD CT,ROCKVILLE,20852,07/16/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ALVIN L AUBINOE INC,Apartments/Condos,"12413 RAXFIELD CT
ROCKVILLE, MD 20852
(39.058354, -77.10511)",19580
PARKLANE,8200 SPICEBERRY LN,GAITHERSBURG,20877,06/24/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FAIRFIELD RESIDENTAL,Apartments/Condos,"8200 SPICEBERRY LN
GAITHERSBURG, MD 20877
(39.152013, -77.164221)",20012
STONEBRIDGE,14501 STONEBRIDGE VIEW DR,GAITHERSBURG,20878,07/17/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,STONEBRIDGE HOA,Community,"14501 STONEBRIDGE VIEW DR
GAITHERSBURG, MD 20878
(39.093753, -77.219116)",19886
SOMERSET HOUSE,5620 WISCONSIN AVE,CHEVY CHASE,20815,06/24/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOMERSET HOUSE HOUSE MANAGMENT ASSOC,Apartments/Condos,"5620 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.965809, -77.088246)",19879
RADISSON HOTEL,3 RESEARCH CT,ROCKVILLE,20850,07/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AIL HOSPITALITY LLC,Hotel,"3 RESEARCH CT
ROCKVILLE, MD 20850
(39.107737, -77.187043)",19975
INVERNESS FOREST,10820 DEBORAH DR,POTOMAC,20854,06/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INVERNESS RECREATION,Community,"10820 DEBORAH DR
POTOMAC, MD 20854
(39.034009, -77.163982)",19729
ROCK CREEK GARDENS,2224-A WASHINGTON AVE,SILVER SPRING,20910,06/25/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ABARIS REALITY,Community,"2224-A WASHINGTON AVE
SILVER SPRING, MD 20910
(38.993063, -77.047309)",19858
BARRINGTON,1970 ROSEMARY HILLS DR,Silver Spring,20910,06/25/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FAIRFIELD RESIDENTIAL,Apartments/Condos,"1970 ROSEMARY HILLS DR
Silver Spring, MD 20910
(38.999696, -77.042077)",19678
CHRISTOPHER COURT,18500 FAIRLIGHT DR,GAITHERSBURG,20886,07/17/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TIDEWATER PROPERTY MANAGEMENT,Community,"18500 FAIRLIGHT DR
GAITHERSBURG, MD 20886
(39.160527, -77.20708)",19614
BUTLER SCHOOL,15951 GERMANTOWN RD,GERMANTOWN,20874,07/10/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BUTLER MONTESSORI COUNTRY SCHOOL,Other,"15951 GERMANTOWN RD
GERMANTOWN, MD 20874
(39.118761, -77.296466)",19590
ROCKSHIRE,2351 WOOTON PKWY,ROCKVILLE,20850,07/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ROCKSHIRE,Community,"2351 WOOTON PKWY
ROCKVILLE, MD 20850",19862
INVERNESS,7520 HEATHERTON LN,POTOMAC,20854,06/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INVERNESS ASSOC,Community,"7520 HEATHERTON LN
POTOMAC, MD 20854
(39.042687, -77.1552)",19728
TOWN OF SOMERSET,5545 WARWICK PL,CHEVY CHASE,20815,06/25/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN OF SOMERSET,Community,"5545 WARWICK PL
CHEVY CHASE, MD 20815
(38.964702, -77.093791)",19880
WESTLAKE PARK,7425 DEMOCRACY BLVD,BETHESDA,20817,06/25/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HOA,Community,"7425 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.023093, -77.152366)",19941
TWINBROOK FOREST,533 MEADOW HALL DR,ROCKVILLE,20850,07/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TWINBROOK FOREST,Apartments/Condos,"533 MEADOW HALL DR
ROCKVILLE, MD 20850
(39.075946, -77.108458)",19913
RIVER FALLS,7915 HORSESHOE LN,POTOMAC,20854,06/24/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIVER FALLS COMMUNITY CENTER ASSOC,Community,"7915 HORSESHOE LN
POTOMAC, MD 20854
(38.99056, -77.213863)",19855
QUINCE ORCHARD PARK,515 HIGHLAND RIDGE AVE,GAITHERSBURG,20878,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,QUINCE ORCHARD PARK HOA,Community,"515 HIGHLAND RIDGE AVE
GAITHERSBURG, MD 20878
(39.12581, -77.225076)",19996
WOODLAKE,12066 WINDING CREEK WAY,GERMANTOWN,20874,07/16/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WOODLAKE HOA,Community,"12066 WINDING CREEK WAY
GERMANTOWN, MD 20874",19962
FLATS AT SHADY GROVE,1380 PICCARD DR,Rockville,20850,07/17/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VAN METRE,Apartments/Condos,"1380 PICCARD DR
Rockville, MD 20850
(39.106686, -77.180112)",19961
KING FARM-ASSEMBLY I,300 SADDLE RIDGE CIR,ROCKVILLE,20850,07/17/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KING FARM CITIZENS HOA,Community,"300 SADDLE RIDGE CIR
ROCKVILLE, MD 20850
(39.108873, -77.170419)",19989
ROCKVILLE TOWN SQUARE,20 MARYLAND AVE,Rockville,20852,07/25/2018,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ROCKVILLE TOWN SQUARE,Apartments/Condos,"20 MARYLAND AVE
Rockville, MD 20852
(39.086626, -77.151056)",19551
GATEWAY,925 CLOPPER RD,GAITHERSBURG,20878,05/31/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE GATEWAY,Apartments/Condos,"925 CLOPPER RD
GAITHERSBURG, MD 20878
(39.145229, -77.22689)",22552
ROCKVILLE TOWN SQUARE,20 MARYLAND AVE,Rockville,20852,05/22/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ROCKVILLE TOWN SQUARE,Apartments/Condos,"20 MARYLAND AVE
Rockville, MD 20852
(39.086626, -77.151056)",19551
HUNTINGTON AT KING FARM #2,801 ELMCROFT BLVD,ROCKVILLE,20850,07/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HUNTINGTON-KING FARM,Apartments/Condos,"801 ELMCROFT BLVD
ROCKVILLE, MD 20850
(39.115565, -77.168703)",19994
CHERRY KNOLL,18832 BENT WILLOW CIR,GERMANTOWN,20874,06/21/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PINNACLE PROPERTY MANAGEMENT,Apartments/Condos,"18832 BENT WILLOW CIR
GERMANTOWN, MD 20874
(39.165687, -77.259605)",19607
PARK SUMMIT,135 CORAL REEF TERR,GAITHERSBURG,20878,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PARK SUMMIT HOA,Apartments/Condos,"135 CORAL REEF TERR
GAITHERSBURG, MD 20878
(39.122721, -77.212668)",19821
SPRING PARC,17 FEATHERWOOD CT,SILVER SPRING,20904,05/16/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BRIDGE PROPERTY MANAGEMENT,Apartments/Condos,"17 FEATHERWOOD CT
SILVER SPRING, MD 20904
(39.058774, -76.972091)",19657
ALAIRE,1101 HIGGINS PL,ROCKVILLE,20852,05/31/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JBG SMITH,Apartments/Condos,"1101 HIGGINS PL
ROCKVILLE, MD 20852
(39.04839, -77.114)",21156
LAKELANDS RIDGE,100 HIGH GABLES DR,Gaithersburg,20878,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAKELAND RIDGE,Apartments/Condos,"100 HIGH GABLES DR
Gaithersburg, MD 20878
(39.118031, -77.222585)",20006
VILLAGE SQUARE WEST,12401 VILLAGE SQUARE TERR,ROCKVILLE,20852,07/16/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY APARTMENT MANAGEMENT,Apartments/Condos,"12401 VILLAGE SQUARE TERR
ROCKVILLE, MD 20852
(39.06144, -77.109646)",19922
CHERRY KNOLL,18832 BENT WILLOW CIR,GERMANTOWN,20874,08/16/2018,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PINNACLE PROPERTY MANAGEMENT,Apartments/Condos,"18832 BENT WILLOW CIR
GERMANTOWN, MD 20874
(39.165687, -77.259605)",19607
RESIDENCE INN-BETHESDA,7335 WISCONSIN AVE,BETHESDA,20814,05/16/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MARRIOTT,Hotel,"7335 WISCONSIN AVE
BETHESDA, MD 20814
(38.982773, -77.09337)",19852
MONTGOMERY SQUARE COPENHAVER,12300 FALLS RD,POTOMAC,20854,07/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"MONTGOMERY SQUARE COPENHAVER SWIM CLUB, INC",Community,"12300 FALLS RD
POTOMAC, MD 20854
(39.057623, -77.178189)",19786
CHERRY KNOLL,18832 BENT WILLOW CIR,GERMANTOWN,20874,08/16/2018,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PINNACLE PROPERTY MANAGEMENT,Apartments/Condos,"18832 BENT WILLOW CIR
GERMANTOWN, MD 20874
(39.165687, -77.259605)",19607
SPRING PARC,17 FEATHERWOOD CT,SILVER SPRING,20904,05/23/2019,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BRIDGE PROPERTY MANAGEMENT,Apartments/Condos,"17 FEATHERWOOD CT
SILVER SPRING, MD 20904
(39.058774, -76.972091)",19657
CHERRY KNOLL,18832 BENT WILLOW CIR,GERMANTOWN,20874,05/21/2018,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PINNACLE PROPERTY MANAGEMENT,Apartments/Condos,"18832 BENT WILLOW CIR
GERMANTOWN, MD 20874
(39.165687, -77.259605)",19607
GOVERNOR'S SQUARE,409 MUDDY BRANCH RD,GAITHERSBURG,20878,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY APARTMENT COMMUNITIES,Apartments/Condos,"409 MUDDY BRANCH RD
GAITHERSBURG, MD 20878
(39.126212, -77.211727)",19691
KENTLANDS CLUB,485 TSCHIFFELY SQUARE RD,GAITHERSBURG,20878,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENTLAND CITIZEN ASSEMBLY,Apartments/Condos,"485 TSCHIFFELY SQUARE RD
GAITHERSBURG, MD 20878
(39.123227, -77.243088)",19736
GATEWAY,925 CLOPPER RD,GAITHERSBURG,20878,07/27/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE GATEWAY,Apartments/Condos,"925 CLOPPER RD
GAITHERSBURG, MD 20878
(39.145229, -77.22689)",22552
