Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,278448,08/09/2012,08/02/2013,08/26/2016,08/02/2015,REPLACEMENT OF BRIDGE NO. M-0187B ALONG WHITE FERRY ROAD OVER BROAD RUN TRIBUTARY,CONS,,,,,"WHITES FERRY ROAD, POOLESVILLE",,,,,,,,,,18183,9589,0,,
FLOODPLAIN DISTRICT PERMIT,258814,08/06/2008,05/18/2009,,05/18/2011,"REPLACE CONCRETE RISER & HEADWALL, SLIPLINE EX. 42"" BARREL, AND DREDGE POND.",CONS,LSC,,226NW14,,LARK SONG DRIVE,,,,,,,,,E-3/MAP 5046,20550,,0,,
FLOODPLAIN DISTRICT PERMIT,223240,07/23/2003,11/10/2003,,11/10/2005,CONSTRUCT CHANNEL BANK IMPROVEMENTS,,NWB,,222NW02,,"WESTMINISTER DRIVE, LOTS 21-23/A; PARCELS A & B",,,,,,,,,,3600,0,0,,
FLOODPLAIN DISTRICT PERMIT,208528,10/10/2000,04/02/2001,04/12/2005,04/12/2007,PRESSURE SEWER INSTALLATION IN MAINTENANCE YARD,,LSC,,229NW13,"EV32,EV21,EV31",BLACK HILL REGIONAL PARK,,,,,,,,,9D10,1873.80,0,0,,
FLOODPLAIN DISTRICT PERMIT,231936,10/05/2004,10/15/2004,08/27/2009,08/27/2011,CONSTRUCT STORM DRAIN & SEWER OUTFALL INTO 100-YEAR FLOODPLAIN,,LPB,,218NE04,KR562,"GREENCASTLE ROAD, BURTONSVILLE 20866",,,,,,,,,,8712,0,0,Lots 1-27; Parcels A & B,
FLOODPLAIN DISTRICT PERMIT,356832,02/22/2017,08/29/2017,,08/29/2020,"Maintenance dredging of existing pond located at the Grosvenor Park Condominium Association.

(Par: B & C, Plat-6899; Par: E (N572), Plat-14472)",,,,213NW05,,"[GROSVENOR PARK]

TUCKERMAN LANE to the north; ROCKVILLE PIKE (MD-355) to the east; GROSVENOR LANE to the south; and GROSVENOR PLACE (private street) to the west.",,,,,,,,,5285-D6,25357,0,0,,
FLOODPLAIN DISTRICT PERMIT,228714,04/06/2004,,,,REPLACE EXISTING CLOGGED CULVERT WITH A NEW CULVERT & A CONTROL STRUCTURE TO MAINTAIN EXISTING WETLAND & ENHANCE THE WATER QLTY & HABITAT IT PROVIDES.,CONS,LRC,UNNAMED,4NW-214NW,,"M-NCPPC KEN GAR PALISADES OFF OF BEACH DRIVE JUST NOTH OF STRATHMORE AVENUE, KENSINGTON, MD 20895",,,,,,,,,,8690,400,0,,
FLOODPLAIN DISTRICT PERMIT,225221,11/05/2003,12/18/2003,03/10/2008,03/10/2010,CONSTRUCTION OF A STORMWATER POND AND LOCBURY DR ROADWAY EMBANKMENT,,LSC,TOWNCENTER,,,,19840,,CENTURY,,BLVD,GERMANTOWN,MD,20874,,4000,,0,Parcel P343,"19840 CENTURY BLVD
GERMANTOWN, MD 20874
(39.181509, -77.26622)"
FLOODPLAIN DISTRICT PERMIT,200574,09/22/1999,01/04/2000,01/12/2005,,CONTRUCT 2 POND OUTFALLS AND ROADWAY CROSSING,,MBR,RICH BR,219NW/11NW,FR123,"DUFIEF MILL RD, DARNESTOWN",,,,,,,,,27 K5,33900,2580,0,,
FLOODPLAIN DISTRICT PERMIT,351704,03/11/2016,10/04/2016,02/15/2019,10/04/2018,Replace failing and eroded culverts at two (2) locations,,LMR,,225NW11,FX121,"11600 Kingstead Road / Clarksburg, MD 20871",,,,,,,,,,8458,0,0,,
FLOODPLAIN DISTRICT PERMIT,370913,08/23/2019,08/26/2019,,08/26/2021,"Rehabilitation of a 72""X58"" SPPA under Gridley Road (access from Glenhaven Dr) by placing 4-inch concrete layer at the culver bottom.",,,,213NW02,JP123,,10504,,GLENHAVEN,,DR,SILVER SPRING,MD,20902,JP13,2491,0,0,,"10504 GLENHAVEN DR
SILVER SPRING, MD 20902
(39.028599, -77.040841)"
FLOODPLAIN DISTRICT PERMIT,370910,08/23/2019,08/26/2019,,08/26/2021,Rehabilitation of a 96-inch CMP under Germantown Road by placing 4-inch concrete layer at the culvert bottom.,,,,228NW11,FU123.,,20301,,MILL POND,,TER,GERMANTOWN,MD,20876,FU23,3076,0,0,,"20301 MILL POND TER
GERMANTOWN, MD 20876
(39.191936, -77.229363)"
FLOODPLAIN DISTRICT PERMIT,352512,05/13/2016,12/27/2016,,12/27/2018,THE REMOVAL OF A DAM AND THE RESTORATION OF THE STREAM THROUGH THE OLD POND BOTTOM AND EMBANK MENT.,CONS,NWB,,22NW03,HS-563,"BATCHELLORS FOREST ROAD, OLNEY",,,,,,,,,E11A,"99,825",0,0,,
FLOODPLAIN DISTRICT PERMIT,370912,08/23/2019,08/26/2019,,08/26/2021,"Rehabilitation of a 92""X66"" SPPA under Randolph Road by placing 4-inch concrete layer at the culver bottom.",,,,216NW03,HQ563,"(near) Glenmont Park, Randolph Road, Silver Spring MD",,,,,,,,,HQ53,4637,0,0,,
FLOODPLAIN DISTRICT PERMIT,218037,07/17/2002,02/02/2004,,02/02/2006,"STREAM BANK STABILIZATION, BUFFER ENHANCEMENT, WETLAND ENHANCEMENT & HABITAT CREATION",,URC,,227NW6,GU562,NORTH & SOUTH OF FIELDCREST RD (BETWEEN FALLING SPRING CT & STREAM VALLEY DR) LAYTONSVILLE,,,,,,,,,20;E-1,109335,0,356,,
FLOODPLAIN DISTRICT PERMIT,206339,08/04/2000,09/14/2000,,,COLVERT UNDER EXPOSED COUNTY RD & CULVER UNDER STATE RD,,GSC,,,ET122,SOUTH GERMANTOWN PARK DR & MD RT 118 IMPRROVEMENTS,,,,,,,,,18A08,109771.20,39204,162,,
FLOODPLAIN DISTRICT PERMIT,253160,06/01/2007,06/11/2008,02/16/2016,06/11/2010,"AS MITIGATION REQUIRED BY THE MDSPGP-2 ISSUED FOR THIS PROJECT, APPORXIMATELY 150 LINEAR FEET OF STREAM IS TO BE STABILIZED.",,LBC,,233NW1314,EW-32,ROUTE 355; WOODCREST,,,,,,,,,"P892, 3C","115,215",,0,,
FLOODPLAIN DISTRICT PERMIT,320654,08/12/2014,06/22/2016,,06/22/2018,Retrofit of the existing stormwater management dry pond to meet 2000 MDE criteria for CPv and WQv to MEP,,WBR,SANDY BR,5163/A7,ER62,Appaloosa Way/WRE12-01/Potomac Ridge Asset #10891,,,,,,,,,218NW12,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,204316,04/13/2000,11/15/2000,,,"CONSTRUCT ALUMINUM ARCH CROSSING OVER JAMES CREEK, ALLOWING EXTENSION OF PYRITE LANE.",,HWR,JAMES CR,"226NW,2NW",,PYRITE LANE IN DELLABROOKE SUBDIVISION,,,,,,,,,21JO3,33976.80,0,61303,,
FLOODPLAIN DISTRICT PERMIT,209959,01/26/2001,03/20/2001,,,REPAIR & REPLACE  EXISTING BRIDGE AND RIP-RAP CHANNEL-LONG BRANCH STREAM PARK & E.WAYNE AVE,,SCR,LONG BR.,211NE1,JP561,LONG BRANCH SV PARK UNIT 2 - BETWEEN PINEY BRANCH RD & E. MELBOURNE AVE,,,,,,,,,37E8,390,0,0,,
FLOODPLAIN DISTRICT PERMIT,269879,06/07/2011,,,,REPLACEMENT OF BRIDGE NO. M-0187B ALONG WHITES FERRY ROAD OVER BROAD RUN TRIBUTARY,CONS,,,,,"WHITES FEERY ROAD, POOLESVILLE",,,,,,,,,,18183,9589,0,,
FLOODPLAIN DISTRICT PERMIT,304586,11/08/2013,,,,Retrofit existing SWM pond to meet 2000 MDEcriteria for CPv & WQv for Montgomery County MS4 program,,LPB,,219NE04,KR63,"Ballinger Drive Silver Spring, Maryland 20904",,,,,,,,,5168 Grid A6,99304,0,0,,
FLOODPLAIN DISTRICT PERMIT,221614,05/14/2003,05/28/2003,04/24/2008,04/24/2010,CONSTRUCT BIOFILTRATION FACILITIY OUTFALLS.,,NWB,,224NW1NW,,"HIDDEN GARDEN...ADC MAP PG.22,C-8",,,,,,,,,22C8,275,,0,,
FLOODPLAIN DISTRICT PERMIT,271865,11/01/2011,06/03/2013,04/15/2015,06/03/2015,"RETROFIT AN EXISTG SWM POND BY REPLACG THE EXISTG RISER & LOW FLOW DEVICE, AS WELL AS MODIFYG THE DAM & MAKG IMPROVEMTS TO SD OUTFALLS IN BASIN OF FAC",COMISC,NWB,,220NW01,JS31,"FIELDSTONE ROAD AT FIELDSTONE COURT, COLESVILLE, MARYLAND 20905",,,,,,,,,"5186,G-5",6150,0,0,,
FLOODPLAIN DISTRICT PERMIT,264825,03/05/2010,,,,INSTALL DRY HYDRANT,CONS,GSC,SE,221NW15,DS43,"SOUTH OF MD 28 DARNESTOWN RD, WEST OF BERRYVILLE RD",,,,,,,,,,6814,789,0,INSTALLATION OF DRY HYDRANT; ACCESS ROAD,
FLOODPLAIN DISTRICT PERMIT,265390,04/22/2010,10/19/2010,,10/19/2012,BRIDGE SUPERSTRUCTURE REHAB/IMPROVEMENTS,,LRC,,212 NW 04,"HP41, HP42","CEDAR LANE AT BEACH DRIVE, KENSINGTON",,,,,,,,,36-A-6,67058.42,1175.97,0,,
FLOODPLAIN DISTRICT PERMIT,218950,09/26/2002,11/07/2006,07/17/2007,07/17/2009,SWM POND,,HWR,,,,"RT 108 & RIGGS RD, LAYTONSVILLE, MD",,,,,,,,,,0,0,0,"Lots 49-69/D, Parcel F & G",
FLOODPLAIN DISTRICT PERMIT,215437,01/31/2002,04/23/2003,,04/23/2005,"STREAMBANK IMPROVEMENTS SUCH AS RIP RAP TOE PROTECTION, CROSS VANES, & EROSION CONTROL",,NWB,,209NE1,,RUNS ALMOST PARREL & WEST OF UNIVERSITY BLV FROM PINEY BRANCH RD TO NEW HAMPSHIRE AVE,,,,,,,,,,297079,,0,streambank restoration,
FLOODPLAIN DISTRICT PERMIT,240423,10/07/2005,10/11/2005,,10/11/2007,RETAINING WALL RENOVATIONS INSIDE THE 25 FT FLOODPLAIN BUILDING RESTRICTION LINE (FPBRL).,,LSC,L/CHURCHIL,228NW13,EU343,CHURCHILL VILLAGE GERMANTOWN 20874,,,,,,,,,9C13,,,0,retaining wall renovation,
FLOODPLAIN DISTRICT PERMIT,213320,08/16/2001,07/31/2006,,07/31/2008,SWM POND RETROFIT,,PBR,LEFT FORK,219NE3,,"SWM POND @ LOCUST WOOD COURT, SILVER SPRING",,,,,,,,,,1302,20800,0,,
FLOODPLAIN DISTRICT PERMIT,212933,07/23/2001,11/07/2002,,,ROAD CROSSING TO REPLACE EXISTING UNDERSIZED PIPE,,LBC,,235NW11,FX121,MONTCO SUBDIVISION,,,,,,,,,5J6,1800,0,0,As of 7/23/01 needs drawings & can not review until they are in.,
FLOODPLAIN DISTRICT PERMIT,371076,09/03/2019,,,,"REPLACEMENT OF TWIN 36"" CMP",,,,,,"near 15901 EMORY LANE
ROCKVILLE, MD 20853",,,,,,,,,,472,,0,,
FLOODPLAIN DISTRICT PERMIT,215414,01/31/2002,09/10/2002,,,"STREAMBANK IMPROVEMENTS SUCH AS RIP RAP TOE PROTECTION, CROSS VANES & EROSION CONTROL",,CJC,,211NW8,,BRADLEY BLV BRIDGE CROSSING JUST EAST OF KENTSDALE DR,,,,,,,,,35E9,216000,,0,stream restoration,
FLOODPLAIN DISTRICT PERMIT,367956,03/26/2019,09/09/2019,,09/09/2021,Refer to COMMENTS.,,,,228NW09,FU63,,8821,E,VILLAGE,,AVE,MONTGOMERY VILLAGE,MD,20886,4930-B10,48884,0,0,,"E 8821 VILLAGE AVE
MONTGOMERY VILLAGE, MD 20886"
FLOODPLAIN DISTRICT PERMIT,234347,02/16/2005,,,,"RESTORE 2,280 LINEAR FT OF DEGRADED STREAM & ENHANCE RIPARIAN CONDIITIONS.",,NWB,,221NW02,,"LAYHILL ROAD/NORBECK ROAD, PARCELS P670 & P936",,,,,,,,,,"179,000",0,0,"Stream Restoration, Parcels P670 & P936",
FLOODPLAIN DISTRICT PERMIT,238775,08/05/2005,08/15/2005,04/23/2009,04/23/2011,"CONSTRUCT SWM/SD OUT FALL (CONCRETE PIPE, CONCRETE END SECTION & MSHA C1I RIPRAP)",,WBR,,219NW10,,SHADY GROVE RD & MOLECULAR DR,,,,,,,,,,3070,250,0,"Parcels I,J & K, Blk. A",
FLOODPLAIN DISTRICT PERMIT,209760,01/09/2001,10/11/2004,,10/12/2006,IN-STREAM CONCRETE DIVERSION STRUCTURE TO DIVERT LOW FLOWS TO A PROPOSED SWM POND OUTSIDE OF FP.,,PBR,,218NE2,,"PROPOSED ACCESS AT WEST END OF BART DRIVE, PARCEL A, BLOCK E",,,,,,,,,,800,0,0,,
FLOODPLAIN DISTRICT PERMIT,202759,01/11/2000,01/24/2000,,,CONSTRUCT A SWM-FACILITY IN F/PLAIN FOR 4 SF HOMES,,LRC,UNNAMED,214NW4,HQ341,"WEXFORD DRIVE, KENSINGTON - LOT 7/17, PARCEL 719",,,,,,,,,36D2,0.003,0.0,0,,
FLOODPLAIN DISTRICT PERMIT,253025,05/22/2007,,,,DREDGE TON STORM WATER POND WHICH IS 340 FT. WEST OF THE CUL-DE-SAC ON LAUREL LEAF DRIVE.,CONS,PRD,,,FN 22,LAUREL LEAF DRIVE,,,,,,,,,MAP34-B11,,,0,,
FLOODPLAIN DISTRICT PERMIT,327486,12/04/2014,01/09/2017,,01/09/2019,Replacement of overpass over Watts Branch,,WBR,,,,"Piney Meetinghouse Road over Watts Branch, Potomac",,,,,,,,,FQ11,"33,980",1745,0,,
FLOODPLAIN DISTRICT PERMIT,366878,01/24/2019,09/17/2019,,09/17/2021,Pond Repair Project - Asset No: 11074,,PRD,,208nw08,gn21,"[CONGRESSIONAL COUNTRY CLUB ESTATES] CARLYNN DRIVE, Parcel: B, Block: D, Plat: 10942 and Parcel: C, Block: D, Plat: 10942.",,,,,,,,,5406-C4,10047,,0,PERSIMMON TREE POND REPAIR - ASSETT# 11074,
FLOODPLAIN DISTRICT PERMIT,220149,01/15/2003,02/04/2003,,,STREAM RESTORATION SC#204763,,NWB,,220NW03,,NORTH LEISURE WORLD BLVD. STREAM IMPROVEMENTS,,,,,,,,,30E2,14374,0,0,stream restoration,
FLOODPLAIN DISTRICT PERMIT,217567,06/21/2002,03/25/2003,,,SWM MAINTENANCE,,LPB,,218NW4,,SHEFFIELD MANOR DR APPROX 1300' EAST OF INTRSECTION WITH ASHTON MANOR DRIVE,,,,,,,,,,47916,0,0,Parcel D,
FLOODPLAIN DISTRICT PERMIT,218929,09/24/2002,11/22/2002,,11/22/2008,STABILIZATION OF ERODED STREAM CHANNEL USING RIPRAP & BIOENGINEERING TECHNIQUES,,LRC,,"842,885",,TURKEY BR FROM ROCK CR TO CONNECTICUT AVE,,,,,,,,,,82328,0,0,,
FLOODPLAIN DISTRICT PERMIT,355902,12/22/2016,02/08/2017,,02/08/2019,Extension of existing inflow channel,CONS,,CABIN BRCH,231NW14,,West Old Baltimore Road,,,,,,,,,,54189,7667,0,,
FLOODPLAIN DISTRICT PERMIT,369046,05/17/2019,09/20/2019,,09/20/2021,GOLF COURSE RENOVATION,,CJC,,,,,8500,,RIVER,,RD,BETHESDA,MD,20817,,7250,,0,,"8500 RIVER RD
BETHESDA, MD 20817
(38.999234, -77.17405)"
FLOODPLAIN DISTRICT PERMIT,354388,09/12/2016,11/01/2017,,11/01/2020,Widening of West Old Baltimore Road,CONS,LSC,CABIN BRCH,231NW14,,West Old Baltimore Road,,,,,,,,,,54189,7667,0,,
FLOODPLAIN DISTRICT PERMIT,370523,08/01/2019,09/24/2019,,09/24/2021,ADD DRIVEWAY FOR ACCESS TO 2 NEW HOMES INCLUDING NEW CULVERT PIPES AT CROSSING,,MBR,,223NW09,561,CENTRAL AVENUE--100 FEET EAST OF OAKMONT STREET,,,,,,,,,,1020,480,0,"OAKMONT- LOTS 8 &amp; 10, BLOCK 2",
FLOODPLAIN DISTRICT PERMIT,223642,08/13/2003,10/09/2003,,10/09/2005,"INSTALL BRIDGE SPAN FOR HIKERS, BIKES & HORSES USING HELICAL PIPES & BRIDGE",,GSC,GOSHEN BR,"228, 229NW 11, 10",,"GREAT SENECA STREAM VALLEY UNITS 1, 2, 3",,,,,,,,,,4,0,0,"3 sites in Seneca Creek Greenway Trail: Goshen Branch, Blunt Road Trib, Bell Bluff Trib",
FLOODPLAIN DISTRICT PERMIT,201135,10/28/1999,11/19/1999,,,REPAIR/MAINTENANCE BRIDGE MPK-01&STREAM SIDESLOPES,CONS,LFB,WILLET BR,208NW5,HN121,BRIDGE AT LITTLE FALLS BRANCH PKWY & WILLET BRANCH CREEK MPK-01,,,,,,,,,40K1,435,435,-5898,,
FLOODPLAIN DISTRICT PERMIT,252007,02/27/2007,03/01/2007,05/02/2008,05/02/2010,DRAINAGE PROBLEM/CRABBS BRANCH WAY & REDLAND ROAD; SWM POND NEED FOREBAY TO BE DREDGED PER MCDEP MAINTENANCE PROGRAM REQUIREMENTS,ROUGRD,URC,CRABBS CRK,222NW8,GS123,INTERSECTION OF CRABBS BRANCH WAY & REDLAND ROAD,,,,,,,,,20-A12,0.1,0.1,0,Dredging forebay for Crabbs Branch Regional SWM pond.,
FLOODPLAIN DISTRICT PERMIT,209699,01/03/2001,01/04/2001,,,STREAM RESTORATION-ADDRESSING BANK EROSION & LACK OF VEGETATION,,LFB,,207NW4,HM33,"LITTLE FALLS STREAM RESTORATION, TOWN OF SOMERSET",,,,,,,,,41A2,43560,0,0,,
FLOODPLAIN DISTRICT PERMIT,325727,11/03/2014,12/12/2014,03/13/2017,12/12/2016,"Utilizing hydraulic dredging, remove accumullated sediment within lake bottom to increase the storage within the lake",,LSC,GUNNERS BR,,EU51,"Port Haven Place,Port Haven Drive,& Middlebrook Road, Germantown, MD",,,,,,,,,226NV12,37250,0,0,,
FLOODPLAIN DISTRICT PERMIT,225020,10/28/2003,,,,REPLACEMENT OF EXISTING BRIDGE & APPROACH PATH,,LRC,,211NW03,HPG1,ROCK CREEK STREAM VALLEY PARK UNIT 2 @ SUSANNA LANE,,,,,,,,,,5000,0.04,0,SC Permit No. 210281 has been voided until SWM Concept No. 210301 has been approved.,
FLOODPLAIN DISTRICT PERMIT,975161001,11/25/2002,,,,,,,,,,,,,,,,,,,,,,0,PROJECT NAMES  : MARY J. BOLAND SUBDIVISION                              SC# : 9610300001                                                         SM FILE/COMMENTS : 1-96123,
FLOODPLAIN DISTRICT PERMIT,370368,07/19/2019,09/24/2019,,09/24/2021,"The proposed work includes realignment and stabilization of approximately 2,808 linear feet of stream along North Creek, to naturally stabilize the st",CONS,GSC,,228nw09,FU53,,20125,,ARROWHEAD,,RD,MONTGOMERY VILLAGE,MD,20886,10-f-13,245251,0,0,"The proposed work includes realignment and stabilization of approximately 2,808 linear feet of stream along North Creek, to naturally stabilize the stream to reduce bank erosion and provide floodplain","20125 ARROWHEAD RD
MONTGOMERY VILLAGE, MD 20886
(39.186127, -77.194967)"
FLOODPLAIN DISTRICT PERMIT,239577,09/06/2005,01/04/2006,07/19/2007,07/19/2009,BOARDWALK AND PATH,,LSC,,,EU562,"MILESTONE MANOR, GERMANTOWN",,,,,,,,,,,,0,"parel G,  542",
FLOODPLAIN DISTRICT PERMIT,260452,01/07/2009,01/15/2009,01/28/2011,01/28/2013,TO MITIGATE & PREVENT FURTHER EROSION AT 5 BRIDGES AT PARKLAWN CEMETRY. PREVENT SEVERE EROSION WITH WING WALLS AND RIP-RAP PLACEMENT.,,URC,UNNAMED,216NW05,HQ123;HR121,VIERS MILL RD. ROCKVILLE MD.,,,,,,,,,5165B-C-D10;5285C-D1,"11,410.12",,0,,
FLOODPLAIN DISTRICT PERMIT,225922,12/22/2003,05/11/2004,03/30/2009,03/30/2011,"ADDITIONAL PARKING LOT, PARCEL 895",CONS,GSC,,,,"SOUTH VALLEY PARK, PARCEL 895, MONTGOMERY VILLAGE, MD 20886",,,,,,,,,19D02,5050,50,0,,
FLOODPLAIN DISTRICT PERMIT,271066,08/25/2011,09/06/2011,,09/06/2013,CONSTRUCTION OF AN ASPHALT HIKER/BIKER 'GREENWAY' TRAIL AND ALL ACCOMPANYING STORM-WATER MANAGEMENT FACILITIES REQUIRED (STONE TRENCHES & VERBAL POOL),CONS,LSC,,,,NEAR FOREMAN BLVD & TURTLE ROCK TERRACE,,,,,,,,,4928/J-4,"30,682","5,922",0,,
FLOODPLAIN DISTRICT PERMIT,212490,06/26/2001,10/24/2001,,,CONSTRUCT SWM STRUCTURE POND #1 UNDERDRAIN OUTFALL FOR SURFACE SAND FILTER #3 & WATER QUALITY STRUCTURE #2 & SW DRAIN OUTFALL #107-107A.,,WBR,,218NW10,,TRAVILLE GATEWAY DRIVE AND SHADY GROVE ROAD,,,,,,,,,"28, E-5",50094,0,0,,
FLOODPLAIN DISTRICT PERMIT,275144,06/08/2012,07/19/2012,,07/19/2014,"INSTALL D/W FROM BRADLEY BLVD OVER DRAINAGE DITCH WITH A 36"" CULVERT FOR ACCESS TO A SINGLE FAMILY LOT.",,CJC,,211NW08,GP121,"8016 BRADLEY BLVD, BETHESDA",,,,,,,,,5284/D9,2700,650,0,,
FLOODPLAIN DISTRICT PERMIT,203309,02/22/2000,09/10/2001,,09/10/2006,SWM POND RETROFIT,,MBR,,220NW11,,DARNSTOWN & DUFIEF RD IN WESTLEIGH SUBDIVISION,,,,,,,,,,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,210057,02/02/2001,12/10/2001,,,STREAM STABILIZATION,,LSC,,232NW13,EW,"CLARKSBURG TOWN CETER, PARCEL 600",,,,,,,,,9D4,5100,0,0,Parcel 600,
FLOODPLAIN DISTRICT PERMIT,204333,04/14/2000,07/03/2001,,,ROADWAY CONSTRUCTION,,NWB,,222NW1NE,,NORBECK ROAD EXTENDED STATION 150+75,,,,,,,,,,20908.80,3484.80,0,,
FLOODPLAIN DISTRICT PERMIT,247044,07/03/2006,07/13/2006,,07/13/2008,CONSTRUCT A PAVED BIKE PATH & VERNAL POOL IN THE LITTLE SENECA WATERSHED,,LSC,,,"EW,EV,FV134,FV122","SNOWDEN FARM PKWY @ BLUE SKY DR, CLARKSBURG, PARCELS B & F; BLOCKS B & R",,,,,,,,,F4,.22 ACRE,.03 ACRE,0,"Parcels B, F & Block B, R",
FLOODPLAIN DISTRICT PERMIT,253555,06/26/2007,10/12/2007,07/17/2008,07/17/2010,CONSTRUCTION OF ELEVATED STREAM CROSSING (FOOTBRIDGE),CONS,LSC,,233NW12,EW,OVID HAZEN WELLS PARK,,,,,,,,,5E10,3900,1040,0,,
FLOODPLAIN DISTRICT PERMIT,214934,12/18/2001,07/03/2002,07/17/2006,07/17/2008,SWM POND & BIKE PATH,,LSC,,235NW10,FX341 & FX342,"RIDGE RD RTE 27 DAMASCUS, LOTS 1-36/A, 1-89/B; PARCELS A/A, B-K/B",,,,,,,,,,"5,945",907,0,"Lots 1-36/A; 1-89/B; Parcels A, Block A, B-K/B",
FLOODPLAIN DISTRICT PERMIT,340408,07/08/2015,,,,INSTALLATION OF A  BIKE PATH ALONG THE SOUTHBOUND SIDE OF FREDERICK RD FROM STRINGTOWN ROAD TO NORTH  MILESTONE MANOR LA TEMPORARY PEDESTRIAN BRIDGE,CONS,LSC,,,,FREDERICK ROAD (MD 355)  FROM STRINGTOWN ROAD TO MILESTONE MANOR LANE,,,,,,,,,EV53,"16,782",2975,0,,
FLOODPLAIN DISTRICT PERMIT,214697,11/28/2001,12/12/2001,,12/12/2006,POND RETROFIT AND CULVERT REPLACEMENT,,MBR,,220NW11,FS121,"JOSHUA COURT POND, PART OF PARCEL C & PARCEL D",,,,,,,,,28A03,0,N/A,0,SWM Pond Retrofit and culvert replacement,
FLOODPLAIN DISTRICT PERMIT,208474,10/06/2000,,,,IMPROVEMENTS TO AN EXISTING STORMWATER MANAGEMENT FACILITY,,CJC,UNNAMED,227NW09,,BRAMBLE BUSH COURT,,,,,,,,,,66646.80,0,0,,
FLOODPLAIN DISTRICT PERMIT,236039,04/20/2005,04/25/2005,,04/25/2008,REPLACE GIBION WALL WITH SMALLER PROPRIETRY  RETAINING WALL TO IMPROVE SIGHT DISTANCE FOR MNCP&PC ROCK CRK HB TRAIL USERS;& RAY'S MEADOW IMPROVEMENTS,,LRC,,210NW3,HN563,"RETAINING WALL AT RAY'S MEADOW, CHEVY CHASE",,,,,,,,,36F10,"62,268",0,0,,
FLOODPLAIN DISTRICT PERMIT,270923,08/11/2011,09/23/2011,,09/23/2013,WIDEN EXISTING TRAIL FROM 6' T 8' TO PROVIDE AN ACCEPTABLE TRAIL FOR BIKES,CONS,LRC,,211NW05,"HP21,HP24","ELMHIRST PARKWAY, BETHESDA",,,,,,,,,,19748,2621,60944,,
FLOODPLAIN DISTRICT PERMIT,310468,03/04/2014,11/21/2014,,11/21/2020,Construct 2 storm drain outfalls,,LSC,,230NW12,EV562/563,INTX FREDERICK ROAD (MD RTE 355) & WEST OLD BALTIMORE ROAD,,,,,,,,,4928/K6,1685,0,0,,
FLOODPLAIN DISTRICT PERMIT,219315,10/31/2002,11/15/2002,,,OUTFALL FROM SWM FACILITY A & SWALE STABILIZATION BELOW OUTFALL,,PBR,,219NE4NE,,FAIRDALE RD & MILES RD,,,,,,,,,32B5,900,0,0,,
FLOODPLAIN DISTRICT PERMIT,368925,05/13/2019,10/02/2019,,10/02/2021,Stormwater retrofit; creating sediment control forebay in an existing stormwater wet pond.,,CJC,,216NW06/215NW06,GQ562,,20457,,SENECA MEADOWS,,PKWY,GERMANTOWN,MD,20876,5284 K2,115426,0,0,,"20457 SENECA MEADOWS PKWY
GERMANTOWN, MD 20876
(39.194757, -77.259789)"
FLOODPLAIN DISTRICT PERMIT,220388,02/04/2003,02/02/2009,,02/02/2011,CONSTRUCT SWM POND FOR PURPOSE OF IMPROVING ENVIRONMENTAL QUALITY IN WATERSHED.,,LRC,STONEY CRK,210NW05,HN123,NIH SW OF INTERSECFTION OF WISCONSIN AVE & WOODMONT AVE,,,,,,,,,30K9,126324,0,0,Parcel P333,
FLOODPLAIN DISTRICT PERMIT,239223,08/19/2005,08/25/2005,,08/25/2007,"REPLACEMENT OF THE PREVIOUS PEDESTRIAN BRIDGE WHICH WAS DESTROYED BY FLOODWATER WITH A NEW BRIDGE AT BECCA LILLY PARK, IN TAKOMA PARK.",,SCR,LONG BR,208NE02,JN561,"CENTRAL AVENUE, TAKOMA PARK",,,,,,,,,37G13,0.006 ACRES,0.004 ACRES,0,,
FLOODPLAIN DISTRICT PERMIT,214857,12/11/2001,12/21/2001,,,STEAM IMPROVEMENTS TO CREATE NATURAL HABITAT & PREVENT EROSION.  ENHANCE DRAINAGE W/ PROPOSED CULVERTS.,,GSC,,226NW08,,CORNER OF SNOUFFER SCHOOL RD & CENTERWAY RD,,,,,,,,,,28314,4950,0,Lots 1 & 2,
FLOODPLAIN DISTRICT PERMIT,219663,12/02/2002,10/07/2003,,10/07/2003,RETRO-FIT EXISTING SWM FACILITY,,WBR,,220NW09,FS51,PARCEL 'S' AT SHADY GROVE LIFE SCIENCES CENTER,,,,,,,,,,67082,2614,0,Parcel S,
FLOODPLAIN DISTRICT PERMIT,371007,08/30/2019,10/11/2019,,10/11/2021,Perform maintenance dredging on both the upper and lower ponds at Grosvenor Park.,CONS,,,213NW05,HP13,"GROSVENOR PLACE, NORTH BETHESDA, MD",,,,,,,,,F10B,66655,0,0,,
