Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,31447.69,MWh,12/31/2014
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,62553.27,Dth,12/31/2014
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,48550.11,Dth,12/31/2014
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,369787.67,MWh,12/31/2014
Central Hudson Gas & Electric Corporation,* Residential HVAC Program,Electric,Residential,125.68,MWh,12/31/2014
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,61839.28,Dth,12/31/2014
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Electric,Residential,474.01,MWh,12/31/2014
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,527885.01,MWh,12/31/2014
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,152850.73,Dth,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,36508.24,Dth,12/31/2014
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,348561.37,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,12/31/2014
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,12/31/2014
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,174452.21,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,58377.98,MWh,12/31/2014
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,112260.82,Dth,12/31/2014
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,527.00,MWh,12/31/2014
New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,113650.70,MWh,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,157318.79,Dth,12/31/2014
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,440505.31,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",* Residential Direct Installation Program,Gas,Residential,21.74,Dth,12/31/2014
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Gas,Residential,37681.94,Dth,12/31/2014
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,7998.68,MWh,12/31/2014
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,27904.00,MWh,12/31/2014
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,16341.92,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,25815.01,MWh,12/31/2014
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,12/31/2014
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,1591.13,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,27293.49,Dth,12/31/2014
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,731.70,MWh,12/31/2014
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,30.32,MWh,12/31/2014
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Electric,Residential,5089.80,MWh,12/31/2014
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,80201.71,Dth,12/31/2014
Rochester Gas and Electric Corporation,* Residential HVAC Program,Electric,Residential,12150.14,MWh,12/31/2014
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Gas,Residential,-694.35,Dth,12/31/2014
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,12/31/2014
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,12/31/2014
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,731647.73,Dth,12/31/2014
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,0.00,Dth,12/31/2014
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,97679.15,MWh,12/31/2014
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-14599.57,Dth,12/31/2014
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,12/31/2014
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,48178.81,MWh,12/31/2014
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,20733.52,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,6715.70,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,12/31/2014
New York State Energy Research and Development Authority,NY Energy Star Homes,Electric,Residential,10826.67,MWh,12/31/2014
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,7900.16,Dth,12/31/2014
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,1543.46,MWh,12/31/2014
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,4666.57,MWh,12/31/2014
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,MWh,12/31/2014
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,98220.74,Dth,12/31/2014
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1532.86,MWh,12/31/2014
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,12/31/2014
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,2842.39,Dth,12/31/2014
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,50724.40,Dth,12/31/2014
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,03/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,44770.43,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multi-Family,-30644.36,Dth,03/31/2015
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,66245.14,Dth,03/31/2015
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,03/31/2015
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,991885.08,MWh,03/31/2015
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,MWh,03/31/2015
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Gas,Residential,37681.94,Dth,03/31/2015
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,26866.98,MWh,03/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,100926.15,MWh,03/31/2015
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,34211.26,MWh,03/31/2015
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,370811.71,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,70040.97,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",* C&I Equipment Rebate Program,Gas,Commercial,-28988.70,Dth,03/31/2015
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,362086.68,MWh,03/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,MWh,03/31/2015
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,220245.90,Dth,03/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,59347.53,Dth,03/31/2015
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,8016.89,Dth,03/31/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,7.15,MWh,03/31/2015
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,03/31/2015
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,11560.59,Dth,03/31/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,-15952.48,Dth,03/31/2015
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,50507.13,MWh,03/31/2015
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,328760.06,Dth,03/31/2015
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,951.90,Dth,03/31/2015
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,17605.68,MWh,03/31/2015
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,12566.97,MWh,03/31/2015
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,150507.74,MWh,03/31/2015
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,15426.37,MWh,03/31/2015
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,03/31/2015
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,85311.64,Dth,03/31/2015
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,181740.40,Dth,03/31/2015
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,3346.94,MWh,03/31/2015
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,-1042.39,MWh,03/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,74885.44,Dth,03/31/2015
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,4938.37,MWh,03/31/2015
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,03/31/2015
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Gas,Multi-Family,-4726.30,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-71657.00,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,03/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,03/31/2015
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,75185.72,MWh,03/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,03/31/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,700826.64,Dth,03/31/2015
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,343560.24,Dth,03/31/2015
New York State Energy Research and Development Authority,* Flex Tech Program,Electric,Commercial,1601.84,MWh,03/31/2015
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,587368.35,MWh,03/31/2015
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,774366.94,Dth,03/31/2015
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-15581.47,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,51479.54,MWh,03/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,03/31/2015
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,20321.01,Dth,03/31/2015
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,03/31/2015
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,03/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,272499.12,Dth,03/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,60555.66,Dth,03/31/2015
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,260455.41,MWh,03/31/2015
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,50602.73,MWh,03/31/2015
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,30744.36,MWh,03/31/2015
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,03/31/2015
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,03/31/2015
