Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
00-SA-000462,Oreck Floor Care Ctrs. of Metro. Wash.,12268-A Rockville Pike,Rockville,MD,20852,03/30/2004,02/15/2005,Expired,"12268-A Rockville Pike
Rockville, MD 20852
(39.057805, -77.120624)"
03-SA-000284,Henry's Tek Work,2607 Henderson Avenue,Silver Spring,MD,20902,08/13/2003,08/13/2004,Expired,"2607 Henderson Avenue
Silver Spring, MD 20902
(39.051273, -77.053524)"
00-SA-000205,"Appliance Works, Inc.",10201 Johns Drive,Damascus,MD,20872,12/24/2000,12/24/2001,Expired,"10201 Johns Drive
Damascus, MD 20872
(39.324265, -77.210694)"
00-SA-000126,Appliance Master,21920 New Hampshire Avenue,Brookeville,MD,20833,12/12/1991,12/12/1992,Expired,"21920 New Hampshire Avenue
Brookeville, MD 20833
(39.216149, -77.052287)"
00-SA-000013,"Audio Clinic, Inc.",12160 Tech Road,Silver Spring,MD,20904,10/07/2009,10/07/2010,Expired,"12160 Tech Road
Silver Spring, MD 20904
(39.054641, -76.967303)"
00-SA-000019,"Homeowners Services, LLC",8007 Flower Avenue,Takoma Park,MD,20912,04/03/2017,04/03/2018,Expired,"8007 Flower Avenue
Takoma Park, MD 20912
(38.989284, -77.001278)"
00-SA-000396,Modern Electronics,8375 Snouffer School Road,Gaithersburg,MD,20879,05/05/1996,05/05/1997,Expired,"8375 Snouffer School Road
Gaithersburg, MD 20879
(39.166752, -77.171596)"
12-SA-000153,All Brand Services,1399 Old Bridge Road,Woodbridge,VA,22192,10/12/2012,10/12/2013,Expired,"1399 Old Bridge Road
Woodbridge, VA 22192
(38.673072, -77.258765)"
00-SA-000071,,10531 Tralee Terrace,Damascus,MD,20872,01/31/1992,01/31/1993,Expired,"10531 Tralee Terrace
Damascus, MD 20872
(39.268814, -77.215127)"
00-SA-000412,K. G. Quality Services,16615 Budd Road,Poolesville,MD,20837,05/10/1998,05/10/1999,Expired,"16615 Budd Road
Poolesville, MD 20837
(39.128827, -77.402047)"
16-SA-000177,"A & E Factory Service, LLC","3333 Beverly Road, A4250B",Hoffman Estates,IL,60179,09/19/2016,09/19/2017,Expired,"3333 Beverly Road, A4250B
Hoffman Estates, IL 60179
(42.07778, -88.223535)"
00-SA-000191,R. C. Appliance Service,12197 Overlook Drive,Monrovia,MD,21770,04/11/2017,04/11/2018,Expired,"12197 Overlook Drive
Monrovia, MD 21770
(39.343407, -77.241467)"
08-SA-000337,"A Nova Appliance, Co.",10195 Main St,Fairfax,Va.,22031,01/29/2017,01/29/2018,Expired,"10195 Main St
Fairfax, Va. 22031
(38.844607, -77.298905)"
15-SA-000169,"MC Appliance Repair, Inc.",1001 DODSON CT,BOWIE,MD,20721,04/09/2018,04/09/2019,Expired,"1001 DODSON CT
BOWIE, MD 20721
(38.903934, -76.743789)"
00-SA-000430,"Computer Age, Inc.",9443 Georgia Avenue,Silver Spring,MD,20910,10/16/1998,10/16/1999,Expired,"9443 Georgia Avenue
Silver Spring, MD 20910
(39.009569, -77.040565)"
00-SA-000003,"Human Circuit, Inc.",9346 Gaither Road,Gaithersburg,MD,20877,11/06/2017,11/06/2018,Expired,"9346 Gaither Road
Gaithersburg, MD 20877
(39.117901, -77.192875)"
00-SA-000118,Williams Appliance Installation,"19023 Mills Choice Road, Apt. #2",Mont. Village,MD,20886,06/12/2009,06/12/2010,Expired,"19023 Mills Choice Road, Apt. #2
Mont. Village, MD 20886
(39.168927, -77.207908)"
10-SA-000354,"Best Buy Stores, #1129",10901 Georgia Ave,Wheaton,MD,20902,03/28/2018,03/28/2019,Expired,"10901 Georgia Ave
Wheaton, MD 20902
(39.033894, -77.048925)"
00-SA-000324,Comstar Engineering,3040 Fairland Road,Silver Spring,MD,20904,08/19/1997,08/19/1998,Expired,"3040 Fairland Road
Silver Spring, MD 20904
(39.066162, -76.944875)"
01-SA-000262,A-Men Appliance Repair,8605 Watershed Court,Gaithersburg,MD,20877,03/19/2001,03/19/2002,Expired,"8605 Watershed Court
Gaithersburg, MD 20877
(39.154255, -77.175337)"
00-SA-000066,"Clear Video, Inc.",18217 Village Mart Drive,Olney,MD,20832,10/31/1996,10/31/1997,Expired,"18217 Village Mart Drive
Olney, MD 20832
(39.152887, -77.063353)"
05-SA-000316,Silver Spring Appliance Service,1028 Tanley Road,Silver Spring,MD,20904,12/27/2017,12/27/2018,Expired,"1028 Tanley Road
Silver Spring, MD 20904
(39.052615, -76.989393)"
04-SA-000292,Spektro TV Service,11608 Veirs Mill Road,Silver Spring,MD,20902,06/22/2016,06/22/2017,Expired,"11608 Veirs Mill Road
Silver Spring, MD 20902
(39.045621, -77.066093)"
00-SA-000256,"RCI Systems, Inc.",5615 Fishers Lane,Rockville,MD,20852,03/22/2000,03/22/2001,Expired,"5615 Fishers Lane
Rockville, MD 20852
(39.0628, -77.113179)"
00-SA-000018,Bettar Appliance,10503 WHEATLEY ST,KENSINGTON,MD,20895,12/04/2017,12/04/2018,Expired,"10503 WHEATLEY ST
KENSINGTON, MD 20895
(39.027384, -77.070982)"
00-SA-000468,Belmont TV,12500 Layhill Road,Silver Spring,MD,20906,11/08/2013,11/08/2014,Expired,"12500 Layhill Road
Silver Spring, MD 20906
(39.061208, -77.050995)"
00-SA-000055,General Heating Engineering Co.,9070 Euclid Avenue,Manassas,VA,22110,06/05/1991,06/05/1992,Expired,"9070 Euclid Avenue
Manassas, VA 22110
(38.760286, -77.454221)"
12-SA-000149,"Via, Inc.",2124 Baldwin Ave,Crofton,MD,21114,06/15/2017,06/15/2018,Expired,"2124 Baldwin Ave
Crofton, MD 21114
(38.990958, -76.695257)"
03-SA-000282,"USA Technology Service, LLC","501 Church Street, NE,  #306",Vienna,VA,22180,06/18/2012,06/18/2013,Expired,"501 Church Street, NE, #306
Vienna, VA 22180
(38.90945, -77.258024)"
18-SA-001036,Quick Service,10107 Maryland St.,Lanham,Maryland,20706,01/18/2018,01/18/2019,Expired,"10107 Maryland St.
Lanham, Maryland 20706
(38.966876, -76.817952)"
16-SA-000177,"A & E Factory Service, LLC",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,10/18/2017,10/18/2018,Expired,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 Monocacy Blvd,Frederick,MD,21701,08/17/2016,08/17/2017,Expired,"93 Monocacy Blvd
Frederick, MD 21701
(39.404993, -77.392388)"
04-SA-000294,"Alco Appliance Sales & Service, LLC",10101 Bacon Drive,Beltsville,MD,20705,02/22/2017,02/22/2018,Expired,"10101 Bacon Drive
Beltsville, MD 20705
(39.029042, -76.913194)"
00-SA-000418,"J & N Heating, Air Conditioning & Appliances",1813 Blueridge Avenue,Silver Spring,MD,20902,03/03/2005,03/03/2006,Expired,"1813 Blueridge Avenue
Silver Spring, MD 20902
(39.042926, -77.042139)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd.,Sterling,VA,20166,02/06/2017,02/06/2018,Expired,"22894 Pacific Blvd.
Sterling, VA 20166
(38.981609, -77.435017)"
00-SA-000188,"Brother Sewing Machine of Wash., Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,08/12/2016,08/12/2017,Expired,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000056,"Maytag Service of Washington, Inc.",12156 Parklawn Drive,Rockville,MD,20852,02/28/1996,02/28/1997,Expired,"12156 Parklawn Drive
Rockville, MD 20852
(39.056878, -77.109669)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge Drive,North Potomac,Maryland,20878,03/02/2018,03/02/2019,Expired,"17741 Stoneridge Drive
North Potomac, Maryland 20878
(39.148452, -77.241155)"
00-SA-000087,"Beltway Heating & Air Cond. Co., Inc.",10753 Tucker Street,Beltsville,MD,20705,06/03/2000,06/03/2001,Expired,"10753 Tucker Street
Beltsville, MD 20705
(39.02559, -76.909617)"
03-SA-000280,"Atlas Service Center, Inc.",18167 Village Center Drive,Olney,MD,20832,03/19/2015,03/19/2016,Expired,"18167 Village Center Drive
Olney, MD 20832
(39.152365, -77.063398)"
00-SA-000120,"Myer-Emco, Inc.",10492 Auto Park Drive,Bethesda,MD,20817,04/22/2007,03/19/2008,Expired,"10492 Auto Park Drive
Bethesda, MD 20817
(39.028095, -77.145514)"
00-SA-000421,T & H Services,14908 Perrywood Drive,Burtonsville,MD,20866,03/18/2003,03/17/2004,Expired,"14908 Perrywood Drive
Burtonsville, MD 20866
(39.099116, -76.950863)"
05-SA-000307,"Electronic Home Solutions, LLC",37 Calabash Court,Rockville,MD,20850,07/12/2008,07/12/2009,Expired,"37 Calabash Court
Rockville, MD 20850
(39.085757, -77.21201)"
07-SA-000332,A-A Appliance & Repair Heating & A/C,10515 Georgia Avenue,Silver Spring,MD,20902,06/14/2008,06/14/2009,Expired,"10515 Georgia Avenue
Silver Spring, MD 20902
(39.028046, -77.046936)"
00-SA-000212,"Four County Appliance Service, Inc.",8208 Highcrest Drive,Gaithersburg,MD,20882,04/14/1998,04/14/1999,Expired,"8208 Highcrest Drive
Gaithersburg, MD 20882
(39.266752, -77.169538)"
00-SA-000041,TTI Floor Care North America,305 Muddy Branch Road,Gaithersburg,MD,20878,03/01/2008,03/01/2009,Expired,"305 Muddy Branch Road
Gaithersburg, MD 20878
(39.127477, -77.20987)"
00-SA-000074,Sam's Audio Service,13819 Wagon Way,Silver Spring,MD,20906,01/13/1990,01/13/1991,Expired,"13819 Wagon Way
Silver Spring, MD 20906
(39.082672, -77.038439)"
00-SA-000011,Quick Service HVAC,9201 Genoa Avenue,Ft. Washington,MD,20744,08/27/2016,08/27/2017,Expired,"9201 Genoa Avenue
Ft. Washington, MD 20744
(38.763822, -76.979933)"
16-SA-000172,Castle Services dba Mr. Appliance of Potomac,714 N. Houcksville Road,Hampstead,MD,21074,02/23/2016,02/23/2017,Expired,"714 N. Houcksville Road
Hampstead, MD 21074
(39.592507, -76.86038)"
00-SA-000449,Albert Appliance,10549 Martellini Drive,Laurel,MD,20723,08/05/1999,08/05/2000,Expired,"10549 Martellini Drive
Laurel, MD 20723
(39.153535, -76.881039)"
00-SA-000184,"Trowe Ventures, Inc.",2208-B Veirs Mill Road,Rockville,MD,20851,10/09/1997,10/09/1998,Expired,"2208-B Veirs Mill Road
Rockville, MD 20851
(39.074665, -77.114546)"
00-SA-000376,"Metro T.V., LLC",11232 Triangle Lane,Wheaton,MD,20902,09/23/2009,09/23/2010,Expired,"11232 Triangle Lane
Wheaton, MD 20902
(39.039337, -77.051808)"
01-SA-000263,Digital Era,315-C East Diamond Avenue,Gaithersburg,MD,20877,05/16/2003,05/16/2004,Expired,"315-C East Diamond Avenue
Gaithersburg, MD 20877
(39.142142, -77.191899)"
00-SA-000209,"Haas, Inc.",1420 Hale Street,Odenton,MD,21113,09/10/1997,09/10/1998,Expired,"1420 Hale Street
Odenton, MD 21113
(39.091605, -76.709057)"
05-SA-000300,Montgomery Appliance Service,"10104 Little Pond Place, #3",Gaithersburg,MD,20886,04/27/2010,04/27/2011,Expired,"10104 Little Pond Place, #3
Gaithersburg, MD 20886
(39.166813, -77.208211)"
00-SA-000186,"Brother Sewing Machine of Wash., Inc.",10153 New Hampshire Ave,Silver Spring,MD,20903,08/12/2016,08/12/2017,Expired,"10153 New Hampshire Ave
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000388,"Jacto, Inc.","8030 Georgia Aven., 2nd Fl .Rear",Silver Spring,MD,20910,07/20/1998,07/20/1999,Expired,"8030 Georgia Aven., 2nd Fl .Rear
Silver Spring, MD 20910
(38.988443, -77.026731)"
00-SA-000397,Phone Master Installation,6333-B New Hampshire Avenue,Takoma Park,MD,20912,05/25/1996,05/25/1997,Expired,"6333-B New Hampshire Avenue
Takoma Park, MD 20912
(38.966776, -77.001587)"
17-SA-001009,EAGLE STAR APPLIANCE REPAIR SERVICE LLC,9910 SANTA CRUZ ST,LANHAM,MD,20706,10/25/2017,10/25/2018,Expired,"9910 SANTA CRUZ ST
LANHAM, MD 20706
(38.979134, -76.836335)"
00-SA-000248,"Delta TV, Inc.",2906 Hamilton Street,Hyattsville,MD,20782,08/13/2000,08/13/2001,Expired,"2906 Hamilton Street
Hyattsville, MD 20782
(38.955814, -76.965355)"
00-SA-000112,Wafa Electronics,110 Floral Drive,Gaithersburg,MD,20877,01/28/2004,12/15/2004,Expired,"110 Floral Drive
Gaithersburg, MD 20877
(39.140424, -77.205323)"
02-SA-000267,Ace Central Vacuum,24029 Preakness Drive,Damascus,MD,20872,02/21/2018,02/21/2019,Expired,"24029 Preakness Drive
Damascus, MD 20872
(39.251907, -77.224992)"
00-SA-000115,Clark Mechanical,7813 Cross Street,Lanham,MD,20706,05/18/1997,05/18/1998,Expired,"7813 Cross Street
Lanham, MD 20706
(38.952775, -76.873052)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Silver Spring,MD,20906,07/06/2017,07/06/2018,Expired,"3701 Rossmoor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
12-SA-000148,"Jaks Services, Inc.",9113 Glenville Rd,Silver Spring,MD,20901,06/28/2017,06/28/2018,Expired,"9113 Glenville Rd
Silver Spring, MD 20901
(39.004162, -76.99769)"
15-SA-000170,"At Your Service Repairs, Inc.",502 McCormick Dr.,Glen Burnie,MD,21061,08/12/2016,08/12/2017,Expired,"502 McCormick Dr.
Glen Burnie, MD 21061
(39.160176, -76.67471)"
17-SA-000485,Temo's Home Services,15 Orion Club Drive,Ashton,MD,20861,05/31/2019,05/31/2020,Renewed,"15 Orion Club Drive
Ashton, MD 20861
(39.150548, -77.013314)"
00-SA-000200,AA  Inc.,973 Highams Court,Woodbridge,VA,22191,01/06/2005,01/06/2006,Expired,"973 Highams Court
Woodbridge, VA 22191
(38.649209, -77.246615)"
00-SA-000059,Walton's,7800 Old Georgetown Road,Bethesda,MD,20814,08/21/2006,08/21/2007,Expired,"7800 Old Georgetown Road
Bethesda, MD 20814
(38.987585, -77.098936)"
00-SA-000131,"Free Flow, Inc.",8552 Anniversary Circle,Gaithersburg,MD,20877,07/25/2017,07/25/2018,Expired,"8552 Anniversary Circle
Gaithersburg, MD 20877
(39.128292, -77.177656)"
00-SA-000103,"Samco Home Service, LLC","10111 Bacon Drive, Suite F",Beltsville,MD,20705,09/07/2006,09/07/2007,Expired,"10111 Bacon Drive, Suite F
Beltsville, MD 20705
(39.02953, -76.912543)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MARYLAND,20895,12/12/2017,12/12/2018,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000004,"TV  Workshop, Inc.",10212 New Hampshire Avenue,Silver Spring,MD,20903,09/11/2004,09/11/2005,Expired,"10212 New Hampshire Avenue
Silver Spring, MD 20903
(39.022746, -76.977944)"
00-SA-000238,E-Z Appliance Installation,"17109 Queen Victoria Court, #303",Gaithersburg,MD,20877,07/03/1989,07/03/1990,Expired,"17109 Queen Victoria Court, #303
Gaithersburg, MD 20877
(39.137167, -77.205256)"
09-SA-000346,Stan Jr's Appliance Service,23421 Slidell Road,Boyds,MD,20841,01/27/2017,01/27/2018,Expired,"23421 Slidell Road
Boyds, MD 20841
(39.240939, -77.321749)"
05-SA-000320,A R Audio/Video Solutions,10800 Wheeler Drive,Silver Spring,MD,20901,12/05/2006,12/05/2007,Expired,"10800 Wheeler Drive
Silver Spring, MD 20901
(39.034407, -77.004938)"
00-SA-000097,"H & L Auto Radio, Inc.",701 East Gude Drive,Rockville,MD,20850,08/13/2005,03/15/2006,Expired,"701 East Gude Drive
Rockville, MD 20850
(39.103531, -77.142925)"
13-SA-000159,"SD Multi Services, LLC",10171 New Hampshire,Silver Spring,MD,20903,02/22/2017,02/22/2018,Expired,"10171 New Hampshire
Silver Spring, MD 20903
(39.021637, -76.977011)"
10-SA-000357,"Electronics Service Center, Inc.",12216 Parklawn Dr,Rockville,Maryland,20852,06/14/2017,06/14/2018,Expired,"12216 Parklawn Dr
Rockville, Maryland 20852
(39.057646, -77.110228)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,Maryland,20878,08/25/2017,08/25/2018,Expired,"309 Whitcliff Ct
Gaithersburg, Maryland 20878
(39.110796, -77.215064)"
00-SA-000098,"Southern Air Conditioning, Inc.",5023 Decatur Street,St. Leonard,MD,20685,06/06/1996,06/06/1997,Expired,"5023 Decatur Street
St. Leonard, MD 20685
(38.470187, -76.495453)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Drive,Mitchellville,MD,20721,08/29/2016,08/29/2017,Expired,"1714 Terrapin Hills Drive
Mitchellville, MD 20721
(38.913899, -76.822202)"
00-SA-000018,"Bettar, Inc.",10503 Wheatley Street,Kensington,MD,20895,11/07/2016,11/07/2017,Expired,"10503 Wheatley Street
Kensington, MD 20895
(39.027384, -77.070982)"
00-SA-000005,Godwin & Sons A/C & Refrigeration Service,2435 Park Mills Road,Adamstown,MD,21710,02/24/2009,02/24/2010,Expired,"2435 Park Mills Road
Adamstown, MD 21710
(39.30128, -77.406274)"
04-SA-000295,Somoza International (SI),11232 Triangle Lane,Wheaton,MD,20902,09/25/2008,09/25/2009,Expired,"11232 Triangle Lane
Wheaton, MD 20902
(39.039337, -77.051808)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD,KENSINGTON,MARYLAND,20895,08/14/2016,08/14/2017,Expired,"3141 UNIVERSITY BLVD
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
02-SA-000272,Nova Service Center,1102 Travis Lane,Gaithersburg,MD,20879,02/05/2018,02/05/2019,Expired,"1102 Travis Lane
Gaithersburg, MD 20879
(39.162996, -77.21657)"
00-SA-000424,"Triple ""J"" Household Appliance Maint.","3417 Toledo Terrace, #H-4",Hyattsville,MD,20782,10/27/2009,10/27/2010,Expired,"3417 Toledo Terrace, #H-4
Hyattsville, MD 20782
(38.971057, -76.958841)"
00-SA-000052,Danco Electronic Service Specialists,929 Gist Avenue,Silver Spring,MD,20910,01/05/2018,01/05/2019,Expired,"929 Gist Avenue
Silver Spring, MD 20910
(38.989551, -77.025182)"
00-SA-000104,"Commspectra, Inc.",P.O. Box 2912,Gaithersburg,MD,20886,09/15/1998,09/15/1999,Expired,"P.O. Box 2912
Gaithersburg, MD 20886"
,,1028 Tanley Road,Silver Spring,MD,20904,,,,"1028 Tanley Road
Silver Spring, MD 20904
(39.052615, -76.989393)"
16-SA-000179,"Sears, Roebuck and Co.",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,10/18/2017,10/18/2018,Expired,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
00-SA-000465,Systems By Don,1773 Redgate Farms Court,Rockville,MD,20850,07/09/1999,06/12/2000,Expired,"1773 Redgate Farms Court
Rockville, MD 20850
(39.090412, -77.131112)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge dr,North Potomac,MD,20878,03/02/2018,03/02/2019,Expired,"17741 Stoneridge dr
North Potomac, MD 20878
(39.148452, -77.241155)"
00-SA-000049,"William F. Collins, Inc.",4921 Wyaconda Road,North Bethesda,MD,20852,09/22/2010,09/22/2011,Expired,"4921 Wyaconda Road
North Bethesda, MD 20852
(39.045095, -77.098801)"
00-SA-000128,"Golden Electric, Inc.",100 South Adams Street,Rockville,MD,20850,07/25/2017,07/25/2018,Expired,"100 South Adams Street
Rockville, MD 20850
(39.082952, -77.154771)"
00-SA-000202,"J & P Heating & Air Conditioning, Inc.","8043 Penn Randall Place, Suite B",Upper Marlboro,MD,20772,11/06/2016,11/06/2017,Expired,"8043 Penn Randall Place, Suite B
Upper Marlboro, MD 20772
(38.836282, -76.865585)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,MD,21784,08/12/2016,08/12/2017,Expired,"5220 Klees Mill Rd.
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000189,"Brother Sewing Machine of Wash., Inc.",878 Muddy Branch Road,Gaithersburg,MD,20878,08/13/2005,08/13/2006,Expired,"878 Muddy Branch Road
Gaithersburg, MD 20878
(39.112727, -77.216464)"
07-SA-000335,Compudc.com,"108 Olde Towne Avenue, Suite 11",Gaithersburg,MD,20877,11/14/2010,11/14/2011,Expired,"108 Olde Towne Avenue, Suite 11
Gaithersburg, MD 20877
(39.140701, -77.194726)"
10-SA-000358,National Electronics Services,6747 Midcities Avenue,Beltsville,MD,20705,07/21/2010,07/21/2011,Expired,"6747 Midcities Avenue
Beltsville, MD 20705
(39.053765, -76.88947)"
19-SA-002138,"AR Airconditoning, Refrigration and Appliances",20111 Rothbury Lane,Montgomery Village,MD,20886,05/07/2019,05/07/2020,New,"20111 Rothbury Lane
Montgomery Village, MD 20886
(39.186151, -77.190902)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD,KENSINGTON,MARYLAND,20895,12/12/2017,12/12/2018,Expired,"3141 UNIVERSITY BLVD
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000188,"Brother Sewing Machine of Wash., Inc.",1067 Rockville Pike,Rockville,MD,20852,08/12/2016,08/12/2017,Expired,"1067 Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000458,"Advanced Installation Services, LLC",P.O. Box 1038,Germantown,MD,20875,09/16/2005,09/16/2006,Expired,"P.O. Box 1038
Germantown, MD 20875"
00-SA-000313,Crowe Craft,6500 Muirkirk Road,Beltsville,MD,20705,12/13/1991,12/12/1992,Expired,"6500 Muirkirk Road
Beltsville, MD 20705
(39.065044, -76.894762)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Rockville,Md,20906,07/06/2017,07/06/2018,Expired,"3701 Rossmoor Blvd.
Rockville, Md 20906
(39.100813, -77.074648)"
08-SA-000344,ZeeBee Networks,11320 Bent Creek Terrace,Germantown,MD,20876,07/08/2008,07/08/2009,Expired,"11320 Bent Creek Terrace
Germantown, MD 20876
(39.190413, -77.235709)"
05-SA-000310,"JBI Service, LLC",7836 Airpark Road,Gaithersburg,Maryland,20879,08/15/2016,08/15/2017,Expired,"7836 Airpark Road
Gaithersburg, Maryland 20879
(39.170034, -77.160396)"
18-SA-002059,"Best Buy Stores, #1129",10901 Georgina Ave,Wheaton,MD,20902,03/29/2018,03/29/2019,Expired,"10901 Georgina Ave
Wheaton, MD 20902
(39.033894, -77.048925)"
00-SA-000058,"Kensington Cooling & Heating, LLC",10511 Summit Avenue,Kensington,MD,20895,11/15/2006,10/19/2007,Expired,"10511 Summit Avenue
Kensington, MD 20895
(39.02863, -77.078978)"
07-SA-000328,"CHS Techniques, Inc.",21207 Big Woods Road,Dickerson,MD,20842,01/07/2013,01/07/2014,Expired,"21207 Big Woods Road
Dickerson, MD 20842
(39.20316, -77.41036)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,MD,20814,12/04/2017,12/04/2018,Expired,"4826 St. Elmo Avenue
Bethesda, MD 20814
(38.989175, -77.09711)"
00-SA-000009,American Way Appliance Service,122 Forest Preserve Drive,Gaithersburg,MD,20878,03/12/2013,03/12/2014,Expired,"122 Forest Preserve Drive
Gaithersburg, MD 20878
(39.153661, -77.232033)"
16-SA-000179,"Sears, Roebuck and Co.","3333 Beverly Road, A4250B",Hoffman Estates,IL,60179,10/18/2017,10/18/2018,Expired,"3333 Beverly Road, A4250B
Hoffman Estates, IL 60179
(42.07778, -88.223535)"
15-SA-000169,"MC Appliance Repair, Inc.",6132 Perry Street,Hyattsville,MD,20785,05/23/2019,05/23/2020,Renewed,"6132 Perry Street
Hyattsville, MD 20785
(38.935818, -76.911557)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD,KENSINGTON,MARYLAND,20895,,12/03/2018,Expired,"3141 UNIVERSITY BLVD
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000471,Twinbrook Repair Center,"416 N. Stonestreet Avenue, # 3",Rockville,MD,20850,03/04/2007,03/03/2008,Expired,"416 N. Stonestreet Avenue, # 3
Rockville, MD 20850
(39.089757, -77.148798)"
00-SA-000419,"Lear Group, Inc.",15906B Shady Grove Road,Gaithersburg,MD,20877,01/30/1999,01/30/1999,Expired,"15906B Shady Grove Road
Gaithersburg, MD 20877
(39.117754, -77.183498)"
00-SA-000452,Ant's Computer,"14103 Valleyfield Drive, #3",Silver Spring,MD,20906,09/23/1997,09/23/1998,Expired,"14103 Valleyfield Drive, #3
Silver Spring, MD 20906
(39.10561, -77.056117)"
00-SA-000117,Custom Air Conditioning Services,4514 Roxbury Drive,Bethesda,MD,20814,06/12/2002,06/12/2003,Expired,"4514 Roxbury Drive
Bethesda, MD 20814
(39.017119, -77.089941)"
02-SA-000267,Ace Central Vacuum,24029 Preakness Drive,Damascus,Maryland,20872,02/06/2017,02/06/2018,Expired,"24029 Preakness Drive
Damascus, Maryland 20872
(39.251907, -77.224992)"
10-SA-000368,"Jones-Rogers, Inc.",14522-A Lee Road,Chantilly,VA,20151,06/20/2011,06/19/2012,Expired,"14522-A Lee Road
Chantilly, VA 20151
(38.895905, -77.448196)"
10-SA-000359,"Tri-State Ventures, Inc.",12274D Rockville Pike,Rockville,MD,20852,12/17/2013,12/17/2014,Expired,"12274D Rockville Pike
Rockville, MD 20852
(39.058268, -77.121013)"
08-SA-000145,Digital Electronic,"9931 Greenbelt Road, Suite 302",Lanham,MD,20706,08/20/2014,08/20/2015,Expired,"9931 Greenbelt Road, Suite 302
Lanham, MD 20706
(38.990851, -76.834037)"
00-SA-000389,Ruths Entertainment Communications,10152 Clearspring Road,Damascus,MD,20872,06/15/2017,06/15/2018,Expired,"10152 Clearspring Road
Damascus, MD 20872
(39.27096, -77.21142)"
00-SA-000364,"Bethesda T.V. & Appliance Co., Inc.",4931 Fairmont Avenue,Bethesda,MD,20814,10/01/2001,10/01/2002,Expired,"4931 Fairmont Avenue
Bethesda, MD 20814
(38.987725, -77.097343)"
00-SA-000122,"T & M Refrigeration Service Co., Inc.",P.O. Box 736,Middletown,MD,21769,03/24/2002,02/26/2003,Expired,"P.O. Box 736
Middletown, MD 21769"
00-SA-000475,"Computer Parts & Services, Inc.","966 Hungerford Drive, #10A",Rockville,MD,20850,07/08/1999,07/08/2000,Expired,"966 Hungerford Drive, #10A
Rockville, MD 20850
(39.100018, -77.154547)"
00-SA-000185,"Miller Building Supply Co., Inc.",12106 Nebel Street,Rockville,MD,20852,11/20/1997,11/20/1997,Expired,"12106 Nebel Street
Rockville, MD 20852
(39.051738, -77.110058)"
00-SA-000042,"Audio Video Center, Inc.",9009 Gaither Road,Gaithersburg,MD,20877,08/15/2013,08/15/2014,Expired,"9009 Gaither Road
Gaithersburg, MD 20877
(39.117492, -77.18451)"
17-SA-001026,Agape Appliance Repair Services,12602 horseshoe bend circle,clarksburg,Maryland,20871,01/05/2018,01/05/2019,Expired,"12602 horseshoe bend circle
clarksburg, Maryland 20871
(39.229386, -77.258668)"
00-SA-000051,"Capital Energy Systems, Inc.",5212 Minnick Road,Laurel,MD,20707,09/03/2000,09/03/2001,Expired,"5212 Minnick Road
Laurel, MD 20707
(39.092259, -76.916003)"
00-SA-000089,"R & R Refrigeration  & Air Conditioning, Inc.",P.O. Box 665,Herndon,VA,22070,03/18/1999,02/22/2000,Expired,"P.O. Box 665
Herndon, VA 22070"
