Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
VERMONT,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2019,13,,-,6,,3,,1,,,-,4,,3,,4,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2019,13,,-,3,,1,,1,,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
IOWA,2019,13,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2019,13,,-,1,,,-,,-,,-,4,,,-,5,,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2019,13,,-,0,,,-,1,,,-,4,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2019,13,,-,22,,8,,1,,,-,7,,8,,6,,"WASHINGTON
(47.517368, -120.467672)",
MINNESOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2019,13,,-,4,,1,,2,,,-,2,,4,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARKANSAS,2019,13,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2019,13,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2019,13,,-,2,,,-,,-,,-,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2019,13,1,,5,,3,,4,,1,,4,,6,,5,,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2019,13,,-,3,,1,,1,,,-,2,,2,,4,,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2019,13,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,13,,-,3,,,-,1,,,-,2,,7,,3,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2019,13,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2019,13,,-,28,,3,,23,,,-,8,,6,,15,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2019,13,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2019,13,,-,5,,1,,3,,,-,5,,5,,2,,"NEW JERSEY
(40.104655, -74.386686)",
ILLINOIS,2019,13,,-,6,,6,,2,,,-,4,,10,,8,,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2019,13,,-,7,,2,,8,,3,,11,,16,,24,,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2019,13,,-,2,,,-,1,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2019,13,,-,4,,1,,5,,,-,6,,2,,7,,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2019,13,,-,0,,,-,,-,,-,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
HAWAII,2019,13,,-,3,,4,,4,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2019,13,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2019,13,,-,6,,,-,3,,1,,3,,9,,10,,"COLORADO
(38.841772, -106.132562)",
OHIO,2019,13,,-,5,,2,,1,,,-,2,,2,,3,,"OHIO
(40.056807, -82.405897)",
DISTRICT OF COLUMBIA,2019,13,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2019,13,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2019,13,,-,4,,2,,1,,,-,2,,3,,2,,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2019,13,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2019,13,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2019,13,,-,3,,,-,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2019,13,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MONTANA,2019,13,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
US RESIDENTS,2019,14,3,,112,,69,,140,,9,,44,,150,,159,,,US RESIDENTS
NEW ENGLAND,2019,14,,-,15,,5,,8,,,-,4,,7,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,14,,-,13,,6,,11,,,-,8,,30,,9,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,14,,-,5,,3,,3,,,-,3,,8,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,14,1,,11,,12,,7,,5,,7,,26,,17,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,14,2,,5,,4,,7,,,-,4,,8,,9,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,14,,-,19,,16,,46,,2,,8,,17,,30,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,14,,-,5,,3,,3,,,-,6,,7,,11,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,14,,-,9,,3,,17,,,-,15,,20,,36,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,14,,-,11,,2,,5,,,-,4,,17,,20,,,MOUNTAIN
PACIFIC,2019,14,,-,48,,18,,36,,2,,14,,18,,24,,,PACIFIC
US TERRITORIES,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,14,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,14,3,,112,,69,,140,,9,,44,,150,,159,,,TOTAL
WYOMING,2019,14,,-,0,,,-,,-,,-,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2019,14,,-,1,,,-,,-,,-,4,,,-,5,,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2019,14,,-,22,,8,,1,,2,,7,,11,,6,,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2019,14,,-,3,,1,,1,,,-,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OHIO,2019,14,1,,5,,3,,1,,5,,2,,7,,3,,"OHIO
(40.056807, -82.405897)",
IDAHO,2019,14,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTHERN MARIANA ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2019,14,,-,3,,5,,4,,,-,1,,,-,1,,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2019,14,,-,3,,,-,1,,,-,2,,6,,2,,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2019,14,,-,3,,1,,1,,,-,2,,2,,5,,"KANSAS
(38.345528, -98.201847)",
U.S. VIRGIN ISLANDS,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2019,14,,-,8,,3,,1,,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2019,14,,-,7,,2,,8,,,-,11,,18,,27,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2019,14,,-,7,,1,,2,,,-,4,,12,,4,,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2019,14,1,,0,,1,,1,,,-,4,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2019,14,,-,6,,6,,2,,,-,4,,10,,8,,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2019,14,,-,6,,1,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2019,14,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2019,14,,-,3,,,-,1,,,-,2,,7,,4,,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2019,14,,-,4,,3,,2,,,-,2,,3,,2,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2019,14,,-,2,,,-,,-,1,,0,,1,,,-,"DELAWARE
(39.008676, -75.574561)",
TENNESSEE,2019,14,,-,2,,2,,1,,,-,3,,4,,3,,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2019,14,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2019,14,,-,6,,2,,3,,,-,3,,7,,10,,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2019,14,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DISTRICT OF COLUMBIA,2019,14,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2019,14,,-,6,,3,,1,,,-,4,,3,,5,,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2019,14,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
GUAM,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2019,14,,-,3,,5,,2,,,-,2,,4,,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2019,14,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
PACIFIC,2019,16,,-,49,,27,,39,,,-,15,,24,,29,,,PACIFIC
OREGON,2019,14,,-,8,,1,,2,,,-,3,,1,,1,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2019,14,,-,5,,1,,3,,,-,5,,6,,2,,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2019,14,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2019,14,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2019,14,,-,28,,3,,28,,,-,8,,6,,16,,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2019,14,,-,3,,1,,1,,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2019,14,,-,5,,3,,4,,1,,4,,7,,6,,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2019,14,1,,2,,2,,3,,,-,3,,5,,3,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2019,14,,-,2,,,-,1,,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2019,14,,-,4,,3,,4,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2019,14,,-,2,,,-,,-,,-,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2019,14,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2019,14,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2019,14,,-,4,,1,,3,,,-,2,,4,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2019,14,,-,4,,1,,7,,,-,6,,2,,9,,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2019,14,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2019,14,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IOWA,2019,14,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2019,14,,-,4,,2,,3,,,-,3,,2,,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2019,14,,-,2,,,-,2,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2019,14,,-,3,,,-,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2019,14,,-,17,,,-,31,,,-,5,,,-,6,,"FLORIDA
(28.915325, -81.922409)",
US RESIDENTS,2019,15,1,,115,,78,,159,,3,,46,,165,,180,,,US RESIDENTS
NEW ENGLAND,2019,15,,-,15,,6,,8,,,-,4,,7,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,15,,-,13,,6,,11,,1,,8,,33,,10,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,15,,-,5,,3,,3,,,-,3,,8,,2,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,15,,-,11,,13,,9,,1,,7,,29,,17,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,15,1,,5,,5,,7,,,-,4,,8,,11,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,15,,-,19,,18,,56,,,-,8,,17,,34,,,SOUTH ATLANTIC
VERMONT,2019,15,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
EAST SOUTH CENTRAL,2019,15,,-,5,,4,,4,,1,,6,,9,,13,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,15,,-,9,,4,,20,,,-,15,,20,,43,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,15,,-,11,,2,,5,,,-,4,,19,,22,,,MOUNTAIN
PACIFIC,2019,15,,-,49,,20,,39,,,-,15,,23,,27,,,PACIFIC
US TERRITORIES,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,15,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,15,1,,115,,78,,159,,3,,46,,165,,180,,,TOTAL
ALABAMA,2019,15,,-,3,,2,,1,,1,,2,,4,,2,,"ALABAMA
(32.839182, -86.631125)",
GUAM,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2019,15,,-,8,,4,,1,,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2019,15,,-,6,,2,,3,,,-,3,,8,,11,,"COLORADO
(38.841772, -106.132562)",
OHIO,2019,15,,-,5,,4,,2,,1,,5,,8,,3,,"OHIO
(40.056807, -82.405897)",
IOWA,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2019,15,,-,4,,1,,3,,,-,2,,5,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2019,15,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2019,15,,-,2,,,-,,-,,-,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2019,15,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2019,15,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2019,15,1,,2,,3,,3,,,-,3,,5,,5,,"MISSOURI
(38.636168, -92.566292)",
US TERRITORIES,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
WISCONSIN,2019,15,,-,3,,,-,1,,,-,2,,6,,2,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2019,15,,-,0,,,-,,-,,-,1,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2019,15,,-,5,,4,,4,,,-,4,,6,,6,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2019,17,,-,4,,5,,9,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",
DISTRICT OF COLUMBIA,2019,15,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2019,15,,-,5,,1,,3,,,-,5,,7,,2,,"NEW JERSEY
(40.104655, -74.386686)",
MICHIGAN,2019,15,,-,4,,3,,3,,,-,2,,3,,2,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2019,15,,-,6,,6,,2,,,-,4,,12,,8,,"ILLINOIS
(40.477092, -88.993221)",
ARKANSAS,2019,15,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2019,15,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK,2019,15,,-,7,,1,,2,,1,,4,,13,,4,,"NEW YORK
(42.826892, -75.544286)",
NORTHERN MARIANA ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
FLORIDA,2019,15,,-,17,,,-,36,,,-,5,,,-,8,,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2019,15,,-,29,,5,,30,,,-,8,,10,,19,,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2019,15,,-,2,,,-,1,,,-,1,,1,,,-,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2019,15,,-,3,,5,,5,,,-,0,,,-,1,,"HAWAII
(21.30992, -157.858158)",
TEXAS,2019,15,,-,7,,3,,10,,,-,11,,18,,33,,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2019,15,,-,4,,3,,3,,,-,3,,3,,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2019,15,,-,4,,1,,8,,,-,6,,2,,10,,"LOUISIANA
(31.2931, -92.463284)",
ALASKA,2019,15,,-,3,,1,,1,,,-,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW MEXICO,2019,15,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2019,15,,-,3,,1,,1,,,-,2,,2,,5,,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2019,15,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2019,15,,-,6,,1,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2019,15,,-,1,,,-,,-,,-,4,,,-,6,,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2019,15,,-,1,,1,,1,,,-,4,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2019,15,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2019,15,,-,2,,,-,2,,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,15,,-,3,,,-,1,,,-,2,,8,,4,,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2019,15,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2019,15,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
U.S. VIRGIN ISLANDS,2019,15,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2019,15,,-,2,,2,,1,,,-,3,,5,,4,,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2019,15,,-,3,,,-,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW HAMPSHIRE,2019,15,,-,2,,,-,2,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2019,15,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2019,15,,-,4,,3,,7,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2019,15,,-,22,,8,,1,,,-,7,,12,,6,,"WASHINGTON
(47.517368, -120.467672)",
VIRGINIA,2019,15,,-,6,,3,,2,,,-,4,,3,,6,,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2019,15,,-,8,,1,,2,,,-,3,,1,,1,,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2019,15,,-,3,,5,,2,,,-,2,,4,,6,,"SOUTH CAROLINA
(34.009286, -81.037094)",
US RESIDENTS,2019,16,3,,115,,88,,168,,3,,46,,174,,201,,,US RESIDENTS
NEW ENGLAND,2019,16,,-,15,,6,,8,,,-,4,,7,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,16,1,,13,,7,,12,,1,,8,,35,,10,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,16,,-,5,,3,,3,,,-,3,,9,,2,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,16,,-,11,,13,,10,,2,,7,,31,,17,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,16,,-,5,,5,,7,,,-,4,,8,,14,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,16,,-,19,,18,,61,,,-,8,,19,,39,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,16,,-,5,,4,,4,,,-,6,,9,,17,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,16,1,,9,,5,,21,,,-,15,,20,,46,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,16,1,,11,,3,,6,,,-,4,,21,,26,,,MOUNTAIN
AMERICAN SAMOA,2019,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,16,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,16,3,,115,,88,,168,,3,,46,,174,,201,,,TOTAL
NEBRASKA,2019,16,,-,1,,1,,1,,,-,4,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2019,16,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2019,16,,-,3,,5,,2,,,-,2,,4,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
DISTRICT OF COLUMBIA,2019,16,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2019,16,,-,4,,3,,4,,,-,2,,3,,2,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2019,16,,-,3,,5,,5,,,-,0,,,-,1,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2019,16,,-,4,,3,,9,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTHERN MARIANA ISLANDS,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2019,16,,-,2,,2,,1,,,-,3,,5,,4,,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2019,16,,-,1,,,-,,-,,-,4,,,-,9,,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2019,16,,-,5,,4,,4,,,-,4,,6,,7,,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2019,16,,-,1,,,-,,-,,-,1,,1,,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2019,16,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2019,16,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2019,16,,-,2,,,-,2,,,-,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2019,16,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GUAM,2019,16,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2019,16,,-,4,,1,,8,,,-,6,,2,,11,,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2019,16,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2019,16,,-,2,,,-,1,,,-,1,,2,,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2019,16,,-,3,,1,,1,,,-,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2019,16,,-,29,,12,,30,,,-,8,,11,,21,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2019,16,,-,22,,8,,1,,,-,7,,12,,6,,"WASHINGTON
(47.517368, -120.467672)",
