Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP9301002V,190028026,Montgomery County Police,Injury Crash,06/12/2019 12:18:00 PM,Municipality,WASHINGTONIAN BLVD,County,FIELDS RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,96E180BF-EBD4-4EBB-981E-2C95045BD35E,BICYCLIST,Walking/Riding against Traffic,WRONG WAY RIDING OR WALKING,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.11299333,-77.191215,"(39.11299333, -77.191215)"
EJ78640021,190028524,Gaithersburg Police Depar,Injury Crash,06/14/2019 09:45:00 PM,County,FIELDS RD,Municipality,RIO BLVD,,GAITHERSBURG,OTHER PEDALCYCLIST,SINGLE VEHICLE,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,920BA073-8963-4A20-840A-99A100E39489,OTHER PEDALCYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.11594833,-77.20430167,"(39.11594833, -77.20430167)"
MCP3173000K,190025858,Montgomery County Police,Injury Crash,06/12/2019 07:14:00 AM,County,BRUNETT AVE,Maryland (State),UNIVERSITY BLVD W,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,STOP SIGN,NONE DETECTED,NONE DETECTED,44066F0D-5FAB-4952-83E0-5E469BEFE405,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,N/A,No,NO APPARENT INJURY,N/A,39.0229374,-77.01688638,"(39.0229374, -77.01688638)"
MCP137800R1,190029100,Montgomery County Police,Injury Crash,06/18/2019 12:03:00 PM,,,,,PARKING LOT OF 19230 WOODFIELD RD,,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,186C1D61-591D-4E2F-983B-4E5FA2B43298,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.17218667,-77.15340333,"(39.17218667, -77.15340333)"
MCP3112002D,190027724,Montgomery County Police,Injury Crash,06/02/2019 11:30:00 AM,County,DANIEL RD,County,WYNDALE RD,,N/A,BICYCLIST,OTHER,UNKNOWN,UNKNOWN,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,9B542971-DCFF-45FF-A95D-975372620C10,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.98528268,-77.05698994,"(38.98528268, -77.05698994)"
MCP1151009M,190028384,Montgomery County Police,Injury Crash,06/14/2019 08:10:00 AM,Maryland (State),WOODFIELD RD,County,BETHESDA CHURCH RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,FF821DCA-77A1-492E-A2FD-83CDC87001C9,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.284304,-77.2021715,"(39.284304, -77.2021715)"
MCP2820003K,190027225,Montgomery County Police,Injury Crash,06/07/2019 12:42:00 PM,,N LEISURE WORLD BLVD,,HYDE PARK DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,N/A,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,AF6984CF-29D4-4D54-8B1F-1443DF92D74C,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,N/A,LIGHT CLOTHING,No,POSSIBLE INJURY,N/A,39.10735833,-77.07343167,"(39.10735833, -77.07343167)"
MCP2622001Z,190028625,Montgomery County Police,Injury Crash,06/15/2019 02:15:00 PM,County,RANDOLPH RD,County,LOCKSLEY LA,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,604B04E0-B3B9-487E-85C9-F692B9DCD33D,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,39.07157892,-77.01142405,"(39.07157892, -77.01142405)"
EJ7858003N,190028031,Gaithersburg Police Depar,Injury Crash,06/12/2019 12:36:00 PM,Municipality,FAIRBANKS BLVD,Municipality,BARKLEY PL,,GAITHERSBURG,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,0A607A0D-E59F-4657-81E4-9A903620F111,BICYCLIST,Walking/Cycling on Sidewalk,FAILURE TO YIELD RIGHT OF WAY,SIDEWALK,N/A,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.13214833,-77.19136167,"(39.13214833, -77.19136167)"
MCP3164001W,190029845,Montgomery County Police,Injury Crash,06/22/2019 12:16:00 PM,,,,,CVS PARKING LOT,,PEDESTRIAN,HEAD ON,CLEAR,,DAYLIGHT,NO CONTROLS,N/A,N/A,C35DB446-0382-4C41-8952-DD9BDBBC8E1B,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,N/A,No,SUSPECTED MINOR INJURY,N/A,39.039275,-77.054065,"(39.039275, -77.054065)"
MCP3010003X,190029658,Montgomery County Police,Injury Crash,06/21/2019 12:59:00 PM,Maryland (State),ROCKVILLE PIKE,County,NICHOLSON LA,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,7A2F9845-E281-405F-B93B-70C7E1B0E638,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.04444,-77.11192667,"(39.04444, -77.11192667)"
MCP27500043,190028809,Montgomery County Police,Injury Crash,06/16/2019 10:00:00 PM,,,,,PARKING LOT OF 12600 VEIRS MILL RD,,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,657439AC-1F00-4691-AC1F-2F83D6FE487A,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.06246167,-77.09525833,"(39.06246167, -77.09525833)"
MCP3165001B,190029086,Montgomery County Police,Injury Crash,06/18/2019 11:10:00 AM,County,TECH RD,County,INDUSTRIAL PKWY,,N/A,PEDESTRIAN,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,A9BDCA3F-FAFA-4799-82C1-2ACC4E875106,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.05337167,-76.96811,"(39.05337167, -76.96811)"
MCP2710002W,190030397,Montgomery County Police,Injury Crash,06/25/2019 07:00:00 PM,County,EMORY GROVE RD,Maryland (State),WOODFIELD RD,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,634BEB84-C339-430C-9C28-D47F088BB7A4,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,N/A,No,SUSPECTED MINOR INJURY,N/A,39.15274521,-77.17336421,"(39.15274521, -77.17336421)"
MCP27990053,190026189,Montgomery County Police,Injury Crash,06/01/2019 06:35:00 PM,County,PRINCE PHILIP DR,Other Public Roadway,SPARTAN RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,90DAD80A-F7B0-4283-854F-032E2A72C2A4,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.15452301,-77.05705246,"(39.15452301, -77.05705246)"
DD56350015,190029923,Rockville Police Departme,Injury Crash,06/22/2019 10:22:00 PM,,,,,14672 SOUTHLAWN LN,,PEDESTRIAN,OTHER,CLEAR,,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,A7553BB8-7090-48D4-A07F-CCE2079021C7,PEDESTRIAN,Standing,OTHER,OTHER,N/A,N/A,No,POSSIBLE INJURY,N/A,39.09605299,-77.13893373,"(39.09605299, -77.13893373)"
MCP31110017,190030622,Montgomery County Police,Injury Crash,06/27/2019 08:00:00 AM,Maryland (State),CONNECTICUT AVE,Maryland (State),EAST WEST HWY,,N/A,BICYCLIST,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,1A37D215-9964-448C-8E15-9CA3B24D1B0F,BICYCLIST,Walking/Riding w/Traffic,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,Yes,POSSIBLE INJURY,MC/BIKE HELMET,38.98814517,-77.07924283,"(38.98814517, -77.07924283)"
MCP3178000V,190028761,Montgomery County Police,Property Damage Crash,06/16/2019 12:57:00 PM,Maryland (State),NEW HAMPSHIRE AVE,County,NOTLEY RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,94428342-AB7D-4F43-BCCF-73D7644810CA,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,N/A,39.08078667,-77.001345,"(39.08078667, -77.001345)"
MCP271700P1,190029339,Montgomery County Police,Injury Crash,06/19/2019 03:10:00 PM,County,NICHOLSON LA,County,NEBEL ST,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,27E4CD75-23DF-42E4-9DD5-3FBF89F828DB,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.045444,-77.10475833,"(39.045444, -77.10475833)"
MCP28290061,190029046,Montgomery County Police,Property Damage Crash,06/18/2019 07:18:00 AM,,,,,RAMP ENTRANCE TO THE PARKING LOT OF 8555 16TH STREET,,PEDESTRIAN,OTHER,CLOUDY,,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,7A6D0B3E-E754-4460-A372-95C7C4154921,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,NONE,38.99579,-77.03594833,"(38.99579, -77.03594833)"
MCP3119001L,190030451,Montgomery County Police,Injury Crash,06/26/2019 08:22:00 AM,County,LOCHAVEN DR,County,GOSHEN RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,E3DC8472-9CF4-4A92-ADEB-06F19474FA71,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,CURB,N/A,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.19784233,-77.18286417,"(39.19784233, -77.18286417)"
EJ78510043,190030023,Gaithersburg Police Depar,Injury Crash,06/23/2019 05:25:00 PM,Maryland (State),QUINCE ORCHARD RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,006FEBFC-A5E1-4AA7-A3C3-74D832A925F5,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.14519136,-77.22002609,"(39.14519136, -77.22002609)"
EJ7875000L,190029922,Gaithersburg Police Depar,Injury Crash,06/22/2019 10:26:00 PM,Municipality,ODENDHAL AVE,Municipality,RUSSELL AVE,,GAITHERSBURG,BICYCLIST,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,99F3559B-3E9F-4818-B92C-078B08B43EC9,BICYCLIST,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,OTHER,N/A,Yes,POSSIBLE INJURY,NONE,39.15061333,-77.2037,"(39.15061333, -77.2037)"
MCP23580067,190029964,Montgomery County Police,Injury Crash,06/23/2019 08:00:00 AM,Maryland (State),VEIRS MILL RD,County,MONTERREY DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,51031B78-8778-4F9A-8216-806FF98A9B4C,PEDESTRIAN,Other,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Unknown,SUSPECTED SERIOUS INJURY,UNKNOWN,39.04427833,-77.06305833,"(39.04427833, -77.06305833)"
DD56170024,190054253,Rockville Police Departme,Injury Crash,11/09/2019 11:00:00 PM,Municipality,PARK RD,Maryland (State),HUNGERFORD DR,,N/A,PEDESTRIAN,OTHER,CLEAR,N/A,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,04BAE178-E0DA-4243-B3E3-97659BAA8E60,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,NONE,39.08526596,-77.14809588,"(39.08526596, -77.14809588)"
MCP3149001J,190054339,Montgomery County Police,Injury Crash,11/11/2019 01:23:00 PM,Maryland (State),UNIVERSITY BLVD E,County,WILLIAMSBURG DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,05C715F5-52E1-4706-96C4-B60477528FC0,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,N/A,No,SUSPECTED MINOR INJURY,N/A,39.01794833,-77.006905,"(39.01794833, -77.006905)"
MCP3089002V,190054565,Montgomery County Police,Injury Crash,11/12/2019 05:02:00 PM,US (State),COLESVILLE RD,County,FENTON ST,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,495D0632-A611-4CAD-BF0B-36184F12A3F1,PEDESTRIAN,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,N/A,No,SUSPECTED MINOR INJURY,N/A,39.004695,-77.02445833,"(39.004695, -77.02445833)"
MCP3213000M,190054600,Montgomery County Police,Injury Crash,11/13/2019 07:30:00 PM,County,SHOREFIELD RD,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,46451EA7-1C71-491A-AB17-4C482451A5E3,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.05295131,-77.05087668,"(39.05295131, -77.05087668)"
MCP2969007J,190053293,Montgomery County Police,Injury Crash,11/05/2019 02:39:00 PM,,,,,PARKING LOT OF 3305 NORTH LEISURE WORLD BLVD,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,E09132AA-3049-4B33-B44B-1D188B386816,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,LIGHTING,39.10942167,-77.06457833,"(39.10942167, -77.06457833)"
MCP1119007V,190053603,Montgomery County Police,Injury Crash,11/07/2019 08:00:00 AM,County,AMHERST AVE,County,WINDHAM LA,,N/A,BICYCLIST,OTHER,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,97F9444A-272C-4063-84C8-16C9996B5E81,BICYCLIST,Walking/Cycling on Sidewalk,DART DASH,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,NONE,39.03197418,-77.04711387,"(39.03197418, -77.04711387)"
DD5598003F,190053600,Rockville Police Departme,Injury Crash,11/07/2019 07:40:00 AM,Municipality,MARYLAND AVE,Municipality,S WASHINGTON ST,,ROCKVILLE,PEDESTRIAN,OTHER,CLOUDY,DRY,DAYLIGHT,OTHER,N/A,N/A,AE7B7B88-0DE2-410A-96F7-1C9E36935A78,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,39.08040683,-77.15259717,"(39.08040683, -77.15259717)"
DD5628002M,190052934,Rockville Police Departme,Injury Crash,11/07/2019 10:20:00 AM,Municipality,PICCARD DR,Municipality,REDLAND BLVD,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,OTHER,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,EECECE2E-DD11-4576-87BC-F31BC2EA8579,PEDESTRIAN,Other Working,WRONG WAY RIDING OR WALKING,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,REFLECTIVE MATERIAL,Yes,SUSPECTED MINOR INJURY,REFLECTIVE CLOTHING,39.113975,-77.17959258,"(39.113975, -77.17959258)"
MCP3086003D,190054343,Montgomery County Police,Injury Crash,11/11/2019 01:45:00 PM,County,MIDCOUNTY HWY,County,WASHINGTON GROVE LA,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7E2A8F49-8608-4D81-8ACE-F9F075CFD743,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.14750167,-77.16900817,"(39.14750167, -77.16900817)"
MCP3114001N,190053512,Montgomery County Police,Injury Crash,11/06/2019 05:22:00 PM,Other Public Roadway,CALVERTON BLVD,County,CHERRY HILL RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,33666EB0-36AC-4CC4-B610-28A572FFBDE5,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.056385,-76.95302833,"(39.056385, -76.95302833)"
MCP3141001J,190052601,Montgomery County Police,Injury Crash,10/31/2019 06:00:00 PM,County,13TH ST,US (State),GEORGIA AVE,,N/A,MACHINE OPERATOR/RIDER,STRAIGHT MOVEMENT ANGLE,N/A,DRY,UNKNOWN,NO CONTROLS,UNKNOWN,UNKNOWN,BA4D7D7C-DCDC-48FB-BD09-6CB44DC0A145,MACHINE OPERATOR/RIDER,Other,UNKNOWN,SIDEWALK,UNKNOWN,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,NONE,38.98718952,-77.02727766,"(38.98718952, -77.02727766)"
MCP3242000K,190054461,Montgomery County Police,Injury Crash,11/12/2019 06:58:00 AM,County,OAKVIEW DR,County,MT PISGAH RD,,N/A,PEDESTRIAN,HEAD ON LEFT TURN,RAINING,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,1F3EEC1F-5B89-489C-A4DA-F13E24A9BC70,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.015115,-76.97665,"(39.015115, -76.97665)"
MCP93010030,190054180,Montgomery County Police,Injury Crash,11/10/2019 12:15:00 PM,,,,,PARKING LOT OF 544 N. FREDERICK AVE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,N/A,N/A,A5408C5D-61E8-452D-B365-6E837F727939,PEDESTRIAN,Other,N/A,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Unknown,POSSIBLE INJURY,N/A,39.14826333,-77.20930167,"(39.14826333, -77.20930167)"
MCP271700R1,190052038,Montgomery County Police,Property Damage Crash,10/29/2019 12:15:00 PM,County,ST ELMO AVE,County,NORFOLK AVE,,N/A,OTHER,OTHER,CLEAR,OTHER,DAYLIGHT,PERSON,NONE DETECTED,NONE DETECTED,37021FDF-5E68-4912-8CEA-DFAFDDEFAFAB,OTHER,Other,NO IMPROPER ACTIONS,OTHER,N/A,REFLECTIVE MATERIAL,No,NO APPARENT INJURY,REFLECTIVE CLOTHING,38.98913967,-77.09705917,"(38.98913967, -77.09705917)"
MCP2513001S,190048430,Montgomery County Police,Injury Crash,10/09/2019 08:36:00 AM,County,ADELPHI RD,Maryland (State),NEW HAMPSHIRE AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,56EE9F67-3317-4A5B-91C4-E56EFE074622,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,UNKNOWN,Unknown,SUSPECTED SERIOUS INJURY,N/A,39.01142465,-76.97904552,"(39.01142465, -76.97904552)"
MCP3213000L,190053730,Montgomery County Police,Injury Crash,11/07/2019 06:04:00 PM,US (State),GEORGIA AVE,County,WAYNE AVE,,N/A,PEDESTRIAN,N/A,RAINING,WET,DARK LIGHTS ON,OTHER,NONE DETECTED,NONE DETECTED,5211DDBE-7304-4BA8-BAD9-73E87CDD9538,PEDESTRIAN,Cross/Enter at Intersection,IMPROPER PASSING,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,38.99446974,-77.02669992,"(38.99446974, -77.02669992)"
MCP2512004Q,190054414,Montgomery County Police,Injury Crash,11/11/2019 07:11:00 PM,County,WASHINGTON GROVE LA,County,TOWNE CREST DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,OTHER,NONE DETECTED,ALCOHOL PRESENT,8701791A-A4E5-4FE9-8D68-CEC8473D52EF,PEDESTRIAN,Other,INATTENTIVE,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,NONE,39.14385789,-77.17320853,"(39.14385789, -77.17320853)"
MCP30700014,190054389,Montgomery County Police,Injury Crash,11/11/2019 05:10:00 PM,,,,,"CVS - 7809 WISCONSIN AVE BETHESDA, MD 20814",,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,3B4F5A81-5D3B-479A-BA9F-7051D1A06A93,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.98884167,-77.09509333,"(38.98884167, -77.09509333)"
DD5595007M,190031082,Rockville Police Departme,Injury Crash,06/29/2019 07:00:00 PM,Municipality,TAYLOR AVE,Municipality,ROBERT RD,,ROCKVILLE,BICYCLIST,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,61AF8AF2-6271-4F6A-A92E-9DEC0E63F431,BICYCLIST,Walking/Cycling on Sidewalk,OTHER,SIDEWALK,N/A,N/A,No,SUSPECTED MINOR INJURY,NONE,39.08614417,-77.13798867,"(39.08614417, -77.13798867)"
MCP3187000N,190031148,Montgomery County Police,Injury Crash,06/30/2019 08:00:00 AM,Other Public Roadway,INDIAN SPRING RD,Maryland (State),LAYHILL RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,EC63F48D-F33F-44ED-BD9E-6A18F7841C2E,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED SERIOUS INJURY,NONE,39.07740667,-77.04602833,"(39.07740667, -77.04602833)"
MCP2782002Z,190030897,Montgomery County Police,Injury Crash,06/28/2019 07:05:00 PM,,,,,"ENTRANCE TO HOME DEPOT PARKING LOT AT 14000 GEORGIA AVE, SILVER SPRING, MD 20906",,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLOUDY,,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,21B69E2B-00CA-4F61-B9EC-12C70715B1FB,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.08502417,-77.07865717,"(39.08502417, -77.07865717)"
MCP1575008Z,190031650,Montgomery County Police,Injury Crash,07/03/2019 06:26:00 AM,County,TWINBROOK PKWY,Maryland (State),VEIRS MILL RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,NO CONTROLS,UNKNOWN,UNKNOWN,A5EDB7B6-6E78-4D87-B29E-0E2FA808A05F,PEDESTRIAN,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.07045167,-77.11396667,"(39.07045167, -77.11396667)"
MCP2982002P,190030207,Montgomery County Police,Injury Crash,06/28/2019 03:46:00 PM,Maryland (State),UNIVERSITY BLVD E,County,PATTON DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,455CE40F-C3C5-4056-81A3-E85A457744CA,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.00257435,-76.99564083,"(39.00257435, -76.99564083)"
