Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
080971,D263470,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,Summer 2016,08/10/2017,,,,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project proposes to replace or repair signs that are worn or damaged along state highways in Nassau and Suffolk Counties. Furthermore, this project may install new signs to address safety and operational problems that are identified.",10/13/2017,2242750,449811,2692561,04/08/2020,GREEN,RED
080972,D263550,10 LONG ISLAND,PAVEMENT MARKING CONTRACT,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Completed Project,Summer 2016,01/11/2018,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",02/06/2018,6905393,-415236,6490157,09/09/2019,YELLOW,GREEN
080974,D263559,10 LONG ISLAND,INFORM CCTV INSTALL ON NY27 AND I495 E/O NY112,"INFORM Closed Circuit TV camera installation on NY27 and I495 east of NY112 to expand the capabilities of the system. Towns of Hempstead, Babylon, Oyster Bay, Islip,Brookhaven, Riverhead, East Hampton and Southampton. Nassau and Suffolk Counties.",Under Construction,Fall 2016,01/04/2018,,,,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.","The INformation FOR Motorists (INFORM) Transportation Management Center (TMC) uses Closed Circuit Television (CCTV) camera feeds to help with situational awareness and congestion mitigation especially during daily AM and PM rush hours, special events (lik",03/27/2018,4569542,329515,4899057,04/28/2020,RED,YELLOW
080975,D263667,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal asphalt pavement cracks &joint overlay on NY25 CR58-Orient Point Ferry, NY27 CR39 to Stephen Hands Path &NY27 NY114-Etna Ave, NY112 NY347-NY25A &NY25A Maple Ave-NY112, Towns Riverhead, Southold,Southampton,Brookhaven&East Hampton, Suffolk Co.",Completed Project,Winter 2016/2017,03/08/2018,,,,No,Yes,No,This project involves cleaning and sealing pavement cracks.,"This project proposes to apply a preventative maintenance treatment to seal cracks in the pavement to maintain a state of good repair. Locations include:  NY25 between CR58 and Orient Point Ferry,   NY27 between CR39 and Stephen Hands Path,  NY27 between ",05/07/2018,3036964,-521727,2515237,11/04/2019,GREEN,GREEN
080976,D263730,10 LONG ISLAND,PRIORITY RESURFACING,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY NY101 BET NY25A TO HARBOR RD, NY105 BET NY106 TO WANTAGH AVE, TOWNS OF NORTH HEMPSTEAD & HEMPSTEAD, NASSAU COUNTY.",Under Construction,Winter 2016/2017,07/12/2018,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project proposes to restore the pavement riding surface on NY105 (Jerusalem Avenue) between NY106 (Newbridge Road) to Wantagh Avenue in the Town of Hempstead, Nassau County and NY101 (Port Washington Boulevard) between NY25A (Northern Boulevard) to H",08/08/2018,7948919,163821,8112740,05/01/2020,RED,GREEN
080977,D263679,10 LONG ISLAND,BSP & RMC SHOULDER SAFETY IMPROVEMENT,"Installation of paved and turf surfaces along the shoulder of the Bethpage State Pkwy and Robert Moses Causeway to allow safer egress and entry onto the shoulder in emergency situations. Towns of Oyster Bay and Islip, Nassau and Suffolk Counties.",Completed Project,Spring 2017,03/22/2018,,,,Yes,Yes,No,This project involves the construction or reconstruction of road shoulders.,"This project proposes to restore the right side shoulders along the Bethpage State Parkway in the Town of Oyster Bay, Nassau County; and the Robert Moses Causeway in the Town of Islip, Suffolk County with a combination of asphalt and turf shoulders.",08/16/2018,5130723,-4644,5126079,12/17/2019,RED,GREEN
080978,D263695,10 LONG ISLAND,BRIDGE WHERE & WHEN CONTRACT,"PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.  BINs 1056011, 1056012 & 1058811will be included in this project.",Under Construction,Spring 2017,06/07/2018,,,,No,Yes,No,This project involves emergency bridge repairs.,"This project proposes to provide maintenance repairs to various bridges, locations to be determined, to keep their reliability and integrity and help assure the continued safety of the traveling public in Nassau and Suffolk Counties. A few bridges have be",07/16/2018,2069000,399998,2468998,02/21/2021,RED,RED
080979,D263737,10 LONG ISLAND,PARK&RIDE/BKWY/GRFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE PARK & RIDE LOTS,  ALL NYS BIKEWAYS, REST AREAS, FORMER PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES",Under Construction,Spring 2017,09/13/2018,,,,No,Yes,No,This project involves removal of graffiti.,"This project proposes to remove or paint over graffiti, repair noise walls, maintain the park and ride lots, bikeways, pedestrian bridges, rest areas, truck stops, truck inspection areas, former public telephone areas along parkways, bus shelters and prov",12/12/2018,3555175,682763,4237938,10/27/2020,GREEN,RED
080982,D263963,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Under Construction,Winter 2017/2018,06/20/2019,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations will be selected based on the need to address safety concerns and to",08/06/2019,3975460,0,3975460,02/23/2021,GREEN,GREEN
080991,D263829,10 LONG ISLAND,DURABLE PAVEMENT MARKING CONTRACT,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,Summer 2017,12/13/2018,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.",This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. This proeject also includes modifying existing markings to addre,02/12/2019,7868121,0,7868121,07/05/2020,GREEN,GREEN
080992,D263778,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Under Construction,Summer 2017,11/08/2018,,,,No,Yes,No,This project involves emergency highway and bridge repairs.,This project proposes to provide for the emergency type maintenance/repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,01/17/2019,8245200,-1,8245199,08/28/2020,GREEN,GREEN
080993,D263866,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replace approximately 20 overhead sign structures on NY27, NY231& NY110 based upon inspection reports that designate deficient structures. Towns of Babylon, Brookhaven & Islip, Suffolk County",Under Construction,Fall 2017,01/24/2019,,,,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project proposes to replace approximately 20 overhead sign structures on NY27 (Sunrise Highway), NY231(Deer Park Avenue) and NY110 (Broad Hollow Road / New York Avenue) in the Towns of Babylon, Islip and Brookhaven in Suffolk County to maintain their",03/05/2019,5193830,0,5193830,03/22/2021,GREEN,GREEN
080994,D263910,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE &ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY: NY111 FROM NY454-S/O NY347, NY25A FROM MAIN ST-CR97, NY25A FROM N COUNTRY RD TO BEGINNING NY25A BY-PASS E/O CR21, &NY454 -SO SERV RD TO SYCAMORE LN, TNS BROOKHAVEN, ISLIP&SMITHTOWN,SUFFOLK CO",Under Construction,Fall 2017,04/11/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project proposes to restore the pavement riding surface to a smooth and distress free condition by milling and resurfacing the existing pavement at the following locations: NY111 from NY454 (Veterans Memorial Highway) to NY347 (Nesconset-Port Jeffers,05/23/2019,7862114,121840,7983954,06/30/2020,GREEN,GREEN
080995,D263894,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"Milling, concrete & asphalt pavement repairs, single course overlay:  NY25A Indian Head Rd-Lawrence Rd, NY27A CR13-NY111, 906A bet Upper Half Hollow-Bagatelle, 906B bet NY231-Pinelawn, Smithtown, Islip & Huntington towns.  Suffolk county",Under Construction,Fall 2017,03/14/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project proposes to restore the pavement riding surface and will provide a smooth and distress free condition by milling and resurfacing the existing pavement at the following locations: NY25A (Main Street) from Indian Head Road (CR14) to Lawrence Ro,04/15/2019,8860262,42420,8902682,05/12/2020,GREEN,GREEN
080996,,10 LONG ISLAND,GUIDERAIL REHAB CONTRACT,"Repair and replace guiderail sections on MSP & BSP, Towns of Hempstead, North Hempstead & Oyster Bay, Nassau County.",In Development,Spring 2018,Winter 2019/2020,Spring 2020,Summer 2021,3600000.00,No,Yes,No,This project involves the rehabilitation of guiderails.,This project proposes to replace the existing rustic guide rail on the Meadowbrook State Parkway (908E) from the Northern State Parkway (908G) to Ocean Parkway (909D) in the Towns of North Hempstead and Hempstead in Nassau County and the Bethpage Parkway ,,,,,,,
080997,D264051,10 LONG ISLAND,BRIDGE DECK REPLACEMENT & REPAIR CONTRACT,"Bridge deck replacement and repairs on I495 WB/River Rd BIN 1056191, I495 EB/River Rd 1056192, NYS 25 WB/CR58 BIN 1056230 and Lincoln Ave/NYS 27 BIN 1073300. Towns of Islip and Riverhead, Suffolk County.",Under Construction,Spring 2018,10/23/2019,,,,Yes,Yes,No,This project involves replacing bridge decks.,This project proposes deck replacement and other repairs to the following bridges in the Town of Riverhead in Suffolk County: - Long Island Expressway (Interstate 495) westbound bridge over River Road - Long Island Expressway (Interstate 495) eastbound br,02/21/2020,14395054,0,14395054,03/24/2021,GREEN,GREEN
080998,D263790,10 LONG ISLAND,PRIORITY RESURFACING,"Milling, asphalt pavement repairs, single course overlay on NY105 from Wantagh Ave to NY107 and NY454 from Sycamore Ln to 13th  Ave, Towns of Hempstead, Islip & Oyster Bay, Nassau & Suffolk Counties",Completed Project,Spring 2018,08/09/2018,,,,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project proposes to restore the pavement riding surface on Jerusalem Avenue (NY105) from Wantagh Avenue to Hicksville Road (NY107) in the Towns of Hempstead and Oyster Bay, Nassau County and Veterans Memorial Highway (NY454) from Sycamore Lane to 13t",10/02/2018,5929947,-858149,5071798,04/22/2020,RED,GREEN
080999,D264028,10 LONG ISLAND,SIGN REQUIREMENTS CONTRACT,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Under Construction,Spring 2018,08/22/2019,,,,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project proposes to replace or repair signs that are worn or damaged along state highways in Nassau and Suffolk Counties. Furthermore, this project may install new signs to address safety and operational problems that are identified.",10/11/2019,2947805,0,2947805,03/22/2022,GREEN,GREEN
081000,,10 LONG ISLAND,SAFETY IMPROVEMENTS,Safety Improvements -  Lane Extensions and Diamond Grinding  on various State Highways in Nassau and Suffolk counties,In Development,,Summer 2020,Summer 2020,Summer 2021,6900000.00,Yes,Yes,No,This project involves reconstruction of intersections.,"This project proposes to improve safety by diamond grinding concrete pavement to improve friction characteristics at the following locations:NY27(Sunrise Hwy)near Hubbards Path, Southern State Pkwy(908M)near Sagtikos State Pkwy,& Sunken Meadow Pkwy(908K)n",,,,,,,
081001,,10 LONG ISLAND,SAFETY IMPROVEMENTS,"SAFETY IMPROVEMENTS - Widen intersection &add turning lanes at NY25 @Edwards Ave, NY114 @Stephens Hands Path, NY114 @Goodfriend Dr.  Potential roundabout at NY25@ CR48, NY25A @Stony Brook Rd, Towns of Riverhead, E Hampton,Southold& Brookhaven,Suffolk Co",Future Development,Summer 2018,Fall 2022,Winter 2022/2023,Fall 2023,6800000.00,Yes,Yes,No,This project involves work to align roads and highways.,"This project proposes to improve safety at the following intersections:  Location 1 - NYS Route 25 at Edwards Avenue, Town of Riverhead, Suffolk County - Widening the intersection and adding turn lanes.  Location 2 - NYS Route 114 (Sag Harbor Turnpike) at",,,,,,,
081002,,10 LONG ISLAND,SAFETY IMPROVEMENTS,"Safety Improvements at intersections: NY25 at Dix Hills Rd & Broadway, NY27 at NY114 (Potential roundabout), SSP w/b at North Corona Ave, Towns of Huntington, East Hampton & Hempstead, Nassau & Suffolk Counties.",Future Development,,Fall 2023,Winter 2023/2024,Fall 2024,6600000.00,Yes,Yes,No,This project involves work to align roads and highways.,"This project proposes to provide safety improvements at the following locations:  1. Intersection of NYS Route 25 at Dix Hills Road and Broadway in the Town of Huntington, Suffolk County. Changing the alignment of Dix Hills Road and Broadway at their inte",,,,,,,
081003,D264187,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"Pavement Rehabilitation NY25-Mt. Sinai/Coram Rd toWading River Manor Rd, NY25B- Queens/Nassau Line to LIRR tracks (E.Williston), NY107-Merrick Rd to NY24, Towns of Brookhaven, N Hempstead, Oyster Bay & Riverhead, Nassau &Suffolk Counties.",Under Construction,Summer 2018,03/05/2020,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project proposes to restore the pavement riding surface on: NY25 (Middle Country Road) between Mount Sinai/Coram Road and Wading River Manor Road, Towns of Brookhaven and Riverhead, Suffolk County; NY25B (Hillside Avenue) between Queens/Nassau Line ",04/20/2020,22802075,0,22802075,11/30/2021,GREEN,GREEN
