Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
IOWA,2020,14,,-,1,,1,,,-,,-,2,,,-,,-,4,,33,,90,,250,,IOWA,,20201421,POINT (-93.500061 42.074659)
TEXAS,2020,14,,-,3,,1,,3,,,-,6,,3,,5,,7,,335,,339,,572,,TEXAS,,20201447,POINT (-99.317341 31.447238)
ALASKA,2020,14,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,12,,ALASKA,,20201458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,14,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,8,,DISTRICT OF COLUMBIA,,20201430,POINT (-77.016275 38.904785)
WASHINGTON,2020,14,,-,1,,1,,2,,,-,2,,4,,4,,2,,21,,106,,138,,WASHINGTON,,20201462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,14,,-,3,,5,,5,,,-,6,,3,,6,,2,,81,,249,,340,,,NEW ENGLAND,20201402,
RHODE ISLAND,2020,14,,-,1,,,-,1,,,-,1,,,-,,-,,-,8,,11,,18,,RHODE ISLAND,,20201407,POINT (-71.534637 41.572574)
OREGON,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201461,POINT (-120.605279 43.940449)
DELAWARE,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201429,POINT (-75.452394 38.994926)
ALABAMA,2020,14,,-,1,,1,,,-,,-,0,,,-,,-,,-,53,,103,,136,,ALABAMA,,20201439,POINT (-86.844516 32.756889)
KANSAS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,23,,,-,KANSAS,,20201422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,14,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,61,,254,,NORTH CAROLINA,,20201434,POINT (-79.130883 35.52603)
GUAM,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201466,POINT (144.653198 13.3532)
NEW JERSEY,2020,14,,-,1,,,-,1,,,-,2,,,-,7,,,-,58,,7,,207,,NEW JERSEY,,20201410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,1,,18,,43,,60,,NEW MEXICO,,20201454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,14,,-,1,,1,,4,,,-,4,,2,,13,,12,,145,,445,,860,,,EAST NORTH CENTRAL,20201414,
TENNESSEE,2020,14,,-,1,,,-,,-,,-,1,,,-,1,,3,,52,,120,,113,,TENNESSEE,,20201442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,14,,-,1,,3,,2,,,-,1,,,-,3,,,-,26,,64,,76,,CONNECTICUT,,20201403,POINT (-72.738288 41.575155)
MARYLAND,2020,14,,-,1,,1,,1,,,-,2,,1,,8,,1,,47,,108,,140,,MARYLAND,,20201433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,14,,-,0,,,-,,-,,-,1,,2,,,-,9,,86,,135,,145,,SOUTH CAROLINA,,20201435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,14,,-,0,,,-,,-,,-,1,,2,,,-,,-,74,,99,,75,,OKLAHOMA,,20201446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201465,POINT (145.725693 15.1834)
OHIO,2020,14,,-,1,,,-,,-,,-,1,,2,,1,,10,,66,,170,,270,,OHIO,,20201418,POINT (-82.70936 40.415534)
MINNESOTA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201423,POINT (-94.198308 46.349153)
LOUISIANA,2020,14,,-,1,,,-,,-,,-,0,,,-,,-,15,,53,,95,,127,,LOUISIANA,,20201445,POINT (-91.840238 30.921314)
HAWAII,2020,14,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,17,,34,,HAWAII,,20201460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,14,,-,3,,3,,11,,2,,6,,9,,20,,36,,554,,1481,,2024,,,SOUTH ATLANTIC,20201428,
PENNSYLVANIA,2020,14,,-,1,,,-,,-,,-,2,,4,,1,,12,,67,,207,,27,,PENNSYLVANIA,,20201413,POINT (-77.838886 40.896694)
UTAH,2020,14,,-,0,,,-,,-,,-,1,,,-,1,,,-,15,,,-,66,,UTAH,,20201455,POINT (-111.678222 39.323779)
COLORADO,2020,14,,-,1,,,-,1,,,-,2,,,-,3,,8,,27,,132,,155,,COLORADO,,20201450,POINT (-105.547832 38.998552)
VERMONT,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,2,,8,,11,,8,,VERMONT,,20201408,POINT (-72.662695 44.075252)
KENTUCKY,2020,14,,-,1,,,-,1,,,-,1,,,-,,-,,-,27,,28,,120,,KENTUCKY,,20201440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201467,POINT (-66.414655 18.215692)
MAINE,2020,14,,-,1,,,-,,-,,-,0,,,-,1,,,-,7,,10,,25,,MAINE,,20201404,POINT (-69.06137 45.117911)
VIRGINIA,2020,14,,-,2,,1,,4,,2,,2,,6,,6,,6,,58,,137,,162,,VIRGINIA,,20201436,POINT (-78.666382 37.510861)
ARIZONA,2020,14,,-,1,,,-,,-,,-,1,,3,,1,,5,,38,,134,,187,,ARIZONA,,20201449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201464,
WISCONSIN,2020,14,,-,0,,,-,,-,,-,1,,,-,,-,2,,36,,140,,153,,WISCONSIN,,20201419,POINT (-89.732969 44.639954)
IDAHO,2020,14,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,5,,47,,IDAHO,,20201451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201468,POINT (-64.840836 18.060868)
MICHIGAN,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201417,POINT (-85.730977 44.874798)
GEORGIA,2020,14,,-,1,,,-,5,,,-,0,,,-,,-,2,,98,,148,,228,,GEORGIA,,20201432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,14,,-,0,,,-,,-,,-,1,,,-,5,,,-,0,,,-,,-,,NEW YORK CITY,20201412,
ARKANSAS,2020,14,,-,2,,,-,,-,,-,1,,,-,1,,5,,42,,61,,51,,ARKANSAS,,20201444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,37,,SOUTH DAKOTA,,20201427,POINT (-100.230491 44.43614)
WYOMING,2020,14,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,5,,WYOMING,,20201456,POINT (-107.55145 42.999627)
MISSOURI,2020,14,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,72,,139,,MISSOURI,,20201424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,14,,-,2,,3,,2,,,-,5,,7,,21,,20,,175,,415,,489,,,MIDDLE ATLANTIC,20201409,
CALIFORNIA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,3,,WEST VIRGINIA,,20201437,POINT (-80.613729 38.642579)
FLORIDA,2020,14,,-,1,,1,,1,,,-,5,,,-,4,,18,,234,,889,,1084,,FLORIDA,,20201431,POINT (-82.420978 28.260731)
MONTANA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,28,,MONTANA,,20201452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,14,,-,1,,1,,,-,,-,2,,1,,3,,5,,79,,243,,474,,,WEST NORTH CENTRAL,20201420,
MASSACHUSETTS,2020,14,,-,2,,2,,2,,,-,2,,3,,2,,,-,50,,137,,179,,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,14,,-,2,,2,,2,,,-,2,,3,,9,,14,,101,,338,,626,,,MOUNTAIN,20201448,
INDIANA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201463,
TOTAL,2020,18,,-,6,,22,,42,,,-,13,,41,,113,,46,,1467,,5301,,9168,,,TOTAL,20201870,
US RESIDENTS,2020,18,,-,6,,22,,42,,,-,13,,41,,113,,46,,1467,,5301,,9168,,,US RESIDENTS,20201801,
NEW HAMPSHIRE,2020,18,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,28,,50,,NEW HAMPSHIRE,,20201806,POINT (-71.57139 43.680429)
NEW YORK,2020,18,,-,2,,3,,2,,,-,3,,3,,11,,6,,62,,234,,352,,NEW YORK,,20201811,POINT (-75.59655 42.921241)
PACIFIC,2020,18,,-,1,,1,,4,,,-,3,,4,,8,,1,,46,,172,,268,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,3,,2,,5,,,-,6,,6,,8,,,-,370,,800,,1190,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,0,,,-,,-,,-,1,,,-,1,,,-,18,,48,,34,,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,,-,1,,2,,2,,,-,1,,1,,1,,,-,116,,317,,568,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,35,,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,2,,2,,,-,,-,1,,,-,4,,,-,10,,13,,95,,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,-,1,,1,,4,,,-,3,,,-,15,,,-,74,,161,,558,,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
IOWA,2020,18,,-,1,,1,,,-,,-,2,,,-,,-,,-,33,,106,,289,,IOWA,,20201821,POINT (-93.500061 42.074659)
TEXAS,2020,18,,-,3,,2,,4,,,-,6,,4,,6,,,-,335,,410,,807,,TEXAS,,20201847,POINT (-99.317341 31.447238)
ALASKA,2020,18,,-,1,,,-,1,,,-,0,,,-,1,,,-,6,,,-,17,,ALASKA,,20201858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,18,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,13,,DISTRICT OF COLUMBIA,,20201830,POINT (-77.016275 38.904785)
WASHINGTON,2020,18,,-,1,,1,,3,,,-,2,,4,,6,,,-,21,,120,,200,,WASHINGTON,,20201862,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,18,,-,0,,,-,1,,,-,1,,,-,,-,,-,8,,11,,31,,RHODE ISLAND,,20201807,POINT (-71.534637 41.572574)
OREGON,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,1,,5,,27,,7,,OREGON,,20201861,POINT (-120.605279 43.940449)
DELAWARE,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201829,POINT (-75.452394 38.994926)
ALABAMA,2020,18,,-,1,,1,,,-,,-,0,,,-,,-,,-,53,,114,,195,,ALABAMA,,20201839,POINT (-86.844516 32.756889)
KANSAS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,24,,77,,101,,KANSAS,,20201822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,18,,-,0,,,-,,-,,-,2,,1,,3,,,-,110,,112,,400,,NORTH CAROLINA,,20201834,POINT (-79.130883 35.52603)
GUAM,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201866,POINT (144.653198 13.3532)
NEW JERSEY,2020,18,,-,1,,,-,1,,,-,2,,,-,8,,,-,63,,33,,303,,NEW JERSEY,,20201810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,52,,83,,NEW MEXICO,,20201854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,18,,-,1,,1,,5,,,-,3,,2,,18,,3,,145,,534,,1179,,,EAST NORTH CENTRAL,20201814,
TENNESSEE,2020,18,,-,1,,1,,,-,,-,1,,,-,1,,,-,52,,132,,187,,TENNESSEE,,20201842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,18,,-,1,,3,,3,,,-,1,,,-,4,,,-,26,,73,,125,,CONNECTICUT,,20201803,POINT (-72.738288 41.575155)
MARYLAND,2020,18,,-,1,,1,,2,,,-,2,,1,,8,,,-,47,,114,,194,,MARYLAND,,20201833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,18,,-,0,,,-,,-,,-,1,,2,,1,,11,,86,,197,,212,,SOUTH CAROLINA,,20201835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,18,,-,0,,,-,,-,,-,1,,2,,,-,,-,74,,113,,118,,OKLAHOMA,,20201846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201865,POINT (145.725693 15.1834)
OHIO,2020,18,,-,1,,,-,1,,,-,1,,2,,2,,,-,66,,205,,388,,OHIO,,20201818,POINT (-82.70936 40.415534)
MINNESOTA,2020,18,,-,1,,,-,,-,,-,1,,,-,1,,,-,34,,,-,245,,MINNESOTA,,20201823,POINT (-94.198308 46.349153)
LOUISIANA,2020,18,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,207,,185,,LOUISIANA,,20201845,POINT (-91.840238 30.921314)
HAWAII,2020,18,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,25,,44,,HAWAII,,20201860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,18,,-,3,,4,,13,,,-,6,,12,,27,,22,,559,,1871,,2902,,,SOUTH ATLANTIC,20201828,
PENNSYLVANIA,2020,18,,-,1,,,-,,-,,-,2,,5,,1,,,-,67,,249,,120,,PENNSYLVANIA,,20201813,POINT (-77.838886 40.896694)
UTAH,2020,18,,-,0,,,-,,-,,-,1,,,-,2,,3,,15,,65,,91,,UTAH,,20201855,POINT (-111.678222 39.323779)
COLORADO,2020,18,,-,1,,,-,1,,,-,2,,1,,4,,5,,27,,155,,191,,COLORADO,,20201850,POINT (-105.547832 38.998552)
VERMONT,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,15,,VERMONT,,20201808,POINT (-72.662695 44.075252)
KENTUCKY,2020,18,,-,1,,,-,2,,,-,1,,1,,,-,,-,27,,71,,186,,KENTUCKY,,20201840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201867,POINT (-66.414655 18.215692)
MAINE,2020,18,,-,1,,,-,,-,,-,0,,,-,1,,1,,7,,13,,30,,MAINE,,20201804,POINT (-69.06137 45.117911)
VIRGINIA,2020,18,,-,2,,2,,4,,,-,2,,6,,10,,,-,58,,151,,239,,VIRGINIA,,20201836,POINT (-78.666382 37.510861)
ARIZONA,2020,18,,-,1,,1,,,-,,-,1,,3,,3,,,-,38,,153,,240,,ARIZONA,,20201849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201864,
WISCONSIN,2020,18,,-,0,,,-,,-,,-,0,,,-,1,,3,,36,,168,,233,,WISCONSIN,,20201819,POINT (-89.732969 44.639954)
IDAHO,2020,18,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,14,,58,,IDAHO,,20201851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201868,POINT (-64.840836 18.060868)
MICHIGAN,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201817,POINT (-85.730977 44.874798)
GEORGIA,2020,18,,-,1,,,-,6,,,-,0,,,-,,-,1,,100,,187,,364,,GEORGIA,,20201832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,18,,-,0,,,-,,-,,-,1,,,-,6,,,-,0,,,-,,-,,NEW YORK CITY,20201812,
ARKANSAS,2020,18,,-,2,,,-,1,,,-,1,,,-,2,,,-,42,,70,,80,,ARKANSAS,,20201844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,52,,SOUTH DAKOTA,,20201827,POINT (-100.230491 44.43614)
WYOMING,2020,18,,-,0,,,-,2,,,-,0,,,-,,-,,-,5,,3,,11,,WYOMING,,20201856,POINT (-107.55145 42.999627)
MISSOURI,2020,18,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,72,,211,,MISSOURI,,20201824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,18,,-,2,,3,,3,,,-,5,,8,,26,,6,,179,,516,,775,,,MIDDLE ATLANTIC,20201809,
CALIFORNIA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,18,,-,1,,,-,,-,,-,0,,,-,,-,,-,12,,26,,27,,WEST VIRGINIA,,20201837,POINT (-80.613729 38.642579)
FLORIDA,2020,18,,-,1,,1,,1,,,-,5,,2,,5,,10,,234,,1083,,1453,,FLORIDA,,20201831,POINT (-82.420978 28.260731)
MONTANA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,43,,MONTANA,,20201852,POINT (-109.645127 47.033521)
TOTAL,2020,15,1,,6,,20,,33,,,-,13,,36,,95,,107,,1457,,4397,,7063,,,TOTAL,20201570,
US RESIDENTS,2020,15,1,,6,,20,,33,,,-,13,,36,,95,,107,,1457,,4397,,7063,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,18,,40,,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,,-,2,,3,,2,,,-,3,,3,,9,,4,,62,,205,,274,,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,,-,1,,1,,2,,,-,3,,4,,7,,3,,46,,133,,204,,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,,-,3,,1,,3,,,-,6,,6,,6,,22,,364,,641,,917,,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,0,,,-,,-,,-,1,,,-,1,,3,,18,,40,,23,,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,,-,1,,1,,1,,,-,1,,,-,1,,2,,116,,258,,416,,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,32,,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,2,,2,,,-,,-,1,,,-,4,,,-,10,,13,,80,,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,-,1,,1,,4,,,-,3,,,-,14,,,-,74,,135,,463,,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,-,1,,1,,,-,,-,2,,,-,,-,1,,33,,93,,260,,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,,-,3,,1,,3,,,-,6,,4,,5,,8,,335,,367,,644,,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,13,,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,9,,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,-,1,,1,,2,,,-,2,,4,,5,,3,,21,,115,,154,,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,3,,5,,5,,,-,6,,3,,7,,3,,81,,260,,376,,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,0,,,-,1,,,-,1,,,-,,-,,-,8,,11,,22,,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,1,,1,,,-,,-,0,,,-,,-,1,,53,,105,,151,,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,1,,24,,52,,84,,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,0,,,-,,-,,-,2,,1,,2,,,-,109,,63,,282,,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,1,,,-,1,,,-,2,,,-,7,,,-,58,,7,,227,,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,1,,18,,47,,67,,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,1,,1,,5,,,-,4,,2,,17,,15,,145,,461,,933,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,1,,,-,,-,,-,1,,,-,1,,1,,52,,124,,131,,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,1,,3,,2,,,-,1,,,-,3,,,-,26,,66,,83,,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,1,,1,,1,,,-,2,,1,,8,,2,,47,,110,,149,,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,0,,,-,,-,,-,1,,2,,,-,12,,86,,149,,155,,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,0,,,-,,-,,-,1,,2,,,-,5,,74,,108,,79,,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,1,,,-,1,,,-,1,,2,,2,,11,,66,,181,,294,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,1,,,-,,-,,-,1,,,-,1,,,-,34,,,-,199,,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,1,,,-,,-,,-,0,,,-,,-,9,,53,,105,,139,,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,18,,37,,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,1,,3,,4,,11,,,-,6,,10,,21,,30,,554,,1523,,2209,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,1,,,-,,-,,-,2,,4,,1,,10,,67,,222,,50,,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,0,,,-,,-,,-,1,,,-,1,,,-,15,,52,,71,,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,1,,,-,1,,,-,2,,,-,3,,4,,27,,137,,158,,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,9,,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,,-,1,,,-,1,,,-,1,,,-,,-,,-,27,,29,,134,,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,1,,,-,,-,,-,0,,,-,1,,,-,7,,10,,26,,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,1,,2,,2,,4,,,-,2,,6,,7,,9,,58,,147,,183,,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,,-,1,,1,,,-,,-,1,,3,,2,,8,,38,,144,,198,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
