Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
02/17/2012,Animal Care & Control,,50,2,6.3,300.00
02/17/2012,Aviation,,1452,66,4.5,28633.00
02/17/2012,Board of Elections,,111,1,0.9,146.00
02/17/2012,Board of Ethics,,7,0,0.0,0.00
02/17/2012,Budget & Management,,50,0,0.0,0.00
02/17/2012,Buildings,,263,1,0.4,220.00
02/17/2012,Business Affairs & Consumer Protection,,180,3,1.7,980.00
02/17/2012,Chicago Board of Education,,50469,2727,5.4,1067306.00
02/17/2012,Chicago Housing Authority,,494,14,2.8,5477.00
02/17/2012,Chicago Park District,,3052,208,6.8,100732.00
02/17/2012,Chicago Public Library,,835,9,1.1,3832.00
02/17/2012,Chicago Transit Authority,,10136,1661,16.4,535366.00
02/17/2012,City Clerk,,99,2,2.0,671.00
02/17/2012,City Colleges of Chicago,,6910,541,7.8,331855.00
02/17/2012,City Council,,377,27,7.2,7513.00
02/17/2012,City Treasurer,,22,0,0.0,0.00
02/17/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
02/17/2012,Emergency Management & Communications,,1401,75,5.4,39411.00
02/17/2012,Family & Support Services,,831,11,1.3,4279.00
02/17/2012,Finance,,574,8,1.4,3438.00
02/17/2012,Fire,,4915,138,2.8,44850.00
02/17/2012,Fleet & Facilities Management,,1056,33,3.1,10342.00
02/17/2012,Housing & Economic Development,,217,1,0.5,240.00
02/17/2012,Human Relations,,28,0,0.0,0.00
02/17/2012,Human Resources,,70,1,1.4,200.00
02/17/2012,Independent Police Review Authority,,88,3,3.4,2090.00
02/17/2012,Innovation & Technology,,85,0,0.0,0.00
02/17/2012,Law,,440,6,1.4,2472.00
02/17/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
02/17/2012,Office of the Mayor,,72,0,0.0,0.00
02/17/2012,Police,,13710,575,4.2,230797.00
02/17/2012,Procurement Services,,59,0,0.0,0.00
02/17/2012,Public Health,,815,17,2.1,4931.00
02/17/2012,Streets & Sanitation,,2231,131,5.9,69092.00
02/17/2012,Transportation,,1063,37,3.5,12057.00
02/17/2012,Water Management,,1778,71,4.0,22335.00
03/02/2012,Administrative Hearings,,39,2,5.1,404.00
03/02/2012,Animal Care & Control,,50,1,6.3,200.00
03/02/2012,Aviation,,1452,49,3.4,22320.00
03/02/2012,Board of Elections,,111,1,0.9,146.00
03/02/2012,Board of Ethics,,7,0,0.0,0.00
03/02/2012,Budget & Management,,50,0,0.0,0.00
03/02/2012,Buildings,,263,1,0.4,220.00
03/02/2012,Business Affairs & Consumer Protection,,180,2,1.1,780.00
03/02/2012,Chicago Board of Education,,50469,2525,5.0,990782.00
03/02/2012,Chicago Housing Authority,,494,13,2.6,5178.00
03/02/2012,Chicago Park District,,3052,162,5.3,82020.00
03/02/2012,Chicago Public Library,,835,7,0.8,3494.00
03/02/2012,Chicago Transit Authority,,10136,1581,15.6,511157.00
03/02/2012,City Clerk,,99,1,1.0,572.00
03/02/2012,City Colleges of Chicago,,6910,474,6.9,324087.00
03/02/2012,City Council,,377,27,7.2,7415.00
03/02/2012,City Treasurer,,22,0,0.0,0.00
03/02/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
03/02/2012,Emergency Management & Communications,,1401,65,4.6,37221.00
03/02/2012,Family & Support Services,,831,7,0.8,2207.00
03/02/2012,Finance,,574,6,1.0,1294.00
03/02/2012,Fire,,4915,110,2.2,34682.00
03/02/2012,Fleet & Facilities Management,,1056,27,2.6,7008.00
03/02/2012,Housing & Economic Development,,217,1,0.5,240.00
03/02/2012,Human Relations,,28,0,0.0,0.00
03/02/2012,Human Resources,,70,1,1.4,200.00
03/02/2012,Independent Police Review Authority,,88,1,1.1,440.00
03/02/2012,Innovation & Technology,,85,0,0.0,0.00
03/02/2012,Law,,440,5,1.1,2424.00
03/02/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
03/02/2012,Office of the Mayor,,72,0,0.0,0.00
03/02/2012,Police,,13710,516,3.8,216159.00
03/02/2012,Procurement Services,,59,0,0.0,0.00
03/02/2012,Public Health,,815,15,1.8,5289.00
03/02/2012,Streets & Sanitation,,2231,100,4.5,50702.00
03/02/2012,Transportation,,1063,30,2.8,9405.00
03/02/2012,Water Management,,1778,64,3.6,20409.00
03/09/2012,Administrative Hearings,,38,2,5.3,404.00
03/09/2012,Animal Care & Control,,52,1,1.9,200.00
03/09/2012,Aviation,,1446,38,2.6,16308.00
03/09/2012,Board of Elections,,111,0,0.0,0.00
03/09/2012,Board of Ethics,,7,0,0.0,0.00
03/09/2012,Budget & Management,,50,0,0.0,0.00
03/09/2012,Buildings,,263,0,0.0,0.00
03/09/2012,Business Affairs & Consumer Protection,,180,1,0.6,580.00
03/09/2012,Chicago Board of Education,,50469,2404,4.8,959406.00
03/09/2012,Chicago Housing Authority,,494,12,2.4,5104.00
03/09/2012,Chicago Park District,,3052,142,4.7,73516.00
03/09/2012,Chicago Public Library,,835,3,0.4,2659.00
03/09/2012,Chicago Transit Authority,,10136,1523,15.0,490698.00
03/09/2012,City Clerk,,96,1,1.0,573.00
03/09/2012,City Colleges of Chicago,,6910,396,5.7,265464.00
03/09/2012,City Council,,376,21,5.6,6197.00
03/09/2012,City Treasurer,,22,0,0.0,0.00
03/09/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
03/09/2012,Emergency Management & Communications,,1387,58,4.2,35572.00
03/09/2012,Family & Support Services,,820,6,0.7,1867.00
03/09/2012,Finance,,570,3,0.5,262.00
03/09/2012,Fire,,4890,99,2.0,33541.00
03/09/2012,Fleet & Facilities Management,,1048,22,2.1,6045.00
03/09/2012,Housing & Economic Development,,216,1,0.5,240.00
03/09/2012,Human Relations,,28,0,0.0,0.00
03/09/2012,Human Resources,,70,0,0.0,0.00
03/09/2012,Independent Police Review Authority,,88,0,0.0,0.00
03/09/2012,Innovation & Technology,,85,0,0.0,0.00
03/09/2012,Law,,436,3,0.7,2107.00
03/09/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
03/09/2012,Office of the Mayor,,72,0,0.0,0.00
03/09/2012,Police,,13655,465,3.4,190186.00
03/02/2012,Procurement Services,,59,0,0.0,0.00
03/09/2012,Public Health,,806,14,1.7,4746.00
03/09/2012,Streets & Sanitation,,2219,84,3.8,43791.00
03/09/2012,Transportation,,1068,23,2.2,8097.00
03/09/2012,Water Management,,1765,47,2.7,15920.00
03/16/2012,Administrative Hearings,,38,2,5.3,404.00
03/16/2012,Animal Care & Control,,52,1,1.9,200.00
03/16/2012,Aviation,,1446,25,1.7,13062.00
03/16/2012,Board of Elections,,111,0,0.0,0.00
03/16/2012,Board of Ethics,,7,0,0.0,0.00
03/16/2012,Budget & Management,,50,0,0.0,0.00
03/16/2012,Buildings,,263,0,0.0,0.00
03/16/2012,Business Affairs & Consumer Protection,,180,0,0.0,0.00
03/16/2012,Chicago Board of Education,,50469,2290,4.5,919294.00
03/16/2012,Chicago Housing Authority,,494,11,2.2,4634.00
03/16/2012,Chicago Park District,,3052,129,4.2,70525.00
03/16/2012,Chicago Public Library,,835,5,0.6,2659.00
03/16/2012,Chicago Transit Authority,,10136,1450,14.3,466430.00
03/16/2012,City Clerk,,96,1,1.0,573.00
03/16/2012,City Colleges of Chicago,,6910,365,5.3,254768.00
03/16/2012,City Council,,376,20,5.3,5305.00
03/16/2012,City Treasurer,,22,0,0.0,0.00
03/16/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
03/16/2012,Emergency Management & Communications,,1387,52,3.7,30743.00
03/16/2012,Family & Support Services,,820,7,0.9,2968.00
03/16/2012,Finance,,570,3,0.5,262.00
03/16/2012,Fire,,4890,84,1.7,28966.00
03/16/2012,Fleet & Facilities Management,,1048,21,2.0,5625.00
03/16/2012,Housing & Economic Development,,216,0,0.0,0.00
03/16/2012,Human Relations,,28,0,0.0,0.00
03/16/2012,Human Resources,,70,0,0.0,0.00
03/16/2012,Independent Police Review Authority,,88,0,0.0,0.00
03/16/2012,Innovation & Technology,,85,0,0.0,0.00
03/16/2012,Law,,436,3,0.7,2110.00
03/16/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
03/16/2012,Office of the Mayor,,72,0,0.0,0.00
03/16/2012,Police,,13655,448,3.3,185164.00
03/16/2012,Procurement Services,,59,0,0.0,0.00
03/16/2012,Public Health,,806,11,1.4,2963.00
03/16/2012,Streets & Sanitation,,2219,82,3.7,41164.00
03/16/2012,Transportation,,1068,21,2.0,7701.00
03/16/2012,Water Management,,1765,39,2.2,11367.00
05/18/2012,Administrative Hearings,,38,0,0.0,0.00
05/18/2012,Animal Care & Control,,52,1,1.9,200.00
05/18/2012,Aviation,,1446,1,0.1,1580.00
05/18/2012,Board of Elections,,111,0,0.0,0.00
09/28/2012,City Clerk,,114,0,0.0,0.00
05/18/2012,Board of Ethics,,7,0,0.0,0.00
05/18/2012,Budget & Management,,50,0,0.0,0.00
05/18/2012,Buildings,,263,0,0.0,0.00
05/18/2012,Business Affairs & Consumer Protection,,180,0,0.0,0.00
05/18/2012,Chicago Board of Education,,50469,1653,3.3,607842.00
05/18/2012,Chicago Housing Authority,,494,0,0.0,0.00
05/18/2012,Chicago Park District,,3052,91,3.0,54145.00
05/18/2012,Chicago Public Library,,835,2,0.2,580.00
05/18/2012,Chicago Transit Authority,,10136,1245,12.3,392852.00
05/18/2012,City Clerk,,96,0,0.0,0.00
05/18/2012,City Colleges of Chicago,,6910,165,2.4,129983.00
05/18/2012,City Council,,376,9,2.4,1311.00
05/18/2012,City Treasurer,,22,0,0.0,0.00
05/18/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
05/18/2012,Emergency Management & Communications,,1387,19,1.4,13694.00
05/18/2012,Family & Support Services,,820,0,0.0,0.00
05/18/2012,Finance,,570,0,0.0,0.00
05/18/2012,Fire,,4890,1,0.0,200.00
05/18/2012,Fleet & Facilities Management,,1048,4,0.4,572.00
05/18/2012,Housing & Economic Development,,216,0,0.0,0.00
05/18/2012,Human Relations,,28,0,0.0,0.00
05/18/2012,Human Resources,,70,0,0.0,0.00
05/18/2012,Independent Police Review Authority,,88,0,0.0,0.00
05/18/2012,Innovation & Technology,,85,0,0.0,0.00
05/18/2012,Law,,436,0,0.0,0.00
05/18/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
05/18/2012,Office of the Mayor,,72,0,0.0,0.00
05/18/2012,Police,,13655,251,1.8,75083.00
05/18/2012,Procurement Services,,59,0,0.0,0.00
05/18/2012,Public Health,,806,2,0.2,185.00
05/18/2012,Streets & Sanitation,,2219,10,0.5,4338.00
05/18/2012,Transportation,,1068,3,0.3,626.00
05/18/2012,Water Management,,1765,8,0.5,1058.00
06/28/2012,Administrative Hearings,,38,0,0.0,0.00
06/28/2012,Animal Care & Control,,48,3,6.3,848.22
06/28/2012,Aviation,,1268,52,4.1,16138.81
06/28/2012,Board of Elections,,110,5,4.5,1511.24
06/28/2012,Board of Ethics,,7,0,0.0,0.00
06/28/2012,Budget & Management,,42,1,2.4,85.40
06/28/2012,Buildings,,258,10,3.9,2511.10
06/28/2012,Business Affairs & Consumer Protection,,178,10,5.6,2680.57
06/28/2012,Chicago Board of Education,,49332,2644,5.4,1103617.26
06/28/2012,Chicago Housing Authority,,470,17,3.6,5643.83
06/28/2012,Chicago Park District,,3613,257,7.1,124371.73
06/28/2012,Chicago Public Library,,850,22,2.6,6875.36
06/28/2012,Chicago Transit Authority,,10083,1685,16.7,708738.00
06/28/2012,City Clerk,,114,3,2.6,603.51
06/28/2012,City Colleges of Chicago,,6490,320,4.9,197527.24
06/28/2012,City Council,,379,27,7.1,6731.28
06/28/2012,City Treasurer,,22,0,0.0,0.00
06/28/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
06/28/2012,Emergency Management & Communications,,1400,97,6.9,46925.00
06/28/2012,Family & Support Services,,819,31,3.8,11679.30
06/28/2012,Finance,,587,24,4.1,6689.00
06/28/2012,Fire,,4873,188,3.9,79901.44
06/28/2012,Fleet & Facilities Management,,1040,42,4.0,18749.14
06/28/2012,Housing & Economic Development,,217,7,3.2,2520.18
06/28/2012,Human Relations,,28,0,0.0,0.00
06/28/2012,Human Resources,,72,1,1.4,400.00
06/28/2012,Independent Police Review Authority,,86,1,1.2,400.00
06/28/2012,Innovation & Technology,,70,0,0.0,0.00
06/28/2012,Law,,441,5,1.1,1254.45
06/28/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
06/28/2012,Office of the Mayor,,72,0,0.0,0.00
06/28/2012,Police,,13552,635,4.7,231296.64
06/28/2012,Procurement Services,,66,1,1.5,146.40
06/28/2012,Public Health,,754,38,5.0,12978.99
06/28/2012,Streets & Sanitation,,2131,160,7.5,64018.31
06/28/2012,Transportation,,1221,69,5.7,28025.21
06/28/2012,Water Management,,1822,110,6.0,48910.01
07/27/2012,Administrative Hearings,,38,0,0.0,0.00
07/27/2012,Animal Care & Control,,48,2,4.2,685.00
07/27/2012,Aviation,,1268,33,2.6,8984.00
07/27/2012,Board of Elections,,110,0,0.0,0.00
07/27/2012,Board of Ethics,,7,0,0.0,0.00
07/27/2012,Budget & Management,,42,0,0.0,0.00
07/27/2012,Buildings,,258,4,1.6,944.00
07/27/2012,Business Affairs & Consumer Protection,,178,5,2.8,1255.00
07/27/2012,Chicago Board of Education,,49332,2055,4.2,866888.00
07/27/2012,Chicago Housing Authority,,470,10,2.1,2239.00
07/27/2012,Chicago Park District,,3613,206,5.7,105074.00
07/27/2012,Chicago Public Library,,850,11,1.3,4695.00
07/27/2012,Chicago Transit Authority,,10083,1568,15.6,633500.00
07/27/2012,City Clerk,,114,3,2.6,524.00
07/27/2012,City Colleges of Chicago,,6490,259,4.0,174331.00
07/27/2012,City Council,,379,19,5.0,3924.00
07/27/2012,City Treasurer,,22,0,0.0,0.00
07/27/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
07/27/2012,Emergency Management & Communications,,1400,70,5.0,36035.00
07/27/2012,Family & Support Services,,819,15,1.8,6760.00
07/27/2012,Finance,,587,7,1.2,953.00
07/27/2012,Fire,,4873,115,2.4,57543.00
07/27/2012,Fleet & Facilities Management,,1040,28,2.7,10627.00
07/27/2012,Housing & Economic Development,,217,2,0.9,592.00
07/27/2012,Human Relations,,28,0,0.0,0.00
07/27/2012,Human Resources,,72,1,1.4,400.00
07/27/2012,Independent Police Review Authority,,86,1,1.2,400.00
07/27/2012,Innovation & Technology,,70,0,0.0,0.00
07/27/2012,Law,,441,2,0.5,520.00
07/27/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
07/27/2012,Office of the Mayor,,72,0,0.0,0.00
07/27/2012,Police,,13552,469,3.5,173875.00
07/27/2012,Procurement Services,,66,0,1.5,0.00
07/27/2012,Public Health,,754,24,3.2,7963.00
07/27/2012,Streets & Sanitation,,2131,98,4.6,36537.00
07/27/2012,Transportation,,1221,38,3.1,16887.00
07/27/2012,Water Management,,1822,61,3.3,23279.00
08/17/2012,Administrative Hearings,,38,0,0.0,0.00
08/17/2012,Animal Care & Control,,49,2,4.1,685.00
08/17/2012,Aviation,,1214,8,0.7,1768.00
08/17/2012,Board of Elections,,110,0,0.0,0.00
08/17/2012,Board of Ethics,,7,0,0.0,0.00
08/17/2012,Budget & Management,,42,0,0.0,0.00
08/17/2012,Buildings,,258,1,0.4,200.00
08/17/2012,Business Affairs & Consumer Protection,,172,1,0.6,100.00
08/17/2012,Chicago Board of Education,,49332,1851,3.8,780333.00
08/17/2012,Chicago Housing Authority,,470,7,1.5,2182.00
08/17/2012,Chicago Park District,,3613,158,4.4,80315.00
08/17/2012,Chicago Public Library,,883,6,0.7,3060.00
08/17/2012,Chicago Transit Authority,,10083,1456,14.4,581926.00
08/17/2012,City Clerk,,114,3,2.6,524.00
08/17/2012,City Colleges of Chicago,,6490,212,3.3,159254.00
08/17/2012,City Council,,433,17,3.9,3434.00
08/17/2012,City Treasurer,,22,0,0.0,0.00
08/17/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
08/17/2012,Emergency Management & Communications,,1455,45,3.1,29028.00
08/17/2012,Family & Support Services,,840,12,1.4,5849.00
08/17/2012,Finance,,578,1,0.2,244.00
08/17/2012,Fire,,4838,89,1.8,47091.00
08/17/2012,Fleet & Facilities Management,,1018,18,1.8,6320.00
08/17/2012,Housing & Economic Development,,211,1,0.5,120.00
08/17/2012,Human Relations,,28,0,0.0,0.00
08/17/2012,Human Resources,,72,1,1.4,400.00
08/17/2012,Independent Police Review Authority,,90,1,1.1,350.00
08/17/2012,Innovation & Technology,,70,0,0.0,0.00
08/17/2012,Office of the Mayor,,72,0,0.0,0.00
08/17/2012,Police,,13486,373,2.8,137306.00
08/17/2012,Public Health,,752,12,1.6,5788.00
08/17/2012,Streets & Sanitation,,2112,60,2.8,20395.00
08/17/2012,Transportation,,1205,25,2.1,12105.00
08/17/2012,Water Management,,1796,22,1.2,8852.00
08/24/2012,Administrative Hearings,,38,0,0.0,0.00
08/24/2012,Animal Care & Control,,49,2,4.1,685.00
08/24/2012,Aviation,,1214,3,0.2,813.72
08/24/2012,Board of Elections,,110,0,0.0,0.00
08/24/2012,Board of Ethics,,7,0,0.0,0.00
08/24/2012,Budget & Management,,42,0,0.0,0.00
08/24/2012,Buildings,,258,0,0.0,0.00
08/24/2012,Business Affairs & Consumer Protection,,172,1,0.6,100.00
08/24/2012,Chicago Board of Education,,49332,1818,3.7,764567.73
08/24/2012,Chicago Housing Authority,,470,7,1.5,1981.92
08/24/2012,Chicago Park District,,3613,154,4.3,80067.10
08/24/2012,Chicago Public Library,,883,4,0.5,1202.39
08/24/2012,Chicago Transit Authority,,10083,1428,14.2,568343.06
08/24/2012,City Clerk,,114,3,2.6,524.00
08/24/2012,City Colleges of Chicago,,6490,198,3.1,153320.62
08/24/2012,City Council,,433,17,3.9,3767.84
08/24/2012,City Treasurer,,22,0,0.0,0.00
08/24/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
08/24/2012,Emergency Management & Communications,,1455,30,2.1,22659.12
08/24/2012,Family & Support Services,,840,11,1.3,6143.96
08/24/2012,Finance,,578,1,0.2,244.00
08/24/2012,Fire,,4838,69,1.4,40440.77
08/24/2012,Fleet & Facilities Management,,1018,6,0.6,3330.20
08/24/2012,Housing & Economic Development,,211,0,0.0,0.00
08/17/2012,Human Relations,,28,0,0.0,0.00
08/17/2012,Human Resources,,72,0,0.0,0.00
08/24/2012,Independent Police Review Authority,,90,1,1.1,350.00
08/24/2012,Innovation & Technology,,70,0,0.0,0.00
08/24/2012,Law,,437,1,0.2,400.00
08/24/2012,Office of the Mayor,,72,0,0.0,0.00
08/24/2012,Police,,13486,351,2.6,130249.49
08/24/2012,Public Health,,752,10,1.3,5402.55
08/24/2012,Streets & Sanitation,,2112,20,0.9,5998.03
08/24/2012,Transportation,,1205,13,1.1,5947.10
08/24/2012,Water Management,,1796,6,0.3,2754.52
09/07/2012,Administrative Hearings,,38,0,0.0,0.00
09/07/2012,Animal Care & Control,,49,0,0.0,0.00
09/07/2012,Aviation,,1214,5,0.4,1634.72
09/07/2012,Board of Elections,,110,0,0.0,0.00
09/07/2012,Board of Ethics,,7,0,0.0,0.00
09/07/2012,Budget & Management,,42,0,0.0,0.00
09/07/2012,Buildings,,258,0,0.0,0.00
09/07/2012,Business Affairs & Consumer Protection,,172,0,0.0,0.00
09/07/2012,Chicago Board of Education,,49332,1772,3.6,748070.48
09/07/2012,Chicago Housing Authority,,470,6,1.3,1307.89
09/07/2012,Chicago Park District,,3613,148,4.1,76731.51
09/07/2012,Chicago Public Library,,883,2,0.2,622.39
09/07/2012,Chicago Transit Authority,,10083,1320,13.1,461005.28
09/07/2012,City Clerk,,114,0,0.0,0.00
09/07/2012,City Colleges of Chicago,,6490,188,2.9,146880.34
09/07/2012,City Council,,433,15,3.5,2969.86
09/07/2012,City Treasurer,,22,0,0.0,0.00
09/07/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
09/07/2012,Emergency Management & Communications,,1455,30,2.1,21990.35
09/07/2012,Family & Support Services,,840,7,0.8,3361.65
09/07/2012,Finance,,578,1,0.2,244.00
09/07/2012,Fire,,4838,65,1.3,48400.92
09/07/2012,Fleet & Facilities Management,,1018,5,0.5,3274.43
09/07/2012,Housing & Economic Development,,211,0,0.0,0.00
09/07/2012,Human Relations,,28,0,0.0,0.00
09/07/2012,Human Resources,,72,0,0.0,0.00
09/07/2012,Independent Police Review Authority,,90,1,1.1,350.00
09/07/2012,Innovation & Technology,,70,0,0.0,0.00
09/07/2012,Law,,437,1,0.2,400.00
09/07/2012,Office of the Mayor,,72,0,0.0,0.00
09/07/2012,Police,,13486,314,2.3,114877.34
09/07/2012,Public Health,,752,8,1.1,4550.02
01/04/2013,DOIT,,83,0,0.0,0.00
09/07/2012,Streets & Sanitation,,2112,15,0.7,4446.33
09/07/2012,Transportation,,1205,9,0.7,3800.56
09/07/2012,Water Management,,1796,5,0.3,3548.37
09/28/2012,Administrative Hearings,,38,0,0.0,0.00
09/28/2012,Animal Care & Control,,49,0,0.0,0.00
09/28/2012,Aviation,,1214,5,0.4,2191.40
09/28/2012,Board of Elections,,110,0,0.0,0.00
09/28/2012,Board of Ethics,,7,0,0.0,0.00
09/28/2012,Budget & Management,,42,0,0.0,0.00
09/28/2012,Buildings,,258,0,0.0,0.00
09/28/2012,Business Affairs & Consumer Protection,,172,0,0.0,0.00
09/28/2012,Chicago Board of Education,,49332,1680,3.4,707716.36
09/28/2012,Chicago Housing Authority,,470,1,0.2,292.80
09/28/2012,Chicago Park District,,3613,116,3.2,59084.98
09/28/2012,Chicago Public Library,,883,1,0.1,402.39
09/28/2012,Chicago Transit Authority,,10083,1132,11.2,357929.98
09/28/2012,City Colleges of Chicago,,6490,180,2.8,150297.69
09/28/2012,City Council,,433,3,0.7,842.00
09/28/2012,City Treasurer,,22,0,0.0,0.00
09/28/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
09/28/2012,Emergency Management & Communications,,1455,31,2.1,22553.13
09/28/2012,Family & Support Services,,840,2,0.2,840.00
09/28/2012,Finance,,578,1,0.2,244.00
09/28/2012,Fire,,4838,43,0.9,33262.51
09/28/2012,Fleet & Facilities Management,,1018,5,0.5,3278.72
09/28/2012,Housing & Economic Development,,211,1,0.5,385.00
09/28/2012,Human Relations,,28,0,0.0,0.00
09/28/2012,Human Resources,,72,0,0.0,0.00
09/28/2012,Independent Police Review Authority,,90,2,2.2,793.23
09/28/2012,Innovation & Technology,,70,0,0.0,0.00
09/28/2012,Law,,437,0,0.0,0.00
09/28/2012,Office of the Mayor,,72,0,0.0,0.00
09/28/2012,Police,,13486,277,2.1,97892.52
09/28/2012,Public Health,,752,4,0.5,3433.10
01/04/2013,Finance,,578,0,0.0,0.00
09/28/2012,Streets & Sanitation,,2112,5,0.2,679.60
09/28/2012,Transportation,,1205,8,0.7,3220.58
09/28/2012,Water Management,,1796,6,0.3,5121.72
11/02/2012,Administrative Hearings,,38,1,2.6,248.23
11/02/2012,Animal Care & Control,,49,3,6.1,1397.11
11/02/2012,Aviation,,1214,62,5.1,19924.38
11/02/2012,Board of Elections,,107,3,2.8,409.21
11/02/2012,Board of Ethics,,7,0,0.0,0.00
07/26/2013,LAW,LAW,437,1,0.2,105.38
11/02/2012,Budget & Management,,42,0,0.0,0.00
11/02/2012,Buildings,,258,9,3.5,2244.38
11/02/2012,Business Affairs & Consumer Protection,,172,7,4.1,5005.11
11/02/2012,Chicago Board of Education,,48025,2849,5.9,1311650.60
11/02/2012,Chicago Housing Authority,,466,23,4.9,5636.38
11/02/2012,Chicago Park District,,3475,230,6.6,122628.70
11/02/2012,Chicago Public Library,,883,25,2.8,6756.97
11/02/2012,Chicago Transit Authority,,10196,1710,16.8,730753.03
11/02/2012,City Clerk,,138,4,2.9,1063.97
